"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000122641";"INHBA";"inhibin subunit beta A";235;32,5311965942383;"No"
"row_1";"ENSG00000198400";"NTRK1";"neurotrophic receptor tyrosine kinase 1";253;31,2601528167725;"No"
"row_2";"ENSG00000100918";"REC8";"REC8 meiotic recombination protein";299;27,5206489562988;"No"
"row_3";"ENSG00000134853";"PDGFRA";"platelet derived growth factor receptor alpha";427;20,5750217437744;"No"
"row_4";"ENSG00000129295";"DNAAF11";"dynein axonemal assembly factor 11";696;12,9649057388306;"No"
"row_5";"ENSG00000143355";"LHX9";"LIM homeobox 9";744;11,7422962188721;"No"
"row_6";"ENSG00000107485";"GATA3";"GATA binding protein 3";902;9,55381679534912;"No"
"row_7";"ENSG00000134007";"ADAM20";"ADAM metallopeptidase domain 20";1212;6,48700571060181;"No"
"row_8";"ENSG00000118526";"TCF21";"transcription factor 21";1300;5,72630739212036;"No"
"row_9";"ENSG00000104332";"SFRP1";"secreted frizzled related protein 1";1549;4,58214521408081;"No"
"row_10";"ENSG00000110092";"CCND1";"cyclin D1";1902;3,09610533714294;"No"
"row_11";"ENSG00000164292";"RHOBTB3";"Rho related BTB domain containing 3";2233;2,126629114151;"No"
"row_12";"ENSG00000205336";"ADGRG1";"adhesion G protein-coupled receptor G1";2249;2,09182095527649;"No"
"row_13";"ENSG00000138207";"RBP4";"retinol binding protein 4";2313;2,03682041168213;"No"
"row_14";"ENSG00000168594";"ADAM29";"ADAM metallopeptidase domain 29";2350;2,03682041168213;"No"
"row_15";"ENSG00000179059";"ZFP42";"ZFP42 zinc finger protein";2364;2,03682041168213;"No"
"row_16";"ENSG00000197140";"ADAM32";"ADAM metallopeptidase domain 32";2382;2,03682041168213;"No"
"row_17";"ENSG00000171791";"BCL2";"BCL2 apoptosis regulator";2570;1,93572533130646;"No"
"row_18";"ENSG00000196074";"SYCP2";"synaptonemal complex protein 2";2584;1,91388189792633;"No"
"row_19";"ENSG00000176720";"BOK";"BCL2 family apoptosis regulator BOK";2585;1,91168189048767;"No"
"row_20";"ENSG00000159640";"ACE";"angiotensin I converting enzyme";2678;1,71146380901337;"No"
"row_21";"ENSG00000171552";"BCL2L1";"BCL2 like 1";2762;1,53612899780273;"No"
"row_22";"ENSG00000085563";"ABCB1";"ATP binding cassette subfamily B member 1";2807;1,47203171253204;"No"
"row_23";"ENSG00000196139";"AKR1C3";"aldo-keto reductase family 1 member C3";2887;1,35110294818878;"No"
"row_24";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";2958;1,25121080875397;"No"
"row_25";"ENSG00000013619";"MAMLD1";"mastermind like domain containing 1";3067;1,11960077285767;"No"
"row_26";"ENSG00000133105";"RXFP2";"relaxin family peptide receptor 2";3453;0,89727383852005;"No"
"row_27";"ENSG00000168619";"ADAM18";"ADAM metallopeptidase domain 18";3553;0,89727383852005;"No"
"row_28";"ENSG00000032219";"ARID4A";"AT-rich interaction domain 4A";4092;0,84921258687973;"No"
"row_29";"ENSG00000164104";"HMGB2";"high mobility group box 2";4569;0,566932320594788;"No"
"row_30";"ENSG00000085224";"ATRX";"ATRX chromatin remodeler";4710;0,507355391979218;"No"
"row_31";"ENSG00000110395";"CBL";"Cbl proto-oncogene";4947;0,428208440542221;"No"
"row_32";"ENSG00000145545";"SRD5A1";"steroid 5 alpha-reductase 1";5017;0,402694225311279;"No"
"row_33";"ENSG00000012061";"ERCC1";"ERCC excision repair 1, endonuclease non-catalytic subunit";5148;0,364187657833099;"No"
"row_34";"ENSG00000131759";"RARA";"retinoic acid receptor alpha";5159;0,359964936971664;"No"
"row_35";"ENSG00000183117";"CSMD1";"CUB and Sushi multiple domains 1";5230;0,338585674762726;"No"
"row_36";"ENSG00000125875";"TBC1D20";"TBC1 domain family member 20";5334;0,310971409082413;"No"
"row_37";"ENSG00000136574";"GATA4";"GATA binding protein 4";5583;0,264916390180588;"No"
"row_38";"ENSG00000166224";"SGPL1";"sphingosine-1-phosphate lyase 1";5634;0,250705510377884;"No"
"row_39";"ENSG00000141646";"SMAD4";"SMAD family member 4";5666;0,243540540337563;"No"
"row_40";"ENSG00000100105";"PATZ1";"POZ/BTB and AT hook containing zinc finger 1";5796;0,222563341259956;"No"
"row_41";"ENSG00000137075";"RNF38";"ring finger protein 38";6003;0,185886576771736;"No"
"row_42";"ENSG00000107779";"BMPR1A";"bone morphogenetic protein receptor type 1A";6114;0,175397858023643;"No"
"row_43";"ENSG00000132475";"H3-3B";"H3.3 histone B";6247;0,157722786068916;"No"
"row_44";"ENSG00000136492";"BRIP1";"BRCA1 interacting DNA helicase 1";6283;0,15277461707592;"No"
"row_45";"ENSG00000095002";"MSH2";"mutS homolog 2";6290;0,151020988821983;"No"
"row_46";"ENSG00000134698";"AGO4";"argonaute RISC component 4";6389;0,141582399606705;"No"
"row_47";"ENSG00000143545";"RAB13";"RAB13, member RAS oncogene family";6611;0,118842408061028;"No"
"row_48";"ENSG00000065802";"ASB1";"ankyrin repeat and SOCS box containing 1";6660;0,114130586385727;"No"
"row_49";"ENSG00000111676";"ATN1";"atrophin 1";6750;0,105020187795162;"No"
"row_50";"ENSG00000158480";"SPATA2";"spermatogenesis associated 2";6792;0,101961962878704;"No"
"row_51";"ENSG00000196924";"FLNA";"filamin A";6847;0,0981740579009056;"No"
"row_52";"ENSG00000145685";"LHFPL2";"LHFPL tetraspan subfamily member 2";6899;0,09297214448452;"No"
"row_53";"ENSG00000102531";"FNDC3A";"fibronectin type III domain containing 3A";7018;0,0818879082798958;"No"
"row_54";"ENSG00000135111";"TBX3";"T-box transcription factor 3";7026;0,0813841074705124;"No"
"row_55";"ENSG00000113658";"SMAD5";"SMAD family member 5";7250;0,0674212947487831;"No"
"row_56";"ENSG00000168556";"ING2";"inhibitor of growth family member 2";7268;0,0661301612854004;"No"
"row_57";"ENSG00000153094";"BCL2L11";"BCL2 like 11";7433;0,0553742498159409;"No"
"row_58";"ENSG00000198003";"ODAD3";"outer dynein arm docking complex subunit 3";7658;0,0429421365261078;"No"
"row_59";"ENSG00000066279";"ASPM";"assembly factor for spindle microtubules";7744;0,0383724756538868;"No"
"row_60";"ENSG00000104899";"AMH";"anti-Mullerian hormone";7816;0,0349643304944038;"No"
"row_61";"ENSG00000054267";"ARID4B";"AT-rich interaction domain 4B";8012;0,0283587537705898;"No"
"row_62";"ENSG00000144747";"TMF1";"TATA element modulatory factor 1";8095;0,0253066420555115;"No"
"row_63";"ENSG00000132780";"NASP";"nuclear autoantigenic sperm protein";8461;0,0142622459679842;"No"
"row_64";"ENSG00000151422";"FER";"FER tyrosine kinase";8959;0,004158949945122;"No"
"row_65";"ENSG00000163041";"H3-3A";"H3.3 histone A";9147;0,00198535853996873;"No"
"row_66";"ENSG00000157227";"MMP14";"matrix metallopeptidase 14";9288;0,000821319059468806;"No"
"row_67";"ENSG00000121989";"ACVR2A";"activin A receptor type 2A";9359;0,00041670846985653;"No"
"row_68";"ENSG00000004478";"FKBP4";"FKBP prolyl isomerase 4";9553;0;"No"
"row_69";"ENSG00000078399";"HOXA9";"homeobox A9";9649;0;"No"
"row_70";"ENSG00000091831";"ESR1";"estrogen receptor 1";9700;0;"No"
"row_71";"ENSG00000104755";"ADAM2";"ADAM metallopeptidase domain 2";9821;0;"No"
"row_72";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";9884;0;"No"
"row_73";"ENSG00000120498";"TEX11";"testis expressed 11";10061;0;"No"
"row_74";"ENSG00000123999";"INHA";"inhibin subunit alpha";10125;0;"No"
"row_75";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";10202;0;"No"
"row_76";"ENSG00000129473";"BCL2L2";"BCL2 like 2";10256;0;"No"
"row_77";"ENSG00000130948";"HSD17B3";"hydroxysteroid 17-beta dehydrogenase 3";10280;0;"No"
"row_78";"ENSG00000131808";"FSHB";"follicle stimulating hormone subunit beta";10299;0;"No"
"row_79";"ENSG00000134245";"WNT2B";"Wnt family member 2B";10340;0;"No"
