"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000105974";"CAV1";"caveolin 1";181;53,2710151672363;"No"
"row_1";"ENSG00000160179";"ABCG1";"ATP binding cassette subfamily G member 1";1181;17,2222270965576;"No"
"row_2";"ENSG00000172350";"ABCG4";"ATP binding cassette subfamily G member 4";1413;14,1371097564697;"No"
"row_3";"ENSG00000283871";"MIR130B";"microRNA 130b";2425;6,39009952545166;"No"
"row_4";"ENSG00000167972";"ABCA3";"ATP binding cassette subfamily A member 3";5536;0,831260800361633;"No"
"row_5";"ENSG00000250067";"YJEFN3";"YjeF N-terminal domain containing 3";5541;0,829509139060974;"No"
"row_6";"ENSG00000138798";"EGF";"epidermal growth factor";5741;0,699519634246826;"No"
"row_7";"ENSG00000099904";"ZDHHC8";"zinc finger DHHC-type palmitoyltransferase 8";6620;0,330697506666183;"No"
"row_8";"ENSG00000096717";"SIRT1";"sirtuin 1";6622;0,330083459615707;"No"
"row_9";"ENSG00000185920";"PTCH1";"patched 1";6880;0,259213179349899;"No"
"row_10";"ENSG00000057252";"SOAT1";"sterol O-acyltransferase 1";7365;0,16882660984993;"No"
"row_11";"ENSG00000131408";"NR1H2";"nuclear receptor subfamily 1 group H member 2";9005;0,0231256503611803;"No"
"row_12";"ENSG00000141338";"ABCA8";"ATP binding cassette subfamily A member 8";9040;0,0213953461498022;"No"
"row_13";"ENSG00000107331";"ABCA2";"ATP binding cassette subfamily A member 2";9055;0,0209272988140583;"No"
"row_14";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";9153;0,0174865107983351;"No"
"row_15";"ENSG00000132170";"PPARG";"peroxisome proliferator activated receptor gamma";9331;0,0121384914964437;"No"
"row_16";"ENSG00000119655";"NPC2";"NPC intracellular cholesterol transporter 2";9907;0,00120672257617116;"No"
"row_17";"ENSG00000069764";"PLA2G10";"phospholipase A2 group X";10232;0;"No"
"row_18";"ENSG00000095970";"TREM2";"triggering receptor expressed on myeloid cells 2";10326;0;"No"
"row_19";"ENSG00000149357";"LAMTOR1";"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1";11258;0;"No"
"row_20";"ENSG00000181092";"ADIPOQ";"adiponectin, C1Q and collagen domain containing";12391;0;"No"
"row_21";"ENSG00000199075";"MIR26A1";"microRNA 26a-1";13222;0;"No"
"row_22";"ENSG00000199085";"MIR148A";"microRNA 148a";13226;0;"No"
"row_23";"ENSG00000207604";"MIR206";"microRNA 206";14996;0;"No"
"row_24";"ENSG00000207654";"MIR128-1";"microRNA 128-1";15038;0;"No"
"row_25";"ENSG00000207757";"MIR93";"microRNA 93";15088;0;"No"
"row_26";"ENSG00000207808";"MIR27A";"microRNA 27a";15120;0;"No"
"row_27";"ENSG00000207839";"MIR33B";"microRNA 33b";15135;0;"No"
"row_28";"ENSG00000207864";"MIR27B";"microRNA 27b";15139;0;"No"
"row_29";"ENSG00000207927";"MIR302A";"microRNA 302a";15152;0;"No"
"row_30";"ENSG00000207932";"MIR33A";"microRNA 33a";15155;0;"No"
"row_31";"ENSG00000207933";"MIR9-1";"microRNA 9-1";15156;0;"No"
"row_32";"ENSG00000207983";"MIR613";"microRNA 613";15193;0;"No"
"row_33";"ENSG00000211582";"MIR758";"microRNA 758";15280;0;"No"
"row_34";"ENSG00000212102";"MIR301B";"microRNA 301b";15562;0;"No"
"row_35";"ENSG00000234906";"APOC2";"apolipoprotein C2";19394;0;"No"
"row_36";"ENSG00000276365";"MIR145";"microRNA 145";26176;0;"No"
"row_37";"ENSG00000283819";"MIR144";"microRNA 144";26881;0;"No"
"row_38";"ENSG00000284375";"MIR19B1";"microRNA 19b-1";27089;0;"No"
"row_39";"ENSG00000284536";"MIR17";"microRNA 17";27147;0;"No"
"row_40";"ENSG00000117758";"STX12";"syntaxin 12";28266;-3,10669893224258e-05;"No"
"row_41";"ENSG00000122547";"EEPD1";"endonuclease/exonuclease/phosphatase family domain containing 1";28772;-0,00455605005845428;"No"
"row_42";"ENSG00000104133";"SPG11";"SPG11 vesicle trafficking associated, spatacsin";29090;-0,0121726393699646;"No"
"row_43";"ENSG00000144452";"ABCA12";"ATP binding cassette subfamily A member 12";29562;-0,0285619124770164;"No"
"row_44";"ENSG00000198911";"SREBF2";"sterol regulatory element binding transcription factor 2";29602;-0,0306818149983883;"No"
"row_45";"ENSG00000186350";"RXRA";"retinoid X receptor alpha";30441;-0,0848744511604309;"No"
"row_46";"ENSG00000163382";"NAXE";"NAD(P)HX epimerase";30845;-0,118718013167381;"No"
"row_47";"ENSG00000123384";"LRP1";"LDL receptor related protein 1";31888;-0,288052290678024;"No"
"row_48";"ENSG00000154265";"ABCA5";"ATP binding cassette subfamily A member 5";32014;-0,314104616641998;"No"
