"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000005108";6,6143668935361;4,20535301734078;0,000206285268027073;0,0161159258965528;"THSD7A";"7";11370435;11832198;"-";461764;"protein_coding";"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"ENSG00000006047";5,87004489477588;2,91065893945312;0,000773086161519972;0,0402071068518516;"YBX2";"17";7288252;7294557;"-";6306;"protein_coding";"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
"ENSG00000006756";7,70942505368471;3,75713692214864;7,36361672553794e-05;0,00793135593224657;"ARSD";"X";2903970;2929375;"-";25406;"protein_coding";"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000006788";9,47169039763069;1,17188652762662;0,000466676757395484;0,0282692745919135;"MYH13";"17";10300866;10373005;"-";72140;"protein_coding";"myosin heavy chain 13 [Source:HGNC Symbol;Acc:HGNC:7571]"
"ENSG00000007062";10,8111422650395;2,46583888277437;4,84876497681708e-05;0,00598628165141161;"PROM1";"4";15968226;16084059;"-";115834;"protein_coding";"prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]"
"ENSG00000007402";6,421214935838;7,33075117728953;0,000160081089391111;0,0138102183421156;"CACNA2D2";"3";50362613;50504244;"-";141632;"protein_coding";"calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"ENSG00000008056";6,33530814441977;2,4128897978304;0,000755384914673994;0,0395884358792434;"SYN1";"X";47571901;47619857;"-";47957;"protein_coding";"synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]"
"ENSG00000008196";17,1110268651787;8,73492186921591;9,15500399017021e-10;7,80892670540206e-06;"TFAP2B";"6";50817692;50847619;"+";29928;"protein_coding";"transcription factor AP-2 beta [Source:HGNC Symbol;Acc:HGNC:11743]"
"ENSG00000008283";5,49903844229112;8,76158324120286;0,000741167819043446;0,0390491398264771;"CYB561";"17";63432303;63446361;"-";14059;"protein_coding";"cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]"
"ENSG00000010438";7,44800801171289;4,45785167916239;5,32625427685612e-05;0,00633685010468052;"PRSS3";"9";33750466;33799231;"+";48766;"protein_coding";"serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]"
"ENSG00000011465";10,4639214749976;2,12689753687897;8,75567976766285e-05;0,00890389043635569;"DCN";"12";91143277;91183124;"-";39848;"protein_coding";"decorin [Source:HGNC Symbol;Acc:HGNC:2705]"
"ENSG00000011677";6,91625822231476;2,97783892968373;0,00028337300221869;0,0201100926291883;"GABRA3";"X";152166234;152451359;"-";285126;"protein_coding";"gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]"
"ENSG00000013293";9,52456605253358;1,22212482965191;0,000430041383815312;0,0266259976516671;"SLC7A14";"3";170459554;170586074;"-";126521;"protein_coding";"solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]"
"ENSG00000016082";5,67398664841876;8,36228669394137;0,000554257580740508;0,0320290499752999;"ISL1";"5";51383124;51394730;"+";11607;"protein_coding";"ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]"
"ENSG00000016490";9,66071089804455;1,35187277878876;0,000341561933480291;0,022526999547615;"CLCA1";"1";86468843;86500294;"+";31452;"protein_coding";"chloride channel accessory 1 [Source:HGNC Symbol;Acc:HGNC:2015]"
"ENSG00000019991";6,17489831799631;3,77420333271784;0,000434562625337015;0,0268602494703215;"HGF";"7";81699006;81770438;"-";71433;"protein_coding";"hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]"
"ENSG00000036565";14,5042738322722;6,13022312460729;8,36188108151024e-08;0,000142093580075196;"SLC18A1";"8";20144855;20183206;"-";38352;"protein_coding";"solute carrier family 18 member A1 [Source:HGNC Symbol;Acc:HGNC:10934]"
"ENSG00000041515";6,87268479400349;3,49035429000609;0,000189761573212497;0,0153816642212214;"MYO16";"13";108495729;109208007;"+";804064;"protein_coding";"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]"
"ENSG00000048052";6,26555381350721;7,78432059889815;0,000207775651545146;0,01619760250568;"HDAC9";"7";18086942;19002416;"+";915475;"protein_coding";"histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]"
