"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000168685";"IL7R";"interleukin 7 receptor";1049;8,52514457702637;"No"
"row_1";"ENSG00000159128";"IFNGR2";"interferon gamma receptor 2";1991;2,78573083877563;"No"
"row_2";"ENSG00000104432";"IL7";"interleukin 7";2073;2,45643353462219;"No"
"row_3";"ENSG00000136244";"IL6";"interleukin 6";2299;1,96281337738037;"No"
"row_4";"ENSG00000162594";"IL23R";"interleukin 23 receptor";2353;1,96281337738037;"No"
"row_5";"ENSG00000185291";"IL3RA";"interleukin 3 receptor subunit alpha";2435;1,96281337738037;"No"
"row_6";"ENSG00000105639";"JAK3";"Janus kinase 3";2676;1,921177983284;"No"
"row_7";"ENSG00000160712";"IL6R";"interleukin 6 receptor";2748;1,7195258140564;"No"
"row_8";"ENSG00000187266";"EPOR";"erythropoietin receptor";3037;1,21972370147705;"No"
"row_9";"ENSG00000138378";"STAT4";"signal transducer and activator of transcription 4";4642;0,29187273979187;"No"
"row_10";"ENSG00000100368";"CSF2RB";"colony stimulating factor 2 receptor subunit beta";4863;0,247506141662598;"No"
"row_11";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";5355;0,162161871790886;"No"
"row_12";"ENSG00000131724";"IL13RA1";"interleukin 13 receptor subunit alpha 1";7764;0,00997105985879898;"No"
"row_13";"ENSG00000091181";"IL5RA";"interleukin 5 receptor subunit alpha";8911;0;"No"
"row_14";"ENSG00000109471";"IL2";"interleukin 2";9187;0;"No"
"row_15";"ENSG00000111537";"IFNG";"interferon gamma";9226;0;"No"
"row_16";"ENSG00000113302";"IL12B";"interleukin 12B";9268;0;"No"
"row_17";"ENSG00000113520";"IL4";"interleukin 4";9273;0;"No"
"row_18";"ENSG00000113525";"IL5";"interleukin 5";9274;0;"No"
"row_19";"ENSG00000130427";"EPO";"erythropoietin";9647;0;"No"
"row_20";"ENSG00000164399";"IL3";"interleukin 3";10479;0;"No"
"row_21";"ENSG00000168811";"IL12A";"interleukin 12A";10708;0;"No"
"row_22";"ENSG00000169194";"IL13";"interleukin 13";10726;0;"No"
"row_23";"ENSG00000197919";"IFNA1";"interferon alpha 1";12276;0;"No"
"row_24";"ENSG00000096968";"JAK2";"Janus kinase 2";28523;-0,00548049109056592;"No"
"row_25";"ENSG00000134470";"IL15RA";"interleukin 15 receptor subunit alpha";28857;-0,0121617885306478;"No"
"row_26";"ENSG00000081985";"IL12RB2";"interleukin 12 receptor subunit beta 2";29497;-0,0312330070883036;"No"
"row_27";"ENSG00000162434";"JAK1";"Janus kinase 1";29595;-0,0350257866084576;"No"
"row_28";"ENSG00000142166";"IFNAR1";"interferon alpha and beta receptor subunit 1";29865;-0,0474507547914982;"No"
"row_29";"ENSG00000170581";"STAT2";"signal transducer and activator of transcription 2";30234;-0,0658946633338928;"No"
"row_30";"ENSG00000027697";"IFNGR1";"interferon gamma receptor 1";30334;-0,0718681514263153;"No"
"row_31";"ENSG00000164136";"IL15";"interleukin 15";30616;-0,0918231904506683;"No"
"row_32";"ENSG00000159110";"IFNAR2";"interferon alpha and beta receptor subunit 2";31079;-0,135616913437843;"No"
"row_33";"ENSG00000137193";"PIM1";"Pim-1 proto-oncogene, serine/threonine kinase";32055;-0,277001827955246;"No"
"row_34";"ENSG00000134352";"IL6ST";"interleukin 6 cytokine family signal transducer";33055;-0,573221564292908;"No"
"row_35";"ENSG00000166888";"STAT6";"signal transducer and activator of transcription 6";34089;-1,29378116130829;"Yes"
"row_36";"ENSG00000077238";"IL4R";"interleukin 4 receptor";34362;-1,79579544067383;"Yes"
"row_37";"ENSG00000147168";"IL2RG";"interleukin 2 receptor subunit gamma";35075;-3,15639615058899;"Yes"
"row_38";"ENSG00000134460";"IL2RA";"interleukin 2 receptor subunit alpha";35192;-3,97494459152222;"Yes"
"row_39";"ENSG00000096996";"IL12RB1";"interleukin 12 receptor subunit beta 1";35464;-5,75283861160278;"Yes"
"row_40";"ENSG00000110944";"IL23A";"interleukin 23 subunit alpha";35534;-6,46151876449585;"Yes"
"row_41";"ENSG00000126561";"STAT5A";"signal transducer and activator of transcription 5A";36026;-16,6989364624023;"Yes"
"row_42";"ENSG00000100385";"IL2RB";"interleukin 2 receptor subunit beta";36036;-17,1252784729004;"Yes"
"row_43";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";36277;-37,5062294006348;"Yes"
"row_44";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";36284;-38,5726661682129;"Yes"
