"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000007038";-11,4406505760738;2,69422549307189;1,78107325011902e-05;0,00283151758706694;"PRSS21";"16";2817163;2821722;"+";5329;"protein_coding";"serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"ENSG00000010704";-12,5172165541564;3,75881921395748;2,79270032633591e-06;0,000915955388113381;"HFE";"6";26087281;26096216;"+";8936;"protein_coding";"homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]"
"ENSG00000017483";-8,41201530432098;5,80231389024187;9,11644701180248e-06;0,00186456949388585;"SLC38A5";"X";48458537;48470256;"-";11720;"protein_coding";"solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]"
"ENSG00000019582";-7,67772720103044;3,53575102693561;5,92305697548211e-05;0,00623222000720814;"CD74";"5";150401637;150412936;"-";11300;"protein_coding";"CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]"
"ENSG00000022556";-12,3082691522388;3,55156752256891;4,00653269107776e-06;0,00115806145729873;"NLRP2";"19";54965279;55001142;"+";357617;"protein_coding";"NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"ENSG00000033627";-6,78034572038924;4,59283134679679;0,000113327252720383;0,00950141726957498;"ATP6V0A1";"17";42458844;42522579;"+";63736;"protein_coding";"ATPase H+ transporting V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]"
"ENSG00000039068";-7,51909540294368;8,0891570901654;2,52126504620257e-05;0,00358551465906448;"CDH1";"16";68737290;68835542;"+";98253;"protein_coding";"cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]"
"ENSG00000041515";-5,6997753226538;3,5331049508113;0,000706802707279136;0,0353459606609948;"MYO16";"13";108495729;109208007;"+";804064;"protein_coding";"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]"
"ENSG00000043039";-5,48122286412722;3,89608952167274;0,000982425317212824;0,0449889007527674;"BARX2";"11";129375237;129452279;"+";77043;"protein_coding";"BARX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:956]"
"ENSG00000044115";-6,97618353686398;8,22699731184237;6,13066856056344e-05;0,00637694627473922;"CTNNA1";"5";138753386;138935034;"+";181649;"protein_coding";"catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]"
"ENSG00000049283";-5,61769457933531;4,02887163211959;0,000782523600432607;0,0380863024028736;"EPN3";"17";50532687;50543750;"+";11064;"protein_coding";"epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]"
"ENSG00000052344";-10,1032261758573;5,00554434000693;2,5246845056234e-06;0,000867110038789864;"PRSS8";"16";31131433;31135762;"-";4330;"protein_coding";"serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]"
"ENSG00000058335";-8,26950119041557;3,18658174745402;5,90261600733702e-05;0,00622871415545251;"RASGRF1";"15";78959947;79090873;"-";130927;"protein_coding";"Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]"
"ENSG00000060558";-9,3435323468466;4,24986977935127;9,35937692500689e-06;0,00189298597962112;"GNA15";"19";3136032;3163769;"+";27738;"protein_coding";"G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]"
"ENSG00000066468";-8,11355205593939;3,03294795674119;7,72173700492532e-05;0,00740637649228379;"FGFR2";"10";121478330;121598458;"-";120129;"protein_coding";"fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]"
"ENSG00000070190";-5,42074137471765;4,49289281966455;0,00101467013514039;0,0460599512966595;"DAPP1";"4";99816824;99872290;"+";55467;"protein_coding";"dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]"
"ENSG00000074181";-7,46047369676629;4,85711028591463;4,67737118179469e-05;0,00538582093680011;"NOTCH3";"19";15159633;15200981;"-";41349;"protein_coding";"notch receptor 3 [Source:HGNC Symbol;Acc:HGNC:7883]"
"ENSG00000074964";-6,82239624434439;3,65517246774151;0,000165306104931837;0,0122319797889196;"ARHGEF10L";"1";17513442;17697875;"+";184434;"protein_coding";"Rho guanine nucleotide exchange factor 10 like [Source:HGNC Symbol;Acc:HGNC:25540]"
"ENSG00000075340";-6,51423322624021;5,02236123920413;0,000160654778535302;0,0119379979208331;"ADD2";"2";70656784;70768243;"-";111460;"protein_coding";"adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
"ENSG00000075461";-11,8212256932661;3,06954844030768;9,29541542877153e-06;0,00189055248100478;"CACNG4";"17";66964864;67033402;"+";68539;"protein_coding";"calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]"
"ENSG00000079462";-12,4823841459122;3,7242530006077;2,96993323964831e-06;0,000965387406452111;"PAFAH1B3";"19";42297033;42302800;"-";5768;"protein_coding";"platelet activating factor acetylhydrolase 1b catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:8576]"
"ENSG00000083307";-14,8758838833723;6,1086558197607;4,74419613973414e-08;9,71745189279252e-05;"GRHL2";"8";101492439;101678104;"+";185666;"protein_coding";"grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]"
"ENSG00000085662";-6,0749349697607;6,23673322845181;0,000297600822217014;0,0185204368096284;"AKR1B1";"7";134442350;134459239;"-";16890;"protein_coding";"aldo-keto reductase family 1 member B [Source:HGNC Symbol;Acc:HGNC:381]"
"ENSG00000086570";-10,0811469642537;1,36915186061494;0,000179526851960301;0,0129167086412386;"FAT2";"5";151504092;151594822;"-";90731;"protein_coding";"FAT atypical cadherin 2 [Source:HGNC Symbol;Acc:HGNC:3596]"
