"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000165246";"NLGN4Y";"neuroligin 4 Y-linked";102;58,2015419006348;"No"
"row_1";"ENSG00000116661";"FBXO2";"F-box protein 2";235;35,4329147338867;"No"
"row_2";"ENSG00000132164";"SLC6A11";"solute carrier family 6 member 11";525;16,7967109680176;"No"
"row_3";"ENSG00000162105";"SHANK2";"SH3 and multiple ankyrin repeat domains 2";538;16,3569202423096;"No"
"row_4";"ENSG00000108576";"SLC6A4";"solute carrier family 6 member 4";572;15,3852634429932;"No"
"row_5";"ENSG00000164050";"PLXNB1";"plexin B1";619;13,7493658065796;"No"
"row_6";"ENSG00000198934";"MAGEE1";"MAGE family member E1";892;7,97250747680664;"No"
"row_7";"ENSG00000157087";"ATP2B2";"ATPase plasma membrane Ca2+ transporting 2";924;7,80141687393188;"No"
"row_8";"ENSG00000149305";"HTR3B";"5-hydroxytryptamine receptor 3B";973;7,17865180969238;"No"
"row_9";"ENSG00000102287";"GABRE";"gamma-aminobutyric acid type A receptor subunit epsilon";1114;5,65696334838867;"No"
"row_10";"ENSG00000082556";"OPRK1";"opioid receptor kappa 1";1125;5,58303642272949;"No"
"row_11";"ENSG00000075461";"CACNG4";"calcium voltage-gated channel auxiliary subunit gamma 4";1246;4,97852373123169;"No"
"row_12";"ENSG00000152767";"FARP1";"FERM, ARH/RhoGEF and pleckstrin domain protein 1";1486;3,40732002258301;"No"
"row_13";"ENSG00000165917";"RAPSN";"receptor associated protein of the synapse";1758;2,59222912788391;"No"
"row_14";"ENSG00000198822";"GRM3";"glutamate metabotropic receptor 3";1960;2,04467725753784;"No"
"row_15";"ENSG00000173402";"DAG1";"dystroglycan 1";2029;1,99174463748932;"No"
"row_16";"ENSG00000170175";"CHRNB1";"cholinergic receptor nicotinic beta 1 subunit";2074;1,90057575702667;"No"
"row_17";"ENSG00000225968";"ELFN1";"extracellular leucine rich repeat and fibronectin type III domain containing 1";2100;1,84179496765137;"No"
"row_18";"ENSG00000105464";"GRIN2D";"glutamate ionotropic receptor NMDA type subunit 2D";2130;1,7923743724823;"No"
"row_19";"ENSG00000099250";"NRP1";"neuropilin 1";2578;1,0719975233078;"No"
"row_20";"ENSG00000102468";"HTR2A";"5-hydroxytryptamine receptor 2A";2651;0,992691874504089;"No"
"row_21";"ENSG00000145863";"GABRA6";"gamma-aminobutyric acid type A receptor subunit alpha6";2693;0,992691874504089;"No"
"row_22";"ENSG00000152822";"GRM1";"glutamate metabotropic receptor 1";2699;0,992691874504089;"No"
"row_23";"ENSG00000169181";"GSG1L";"GSG1 like";2734;0,992691874504089;"No"
"row_24";"ENSG00000174343";"CHRNA9";"cholinergic receptor nicotinic alpha 9 subunit";2745;0,992691874504089;"No"
"row_25";"ENSG00000184845";"DRD1";"dopamine receptor D1";2770;0,992691874504089;"No"
"row_26";"ENSG00000183185";"GABRR3";"gamma-aminobutyric acid type A receptor subunit rho3";3105;0,894495785236359;"No"
"row_27";"ENSG00000105426";"PTPRS";"protein tyrosine phosphatase receptor type S";3122;0,880561232566833;"No"
