"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000214548";"MEG3";"maternally expressed 3";1340;3,99615335464478;"No"
"row_1";"ENSG00000119403";"PHF19";"PHD finger protein 19";1505;3,15462422370911;"No"
"row_2";"ENSG00000245532";"NEAT1";"nuclear paraspeckle assembly transcript 1";2351;1,38514578342438;"No"
"row_3";"ENSG00000116254";"CHD5";"chromodomain helicase DNA binding protein 5";2376;1,33784401416779;"No"
"row_4";"ENSG00000204271";"SPIN3";"spindlin family member 3";3362;0,785332500934601;"No"
"row_5";"ENSG00000163945";"UVSSA";"UV stimulated scaffold protein A";3388;0,761943876743317;"No"
"row_6";"ENSG00000249375";"CASC11";"cancer susceptibility 11";3589;0,63322925567627;"No"
"row_7";"ENSG00000251562";"MALAT1";"metastasis associated lung adenocarcinoma transcript 1";3732;0,559621214866638;"No"
"row_8";"ENSG00000141867";"BRD4";"bromodomain containing 4";3755;0,551385521888733;"No"
"row_9";"ENSG00000206559";"ZCWPW2";"zinc finger CW-type and PWWP domain containing 2";3823;0,516927361488342;"No"
"row_10";"ENSG00000225830";"ERCC6";"ERCC excision repair 6, chromatin remodeling factor";4171;0,399628728628159;"No"
"row_11";"ENSG00000133131";"MORC4";"MORC family CW-type zinc finger 4";4363;0,344012677669525;"No"
"row_12";"ENSG00000166446";"CDYL2";"chromodomain Y like 2";4700;0,260675549507141;"No"
"row_13";"ENSG00000138685";"FGF2";"fibroblast growth factor 2";4969;0,214426562190056;"No"
"row_14";"ENSG00000135655";"USP15";"ubiquitin specific peptidase 15";5097;0,195334702730179;"No"
"row_15";"ENSG00000168556";"ING2";"inhibitor of growth family member 2";5289;0,170697212219238;"No"
"row_16";"ENSG00000133884";"DPF2";"double PHD fingers 2";5295;0,17006804049015;"No"
"row_17";"ENSG00000136045";"PWP1";"PWP1 homolog, endonuclein";5311;0,167767345905304;"No"
"row_18";"ENSG00000187837";"H1-2";"H1.2 linker histone, cluster member";5416;0,156204596161842;"No"
"row_19";"ENSG00000106443";"PHF14";"PHD finger protein 14";5473;0,148571342229843;"No"
"row_20";"ENSG00000101040";"ZMYND8";"zinc finger MYND-type containing 8";5543;0,137895703315735;"No"
"row_21";"ENSG00000100888";"CHD8";"chromodomain helicase DNA binding protein 8";5688;0,122567862272263;"No"
"row_22";"ENSG00000186767";"SPIN4";"spindlin family member 4";5973;0,096970871090889;"No"
"row_23";"ENSG00000104320";"NBN";"nibrin";6103;0,0847496017813683;"No"
"row_24";"ENSG00000196363";"WDR5";"WD repeat domain 5";6171;0,0791639611124992;"No"
"row_25";"ENSG00000005302";"MSL3";"MSL complex subunit 3";6303;0,0695888549089432;"No"
"row_26";"ENSG00000106723";"SPIN1";"spindlin 1";6624;0,0489270836114883;"No"
"row_27";"ENSG00000078487";"ZCWPW1";"zinc finger CW-type and PWWP domain containing 1";7001;0,031393364071846;"No"
"row_28";"ENSG00000171792";"RHNO1";"RAD9-HUS1-RAD1 interacting nuclear orphan 1";7074;0,0284210760146379;"No"
"row_29";"ENSG00000005483";"KMT2E";"lysine methyltransferase 2E (inactive)";7117;0,0269917994737625;"No"
"row_30";"ENSG00000169925";"BRD3";"bromodomain containing 3";7256;0,0217774044722319;"No"
"row_31";"ENSG00000085224";"ATRX";"ATRX chromatin remodeler";7258;0,0217171851545572;"No"
"row_32";"ENSG00000169057";"MECP2";"methyl-CpG binding protein 2";7282;0,020714171230793;"No"
"row_33";"ENSG00000163872";"YEATS2";"YEATS domain containing 2";7477;0,0148662813007832;"No"
"row_34";"ENSG00000173894";"CBX2";"chromobox 2";7489;0,0145369553938508;"No"
"row_35";"ENSG00000105821";"DNAJC2";"DnaJ heat shock protein family (Hsp40) member C2";7529;0,0135823078453541;"No"
"row_36";"ENSG00000160949";"TONSL";"tonsoku like, DNA repair protein";7666;0,0101999156177044;"No"
"row_37";"ENSG00000067369";"TP53BP1";"tumor protein p53 binding protein 1";7753;0,00835638865828514;"No"
"row_38";"ENSG00000102241";"HTATSF1";"HIV-1 Tat specific factor 1";7886;0,00586743326857686;"No"
"row_39";"ENSG00000147854";"UHRF2";"ubiquitin like with PHD and ring finger domains 2";7952;0,00484529044479132;"No"
"row_40";"ENSG00000147133";"TAF1";"TATA-box binding protein associated factor 1";8007;0,00406610080972314;"No"
"row_41";"ENSG00000141570";"CBX8";"chromobox 8";8045;0,00362893380224705;"No"
"row_42";"ENSG00000188486";"H2AX";"H2A.X variant histone";8096;0,00274543697014451;"No"
"row_43";"ENSG00000146918";"NCAPG2";"non-SMC condensin II complex subunit G2";8163;0,00214149942621589;"No"
"row_44";"ENSG00000112079";"STK38";"serine/threonine kinase 38";8193;0,00184232741594315;"No"
"row_45";"ENSG00000276043";"UHRF1";"ubiquitin like with PHD and ring finger domains 1";8225;0,00152061181142926;"No"
"row_46";"ENSG00000167674";"HDGFL2";"HDGF like 2";8419;0,000259487394941971;"No"
"row_47";"ENSG00000161036";"LRWD1";"leucine rich repeats and WD repeat domain containing 1";8475;0,00010387523798272;"No"
"row_48";"ENSG00000197724";"PHF2";"PHD finger protein 2";8513;3,88116422982421e-05;"No"
"row_49";"ENSG00000137948";"BRDT";"bromodomain testis associated";9551;0;"No"
"row_50";"ENSG00000147059";"SPIN2A";"spindlin family member 2A";9717;0;"No"
"row_51";"ENSG00000172288";"CDY1";"chromodomain Y-linked 1";10520;0;"No"
"row_52";"ENSG00000172352";"CDY1B";"chromodomain Y-linked 1B";10525;0;"No"
"row_53";"ENSG00000175097";"RAG2";"recombination activating 2";10652;0;"No"
"row_54";"ENSG00000187569";"DPPA3";"developmental pluripotency associated 3";11461;0;"No"
"row_55";"ENSG00000153922";"CHD1";"chromodomain helicase DNA binding protein 1";27360;-0,000133781664771959;"No"
"row_56";"ENSG00000151503";"NCAPD3";"non-SMC condensin II complex subunit D3";27377;-0,000192527964827605;"No"
"row_57";"ENSG00000176476";"SGF29";"SAGA complex associated factor 29";27412;-0,000340893398970366;"No"
"row_58";"ENSG00000131778";"CHD1L";"chromodomain helicase DNA binding protein 1 like";27605;-0,00157199543900788;"No"
"row_59";"ENSG00000076108";"BAZ2A";"bromodomain adjacent to zinc finger domain 2A";27723;-0,00290880491957068;"No"
"row_60";"ENSG00000112511";"PHF1";"PHD finger protein 1";27989;-0,00723168952390552;"No"
"row_61";"ENSG00000163781";"TOPBP1";"DNA topoisomerase II binding protein 1";28245;-0,0124358851462603;"No"
"row_62";"ENSG00000165972";"CCDC38";"coiled-coil domain containing 38";28332;-0,0148332417011261;"No"
"row_63";"ENSG00000166439";"RNF169";"ring finger protein 169";28400;-0,0168170519173145;"No"
"row_64";"ENSG00000172943";"PHF8";"PHD finger protein 8";28501;-0,019567709416151;"No"
"row_65";"ENSG00000154832";"CXXC1";"CXXC finger protein 1";28533;-0,0209018532186747;"No"
"row_66";"ENSG00000186787";"SPIN2B";"spindlin family member 2B";28534;-0,020906113088131;"No"
"row_67";"ENSG00000166164";"BRD7";"bromodomain containing 7";28624;-0,0241215769201517;"No"
"row_68";"ENSG00000159256";"MORC3";"MORC family CW-type zinc finger 3";28657;-0,0253113582730293;"No"
"row_69";"ENSG00000196199";"MPHOSPH8";"M-phase phosphoprotein 8";29071;-0,0431388802826405;"No"
"row_70";"ENSG00000116273";"PHF13";"PHD finger protein 13";29232;-0,0514539442956448;"No"
"row_71";"ENSG00000127337";"YEATS4";"YEATS domain containing 4";29233;-0,0515056103467941;"No"
"row_72";"ENSG00000152942";"RAD17";"RAD17 checkpoint clamp loader component";29362;-0,0587814524769783;"No"
"row_73";"ENSG00000087206";"UIMC1";"ubiquitin interaction motif containing 1";29467;-0,0665454640984535;"No"
"row_74";"ENSG00000185513";"L3MBTL1";"L3MBTL histone methyl-lysine binding protein 1";29507;-0,0691873952746391;"No"
"row_75";"ENSG00000184436";"THAP7";"THAP domain containing 7";29518;-0,0695153698325157;"No"
"row_76";"ENSG00000157657";"ZNF618";"zinc finger protein 618";29586;-0,074337936937809;"No"
"row_77";"ENSG00000171016";"PYGO1";"pygopus family PHD finger 1";29592;-0,0750794932246208;"No"
"row_78";"ENSG00000104872";"PIH1D1";"PIH1 domain containing 1";29609;-0,0758274048566818;"No"
"row_79";"ENSG00000138376";"BARD1";"BRCA1 associated RING domain 1";30060;-0,108891688287258;"No"
"row_80";"ENSG00000066135";"KDM4A";"lysine demethylase 4A";30191;-0,123800300061703;"No"
"row_81";"ENSG00000140632";"GLYR1";"glyoxylate reductase 1 homolog";30230;-0,128361195325851;"No"
"row_82";"ENSG00000153487";"ING1";"inhibitor of growth family member 1";30501;-0,161930486559868;"No"
"row_83";"ENSG00000286532";"PARTICL";"promoter of MAT2A antisense radiation-induced circulating long non-coding RNA";30525;-0,165678411722183;"No"
"row_84";"ENSG00000094916";"CBX5";"chromobox 5";30727;-0,188462421298027;"No"
"row_85";"ENSG00000116062";"MSH6";"mutS homolog 6";30805;-0,200320541858673;"No"
"row_86";"ENSG00000083544";"TDRD3";"tudor domain containing 3";30855;-0,205601930618286;"No"
"row_87";"ENSG00000120616";"EPC1";"enhancer of polycomb homolog 1";31040;-0,234532132744789;"No"
"row_88";"ENSG00000143033";"MTF2";"metal response element binding transcription factor 2";31076;-0,239436879754066;"No"
"row_89";"ENSG00000102081";"FMR1";"fragile X messenger ribonucleoprotein 1";31391;-0,296847611665726;"No"
"row_90";"ENSG00000111653";"ING4";"inhibitor of growth family member 4";31428;-0,304133266210556;"No"
