"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000095752";"IL11";"interleukin 11";21;1472,08776855469;"Yes"
"row_1";"ENSG00000145431";"PDGFC";"platelet derived growth factor C";52;925,315795898438;"Yes"
"row_2";"ENSG00000105976";"MET";"MET proto-oncogene, receptor tyrosine kinase";83;696,023620605469;"Yes"
"row_3";"ENSG00000125726";"CD70";"CD70 molecule";93;646,474243164062;"Yes"
"row_4";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";100;597,887145996094;"Yes"
"row_5";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";137;472,466735839844;"Yes"
"row_6";"ENSG00000134352";"IL6ST";"interleukin 6 cytokine family signal transducer";222;334,396606445312;"Yes"
"row_7";"ENSG00000122641";"INHBA";"inhibin subunit beta A";223;334,111968994141;"Yes"
"row_8";"ENSG00000184371";"CSF1";"colony stimulating factor 1";255;296,720458984375;"Yes"
"row_9";"ENSG00000150782";"IL18";"interleukin 18";333;238,734405517578;"Yes"
"row_10";"ENSG00000196083";"IL1RAP";"interleukin 1 receptor accessory protein";367;215,127578735352;"Yes"
"row_11";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";422;189,021926879883;"Yes"
"row_12";"ENSG00000168685";"IL7R";"interleukin 7 receptor";493;162,255020141602;"Yes"
"row_13";"ENSG00000113594";"LIFR";"LIF receptor subunit alpha";566;136,46110534668;"Yes"
"row_14";"ENSG00000150630";"VEGFC";"vascular endothelial growth factor C";607;125,984909057617;"Yes"
"row_15";"ENSG00000116678";"LEPR";"leptin receptor";716;106,366241455078;"Yes"
"row_16";"ENSG00000163734";"CXCL3";"C-X-C motif chemokine ligand 3";755;99,2400283813477;"Yes"
"row_17";"ENSG00000128342";"LIF";"LIF interleukin 6 family cytokine";777;95,4300384521484;"Yes"
"row_18";"ENSG00000128052";"KDR";"kinase insert domain receptor";818;89,4316177368164;"Yes"
"row_19";"ENSG00000113721";"PDGFRB";"platelet derived growth factor receptor beta";980;71,09375;"Yes"
"row_20";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";991;69,9732055664062;"Yes"
"row_21";"ENSG00000182578";"CSF1R";"colony stimulating factor 1 receptor";1000;69,0934677124023;"Yes"
"row_22";"ENSG00000145623";"OSMR";"oncostatin M receptor";1163;56,7272529602051;"Yes"
"row_23";"ENSG00000081041";"CXCL2";"C-X-C motif chemokine ligand 2";1222;52,725269317627;"Yes"
"row_24";"ENSG00000006210";"CX3CL1";"C-X3-C motif chemokine ligand 1";1408;41,8314590454102;"No"
"row_25";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";1426;41,096736907959;"No"
"row_26";"ENSG00000120889";"TNFRSF10B";"TNF receptor superfamily member 10b";1514;37,1601676940918;"No"
"row_27";"ENSG00000105329";"TGFB1";"transforming growth factor beta 1";1661;31,3746585845947;"No"
