"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000167601";"AXL";"AXL receptor tyrosine kinase";6;1839,15478515625;"Yes"
"row_1";"ENSG00000120217";"CD274";"CD274 molecule";106;513,640502929688;"Yes"
"row_2";"ENSG00000171867";"PRNP";"prion protein (Kanno blood group)";158;398,874694824219;"Yes"
"row_3";"ENSG00000197646";"PDCD1LG2";"programmed cell death 1 ligand 2";341;186,101333618164;"Yes"
"row_4";"ENSG00000183087";"GAS6";"growth arrest specific 6";490;132,197265625;"Yes"
"row_5";"ENSG00000136869";"TLR4";"toll like receptor 4";515;125,164794921875;"Yes"
"row_6";"ENSG00000122641";"INHBA";"inhibin subunit beta A";1298;34,0804748535156;"No"
"row_7";"ENSG00000162511";"LAPTM5";"lysosomal protein transmembrane 5";3418;4,3605260848999;"No"
"row_8";"ENSG00000163874";"ZC3H12A";"zinc finger CCCH-type containing 12A";3650;3,68464112281799;"No"
"row_9";"ENSG00000237693";"IRGM";"immunity related GTPase M";3998;2,84664797782898;"No"
"row_10";"ENSG00000008438";"PGLYRP1";"peptidoglycan recognition protein 1";4259;2,32496428489685;"No"
"row_11";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";4941;1,38871073722839;"No"
"row_12";"ENSG00000108561";"C1QBP";"complement C1q binding protein";5252;1,10207152366638;"No"
"row_13";"ENSG00000170298";"LGALS9B";"galectin 9B";5637;0,830228626728058;"No"
"row_14";"ENSG00000189403";"HMGB1";"high mobility group box 1";7822;0,111573472619057;"No"
"row_15";"ENSG00000012504";"NR1H4";"nuclear receptor subfamily 1 group H member 4";8504;0,0793862044811249;"No"
"row_16";"ENSG00000174885";"NLRP6";"NLR family pyrin domain containing 6";8698;0,054699569940567;"No"
"row_17";"ENSG00000115602";"IL1RL1";"interleukin 1 receptor like 1";8916;0,0341367051005363;"No"
"row_18";"ENSG00000117586";"TNFSF4";"TNF superfamily member 4";9769;0,000612164265476167;"No"
"row_19";"ENSG00000136634";"IL10";"interleukin 10";10030;-0,000648690038360655;"No"
"row_20";"ENSG00000117090";"SLAMF1";"signaling lymphocytic activation molecule family member 1";11209;-0,0817247331142426;"No"
"row_21";"ENSG00000049768";"FOXP3";"forkhead box P3";11281;-0,0894896909594536;"No"
"row_22";"ENSG00000123999";"INHA";"inhibin subunit alpha";11355;-0,100799731910229;"No"
"row_23";"ENSG00000168961";"LGALS9";"galectin 9";12109;-0,259075611829758;"No"
"row_24";"ENSG00000135077";"HAVCR2";"hepatitis A virus cellular receptor 2";12341;-0,337513864040375;"No"
"row_25";"ENSG00000175197";"DDIT3";"DNA damage inducible transcript 3";12741;-0,462705075740814;"No"
"row_26";"ENSG00000161031";"PGLYRP2";"peptidoglycan recognition protein 2";13075;-0,578338265419006;"No"
"row_27";"ENSG00000153283";"CD96";"CD96 molecule";13807;-0,92581045627594;"No"
"row_28";"ENSG00000131759";"RARA";"retinoic acid receptor alpha";14541;-1,42422926425934;"No"
"row_29";"ENSG00000136695";"IL36RN";"interleukin 36 receptor antagonist";16404;-5,19961786270142;"No"
"row_30";"ENSG00000174564";"IL20RB";"interleukin 20 receptor subunit beta";16433;-5,29914617538452;"No"
"row_31";"ENSG00000107485";"GATA3";"GATA binding protein 3";17563;-13,8310384750366;"No"
"row_32";"ENSG00000143184";"XCL1";"X-C motif chemokine ligand 1";18876;-58,3569412231445;"No"
