"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000138356";"AOX1";"aldehyde oxidase 1";419;27,6038646697998;"No"
"row_1";"ENSG00000006534";"ALDH3B1";"aldehyde dehydrogenase 3 family member B1";1429;7,78053045272827;"No"
"row_2";"ENSG00000077498";"TYR";"tyrosinase";2026;3,99576282501221;"No"
"row_3";"ENSG00000131471";"AOC3";"amine oxidase copper containing 3";2985;1,7276064157486;"No"
"row_4";"ENSG00000131480";"AOC2";"amine oxidase copper containing 2";3313;1,24161994457245;"No"
"row_5";"ENSG00000104951";"IL4I1";"interleukin 4 induced 1";3350;1,19131362438202;"No"
"row_6";"ENSG00000103876";"FAH";"fumarylacetoacetate hydrolase";3414;1,09126079082489;"No"
"row_7";"ENSG00000107165";"TYRP1";"tyrosinase related protein 1";5059;0,411156356334686;"No"
"row_8";"ENSG00000196616";"ADH1B";"alcohol dehydrogenase 1B (class I), beta polypeptide";5066;0,409984946250916;"No"
"row_9";"ENSG00000069535";"MAOB";"monoamine oxidase B";5383;0,331179976463318;"No"
"row_10";"ENSG00000120053";"GOT1";"glutamic-oxaloacetic transaminase 1";5773;0,230077669024467;"No"
"row_11";"ENSG00000093010";"COMT";"catechol-O-methyltransferase";6162;0,166792407631874;"No"
"row_12";"ENSG00000189221";"MAOA";"monoamine oxidase A";7598;0,048347320407629;"No"
"row_13";"ENSG00000125166";"GOT2";"glutamic-oxaloacetic transaminase 2";7842;0,0341845266520977;"No"
"row_14";"ENSG00000100577";"GSTZ1";"glutathione S-transferase zeta 1";8119;0,0229110904037952;"No"
"row_15";"ENSG00000071462";"BUD23";"BUD23 rRNA methyltransferase and ribosome maturation factor";9263;0,000390378321753815;"No"
"row_16";"ENSG00000172955";"ADH6";"alcohol dehydrogenase 6 (class V)";11026;0;"No"
"row_17";"ENSG00000187758";"ADH1A";"alcohol dehydrogenase 1A (class I), alpha polypeptide";11818;0;"No"
"row_18";"ENSG00000196344";"ADH7";"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide";11964;0;"No"
"row_19";"ENSG00000198099";"ADH4";"alcohol dehydrogenase 4 (class II), pi polypeptide";12085;0;"No"
"row_20";"ENSG00000198650";"TAT";"tyrosine aminotransferase";12122;0;"No"
"row_21";"ENSG00000240972";"MIF";"macrophage migration inhibitory factor";19412;0;"No"
"row_22";"ENSG00000243477";"NAA80";"N-alpha-acetyltransferase 80, NatH catalytic subunit";19937;0;"No"
"row_23";"ENSG00000197894";"ADH5";"alcohol dehydrogenase 5 (class III), chi polypeptide";26843;-0,0003199509519618;"No"
"row_24";"ENSG00000108602";"ALDH3A1";"aldehyde dehydrogenase 3 family member A1";27580;-0,0108799273148179;"No"
"row_25";"ENSG00000080166";"DCT";"dopachrome tautomerase";27645;-0,0125690549612045;"No"
"row_26";"ENSG00000114735";"HEMK1";"HemK methyltransferase 1, mitochondrial release factors N(5)-glutamine";27684;-0,0134169347584248;"No"
"row_27";"ENSG00000206562";"METTL6";"methyltransferase 6, tRNA N3-cytidine";28736;-0,0542590096592903;"No"
"row_28";"ENSG00000205629";"LCMT1";"leucine carboxyl methyltransferase 1";28997;-0,0658183097839355;"No"
"row_29";"ENSG00000066651";"TRMT11";"tRNA methyltransferase 11 homolog";29014;-0,0664690658450127;"No"
"row_30";"ENSG00000113924";"HGD";"homogentisate 1,2-dioxygenase";29725;-0,125967815518379;"No"
"row_31";"ENSG00000165055";"METTL2B";"methyltransferase 2B, tRNA N3-cytidine";31243;-0,381447345018387;"No"
"row_32";"ENSG00000158104";"HPD";"4-hydroxyphenylpyruvate dioxygenase";31454;-0,435917377471924;"No"
"row_33";"ENSG00000180176";"TH";"tyrosine hydroxylase";31458;-0,435917377471924;"No"
"row_34";"ENSG00000168806";"LCMT2";"leucine carboxyl methyltransferase 2";32305;-0,779730200767517;"No"
"row_35";"ENSG00000132746";"ALDH3B2";"aldehyde dehydrogenase 3 family member B2";32538;-0,883094310760498;"No"
"row_36";"ENSG00000248144";"ADH1C";"alcohol dehydrogenase 1C (class I), gamma polypeptide";34647;-3,230060338974;"Yes"
"row_37";"ENSG00000115705";"TPO";"thyroid peroxidase";34799;-3,85845851898193;"Yes"
"row_38";"ENSG00000141744";"PNMT";"phenylethanolamine N-methyltransferase";36103;-24,7239971160889;"Yes"
"row_39";"ENSG00000184254";"ALDH1A3";"aldehyde dehydrogenase 1 family member A3";36270;-43,6985359191895;"Yes"
"row_40";"ENSG00000123454";"DBH";"dopamine beta-hydroxylase";36381;-90,4366149902344;"Yes"
"row_41";"ENSG00000132437";"DDC";"dopa decarboxylase";36392;-106,253952026367;"Yes"
