"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000105409";"ATP1A3";"ATPase Na+/K+ transporting subunit alpha 3";157;48,6064949035645;"Yes"
"row_1";"ENSG00000104267";"CA2";"carbonic anhydrase 2";228;42,4083786010742;"Yes"
"row_2";"ENSG00000129244";"ATP1B2";"ATPase Na+/K+ transporting subunit beta 2";407;31,0166931152344;"Yes"
"row_3";"ENSG00000080493";"SLC4A4";"solute carrier family 4 member 4";707;19,8631477355957;"Yes"
"row_4";"ENSG00000188338";"SLC38A3";"solute carrier family 38 member 3";839;16,3810138702393;"Yes"
"row_5";"ENSG00000066230";"SLC9A3";"solute carrier family 9 member A3";1264;9,38015842437744;"Yes"
"row_6";"ENSG00000167434";"CA4";"carbonic anhydrase 4";1491;7,36594200134277;"Yes"
"row_7";"ENSG00000132681";"ATP1A4";"ATPase Na+/K+ transporting subunit alpha 4";1584;6,54309844970703;"Yes"
"row_8";"ENSG00000240583";"AQP1";"aquaporin 1 (Colton blood group)";2706;2,11106252670288;"No"
"row_9";"ENSG00000124253";"PCK1";"phosphoenolpyruvate carboxykinase 1";3424;1,58784234523773;"No"
"row_10";"ENSG00000183048";"SLC25A10";"solute carrier family 25 member 10";6235;0,128720566630363;"No"
"row_11";"ENSG00000135423";"GLS2";"glutaminase 2";8066;0,0175734162330627;"No"
"row_12";"ENSG00000018625";"ATP1A2";"ATPase Na+/K+ transporting subunit alpha 2";9157;0;"No"
"row_13";"ENSG00000100889";"PCK2";"phosphoenolpyruvate carboxykinase 2, mitochondrial";9360;0;"No"
"row_14";"ENSG00000101892";"ATP1B4";"ATPase Na+/K+ transporting family member beta 4";9386;0;"No"
"row_15";"ENSG00000137731";"FXYD2";"FXYD domain containing ion transport regulator 2";10036;0;"No"
"row_16";"ENSG00000014641";"MDH1";"malate dehydrogenase 1";27577;-0,00143210135865957;"No"
"row_17";"ENSG00000115419";"GLS";"glutaminase";28301;-0,0141399437561631;"No"
"row_18";"ENSG00000069849";"ATP1B3";"ATPase Na+/K+ transporting subunit beta 3";28986;-0,0441978685557842;"No"
"row_19";"ENSG00000163399";"ATP1A1";"ATPase Na+/K+ transporting subunit alpha 1";29339;-0,0678248181939125;"No"
"row_20";"ENSG00000148672";"GLUD1";"glutamate dehydrogenase 1";30745;-0,237129807472229;"No"
"row_21";"ENSG00000182890";"GLUD2";"glutamate dehydrogenase 2";34331;-2,34195423126221;"No"
"row_22";"ENSG00000143153";"ATP1B1";"ATPase Na+/K+ transporting subunit beta 1";34568;-2,98425579071045;"No"
