"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000206557";"TRIM71";"tripartite motif containing 71";21;133,887115478516;"Yes"
"row_1";"ENSG00000142279";"WTIP";"WT1 interacting protein";1029;9,46330738067627;"Yes"
"row_2";"ENSG00000242372";"EIF6";"eukaryotic translation initiation factor 6";3529;0,678433418273926;"No"
"row_3";"ENSG00000129474";"AJUBA";"ajuba LIM protein";4334;0,332996606826782;"No"
"row_4";"ENSG00000135930";"EIF4E2";"eukaryotic translation initiation factor 4E family member 2";5759;0,114336676895618;"No"
"row_5";"ENSG00000090905";"TNRC6A";"trinucleotide repeat containing adaptor 6A";6548;0,0446540676057339;"No"
"row_6";"ENSG00000110367";"DDX6";"DEAD-box helicase 6";6693;0,0380645655095577;"No"
"row_7";"ENSG00000198984";"MIR345";"microRNA 345";11894;0;"No"
"row_8";"ENSG00000198997";"MIR107";"microRNA 107";11897;0;"No"
"row_9";"ENSG00000199017";"MIR1-1";"microRNA 1-1";11902;0;"No"
"row_10";"ENSG00000199035";"MIR103A1";"microRNA 103a-1";11910;0;"No"
"row_11";"ENSG00000199038";"MIR210";"microRNA 210";11912;0;"No"
"row_12";"ENSG00000199047";"MIR378A";"microRNA 378a";11914;0;"No"
"row_13";"ENSG00000199059";"MIR135B";"microRNA 135b";11917;0;"No"
"row_14";"ENSG00000199080";"MIR133B";"microRNA 133b";11923;0;"No"
"row_15";"ENSG00000199085";"MIR148A";"microRNA 148a";11925;0;"No"
"row_16";"ENSG00000199088";"MIR379";"microRNA 379";11926;0;"No"
"row_17";"ENSG00000199104";"MIR346";"microRNA 346";11932;0;"No"
"row_18";"ENSG00000199121";"MIR26B";"microRNA 26b";11935;0;"No"
"row_19";"ENSG00000199122";"MIR148B";"microRNA 148b";11936;0;"No"
"row_20";"ENSG00000199130";"MIR365A";"microRNA 365a";11938;0;"No"
"row_21";"ENSG00000199135";"MIR101-1";"microRNA 101-1";11941;0;"No"
"row_22";"ENSG00000199157";"MIR208A";"microRNA 208a";11948;0;"No"
