"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000100077";"GRK3";"G protein-coupled receptor kinase 3";11;85,6121826171875;"Yes"
"row_1";"ENSG00000145824";"CXCL14";"C-X-C motif chemokine ligand 14";199;37,2542762756348;"Yes"
"row_2";"ENSG00000164742";"ADCY1";"adenylate cyclase 1";235;34,8586921691895;"Yes"
"row_3";"ENSG00000006210";"CX3CL1";"C-X3-C motif chemokine ligand 1";289;31,4473781585693;"Yes"
"row_4";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";296;31,0837059020996;"Yes"
"row_5";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";317;29,9965763092041;"Yes"
"row_6";"ENSG00000167083";"GNGT2";"G protein subunit gamma transducin 2";458;22,1163120269775;"Yes"
"row_7";"ENSG00000078295";"ADCY2";"adenylate cyclase 2";484;21,1027336120605;"Yes"
"row_8";"ENSG00000115009";"CCL20";"C-C motif chemokine ligand 20";504;20,4813404083252;"Yes"
"row_9";"ENSG00000168243";"GNG4";"G protein subunit gamma 4";618;17,0908164978027;"Yes"
"row_10";"ENSG00000117020";"AKT3";"AKT serine/threonine kinase 3";877;12,1856441497803;"Yes"
"row_11";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";880;12,1120195388794;"Yes"
"row_12";"ENSG00000143184";"XCL1";"X-C motif chemokine ligand 1";882;12,1120195388794;"Yes"
"row_13";"ENSG00000112486";"CCR6";"C-C motif chemokine receptor 6";944;11,0055303573608;"Yes"
"row_14";"ENSG00000146426";"TIAM2";"TIAM Rac1 associated GEF 2";982;10,7656650543213;"Yes"
"row_15";"ENSG00000134516";"DOCK2";"dedicator of cytokinesis 2";1022;10,0058526992798;"Yes"
"row_16";"ENSG00000141968";"VAV1";"vav guanine nucleotide exchange factor 1";1079;9,31370735168457;"Yes"
"row_17";"ENSG00000155849";"ELMO1";"engulfment and cell motility 1";1113;9,16960430145264;"Yes"
"row_18";"ENSG00000101336";"HCK";"HCK proto-oncogene, Src family tyrosine kinase";1155;8,51153469085693;"Yes"
"row_19";"ENSG00000111664";"GNB3";"G protein subunit beta 3";1239;8,01906490325928;"Yes"
"row_20";"ENSG00000068831";"RASGRP2";"RAS guanyl releasing protein 2";1368;6,51976537704468;"Yes"
"row_21";"ENSG00000126353";"CCR7";"C-C motif chemokine receptor 7";1383;6,51976537704468;"Yes"
"row_22";"ENSG00000143185";"XCL2";"X-C motif chemokine ligand 2";1390;6,51976537704468;"Yes"
"row_23";"ENSG00000137841";"PLCB2";"phospholipase C beta 2";1489;6,19451284408569;"Yes"
"row_24";"ENSG00000106178";"CCL24";"C-C motif chemokine ligand 24";1491;6,15408229827881;"Yes"
"row_25";"ENSG00000127928";"GNGT1";"G protein subunit gamma transducin 1";1539;5,7172532081604;"Yes"
"row_26";"ENSG00000129946";"SHC2";"SHC adaptor protein 2";1587;5,56639957427979;"Yes"
"row_27";"ENSG00000166501";"PRKCB";"protein kinase C beta";1723;4,86845111846924;"Yes"
"row_28";"ENSG00000142875";"PRKACB";"protein kinase cAMP-activated catalytic subunit beta";2070;3,55466151237488;"Yes"
"row_29";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";2083;3,49376749992371;"Yes"
"row_30";"ENSG00000213927";"CCL27";"C-C motif chemokine ligand 27";2321;3,01602935791016;"No"
"row_31";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";2709;2,19581341743469;"No"
"row_32";"ENSG00000173175";"ADCY5";"adenylate cyclase 5";2743;2,08431577682495;"No"
"row_33";"ENSG00000137077";"CCL21";"C-C motif chemokine ligand 21";2796;2,01139521598816;"No"
"row_34";"ENSG00000254087";"LYN";"LYN proto-oncogene, Src family tyrosine kinase";3112;1,54591023921967;"No"
"row_35";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";3476;1,06818854808807;"No"
"row_36";"ENSG00000102962";"CCL22";"C-C motif chemokine ligand 22";3603;0,974733531475067;"No"
"row_37";"ENSG00000121807";"CCR2";"C-C motif chemokine receptor 2";3641;0,974733531475067;"No"
"row_38";"ENSG00000163735";"CXCL5";"C-X-C motif chemokine ligand 5";3755;0,974733531475067;"No"
"row_39";"ENSG00000163736";"PPBP";"pro-platelet basic protein";3756;0,974733531475067;"No"
"row_40";"ENSG00000172724";"CCL19";"C-C motif chemokine ligand 19";3805;0,974733531475067;"No"
"row_41";"ENSG00000180871";"CXCR2";"C-X-C motif chemokine receptor 2";3837;0,974733531475067;"No"
"row_42";"ENSG00000181374";"CCL13";"C-C motif chemokine ligand 13";3842;0,974733531475067;"No"
"row_43";"ENSG00000277632";"CCL3";"C-C motif chemokine ligand 3";4273;0,974733531475067;"No"
"row_44";"ENSG00000108691";"CCL2";"C-C motif chemokine ligand 2";4542;0,838587045669556;"No"
"row_45";"ENSG00000127955";"GNAI1";"G protein subunit alpha i1";5086;0,529500305652618;"No"
"row_46";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";5180;0,488446891307831;"No"
"row_47";"ENSG00000065135";"GNAI3";"G protein subunit alpha i3";5341;0,448084205389023;"No"
"row_48";"ENSG00000099942";"CRKL";"CRK like proto-oncogene, adaptor protein";5461;0,400498539209366;"No"
"row_49";"ENSG00000172380";"GNG12";"G protein subunit gamma 12";5542;0,381245344877243;"No"
"row_50";"ENSG00000124126";"PREX1";"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1";5607;0,363593012094498;"No"
"row_51";"ENSG00000149269";"PAK1";"p21 (RAC1) activated kinase 1";5675;0,341200739145279;"No"
"row_52";"ENSG00000134318";"ROCK2";"Rho associated coiled-coil containing protein kinase 2";5735;0,322633504867554;"No"
"row_53";"ENSG00000114450";"GNB4";"G protein subunit beta 4";5789;0,31069877743721;"No"
"row_54";"ENSG00000176533";"GNG7";"G protein subunit gamma 7";5793;0,308985561132431;"No"
"row_55";"ENSG00000067900";"ROCK1";"Rho associated coiled-coil containing protein kinase 1";5856;0,298004478216171;"No"
"row_56";"ENSG00000160691";"SHC1";"SHC adaptor protein 1";6006;0,269046634435654;"No"
"row_57";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";6127;0,242903932929039;"No"
"row_58";"ENSG00000148082";"SHC3";"SHC adaptor protein 3";6272;0,217318445444107;"No"
"row_59";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";6292;0,214949980378151;"No"
"row_60";"ENSG00000156299";"TIAM1";"TIAM Rac1 associated GEF 1";6513;0,180569767951965;"No"
"row_61";"ENSG00000213341";"CHUK";"component of inhibitor of nuclear factor kappa B kinase complex";6541;0,176358252763748;"No"
"row_62";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";6711;0,156007617712021;"No"
"row_63";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";7028;0,115736991167068;"No"
"row_64";"ENSG00000148498";"PARD3";"par-3 family cell polarity regulator";7267;0,0966463983058929;"No"
"row_65";"ENSG00000069966";"GNB5";"G protein subunit beta 5";7281;0,0952442288398743;"No"
"row_66";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";7546;0,0714073926210403;"No"
"row_67";"ENSG00000182621";"PLCB1";"phospholipase C beta 1";7674;0,0631325170397758;"No"
"row_68";"ENSG00000070831";"CDC42";"cell division cycle 42";7770;0,0568425469100475;"No"
"row_69";"ENSG00000116473";"RAP1A";"RAP1A, member of RAS oncogene family";7827;0,0517569333314896;"No"
"row_70";"ENSG00000138031";"ADCY3";"adenylate cyclase 3";8012;0,0423377007246017;"No"
"row_71";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";8075;0,0390038080513477;"No"
"row_72";"ENSG00000127588";"GNG13";"G protein subunit gamma 13";8227;0,0318208187818527;"No"
"row_73";"ENSG00000109320";"NFKB1";"nuclear factor kappa B subunit 1";8541;0,0194386634975672;"No"
"row_74";"ENSG00000118689";"FOXO3";"forkhead box O3";8576;0,0179626643657684;"No"
"row_75";"ENSG00000104365";"IKBKB";"inhibitor of nuclear factor kappa B kinase subunit beta";8777;0,0118521759286523;"No"
"row_76";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";9190;0,003211171599105;"No"
"row_77";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";9201;0,00308344583027065;"No"
"row_78";"ENSG00000169398";"PTK2";"protein tyrosine kinase 2";9238;0,00272531947121024;"No"
"row_79";"ENSG00000167193";"CRK";"CRK proto-oncogene, adaptor protein";9258;0,0024775096680969;"No"
"row_80";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";9464;0,000575911428313702;"No"
"row_81";"ENSG00000000938";"FGR";"FGR proto-oncogene, Src family tyrosine kinase";9650;0;"No"
"row_82";"ENSG00000015285";"WAS";"WASP actin nucleation promoting factor";9681;0;"No"
"row_83";"ENSG00000102970";"CCL17";"C-C motif chemokine ligand 17";9937;0;"No"
"row_84";"ENSG00000104825";"NFKBIB";"NFKB inhibitor beta";9957;0;"No"
"row_85";"ENSG00000108688";"CCL7";"C-C motif chemokine ligand 7";10029;0;"No"
"row_86";"ENSG00000108700";"CCL8";"C-C motif chemokine ligand 8";10030;0;"No"
"row_87";"ENSG00000108702";"CCL1";"C-C motif chemokine ligand 1";10031;0;"No"
"row_88";"ENSG00000109272";"PF4V1";"platelet factor 4 variant 1";10048;0;"No"
"row_89";"ENSG00000117461";"PIK3R3";"phosphoinositide-3-kinase regulatory subunit 3";10168;0;"No"
"row_90";"ENSG00000127920";"GNG11";"G protein subunit gamma 11";10380;0;"No"
"row_91";"ENSG00000129467";"ADCY4";"adenylate cyclase 4";10408;0;"No"
"row_92";"ENSG00000138755";"CXCL9";"C-X-C motif chemokine ligand 9";10607;0;"No"
"row_93";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";10663;0;"No"
"row_94";"ENSG00000158517";"NCF1";"neutrophil cytosolic factor 1";10941;0;"No"
"row_95";"ENSG00000160791";"CCR5";"C-C motif chemokine receptor 5";10992;0;"No"
"row_96";"ENSG00000162188";"GNG3";"G protein subunit gamma 3";11026;0;"No"
"row_97";"ENSG00000163464";"CXCR1";"C-X-C motif chemokine receptor 1";11088;0;"No"
"row_98";"ENSG00000163737";"PF4";"platelet factor 4";11103;0;"No"
"row_99";"ENSG00000163823";"CCR1";"C-C motif chemokine receptor 1";11107;0;"No"
"row_100";"ENSG00000165059";"PRKACG";"protein kinase cAMP-activated catalytic subunit gamma";11168;0;"No"
"row_101";"ENSG00000167414";"GNG8";"G protein subunit gamma 8";11263;0;"No"
"row_102";"ENSG00000168329";"CX3CR1";"C-X3-C motif chemokine receptor 1";11311;0;"No"
"row_103";"ENSG00000169245";"CXCL10";"C-X-C motif chemokine ligand 10";11349;0;"No"
"row_104";"ENSG00000169248";"CXCL11";"C-X-C motif chemokine ligand 11";11350;0;"No"
"row_105";"ENSG00000172156";"CCL11";"C-C motif chemokine ligand 11";11505;0;"No"
"row_106";"ENSG00000172215";"CXCR6";"C-X-C motif chemokine receptor 6";11511;0;"No"
"row_107";"ENSG00000173578";"XCR1";"X-C motif chemokine receptor 1";11577;0;"No"
"row_108";"ENSG00000173585";"CCR9";"C-C motif chemokine receptor 9";11578;0;"No"
"row_109";"ENSG00000179934";"CCR8";"C-C motif chemokine receptor 8";11902;0;"No"
"row_110";"ENSG00000184451";"CCR10";"C-C motif chemokine receptor 10";12175;0;"No"
"row_111";"ENSG00000185974";"GRK1";"G protein-coupled receptor kinase 1";12267;0;"No"
"row_112";"ENSG00000186810";"CXCR3";"C-X-C motif chemokine receptor 3";12339;0;"No"
"row_113";"ENSG00000242616";"GNG10";"G protein subunit gamma 10";20631;0;"No"
"row_114";"ENSG00000271503";"CCL5";"C-C motif chemokine ligand 5";25202;0;"No"
"row_115";"ENSG00000274736";"CCL23";"C-C motif chemokine ligand 23";25507;0;"No"
"row_116";"ENSG00000275152";"CCL16";"C-C motif chemokine ligand 16";25565;0;"No"
"row_117";"ENSG00000275302";"CCL4";"C-C motif chemokine ligand 4";25585;0;"No"
"row_118";"ENSG00000275385";"CCL18";"C-C motif chemokine ligand 18";25597;0;"No"
"row_119";"ENSG00000275718";"CCL15";"C-C motif chemokine ligand 15";25650;0;"No"
"row_120";"ENSG00000276070";"CCL4L2";"C-C motif chemokine ligand 4 like 2";25701;0;"No"
"row_121";"ENSG00000276085";"CCL3L3";"C-C motif chemokine ligand 3 like 3";25705;0;"No"
"row_122";"ENSG00000276409";"CCL14";"C-C motif chemokine ligand 14";25747;0;"No"
"row_123";"ENSG00000067560";"RHOA";"ras homolog family member A";27997;-0,000762270705308765;"No"
"row_124";"ENSG00000170581";"STAT2";"signal transducer and activator of transcription 2";28047;-0,0010521475924179;"No"
"row_125";"ENSG00000155897";"ADCY8";"adenylate cyclase 8";28095;-0,00140774401370436;"No"
"row_126";"ENSG00000050820";"BCAR1";"BCAR1 scaffold protein, Cas family member";28122;-0,00167884631082416;"No"
"row_127";"ENSG00000160293";"VAV2";"vav guanine nucleotide exchange factor 2";28538;-0,00755901634693146;"No"
"row_128";"ENSG00000141480";"ARRB2";"arrestin beta 2";28610;-0,00906531047075987;"No"
"row_129";"ENSG00000120899";"PTK2B";"protein tyrosine kinase 2 beta";28659;-0,0103448936715722;"No"
"row_130";"ENSG00000100906";"NFKBIA";"NFKB inhibitor alpha";28709;-0,0112335616722703;"No"
"row_131";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";28725;-0,0118238786235452;"No"
"row_132";"ENSG00000105723";"GSK3A";"glycogen synthase kinase 3 alpha";28918;-0,0167288091033697;"No"
"row_133";"ENSG00000174233";"ADCY6";"adenylate cyclase 6";28923;-0,0168829914182425;"No"
"row_134";"ENSG00000121281";"ADCY7";"adenylate cyclase 7";29036;-0,0205174367874861;"No"
"row_135";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";29079;-0,0221340134739876;"No"
"row_136";"ENSG00000067606";"PRKCZ";"protein kinase C zeta";29216;-0,0268716160207987;"No"
"row_137";"ENSG00000198055";"GRK6";"G protein-coupled receptor kinase 6";29228;-0,0274276081472635;"No"
"row_138";"ENSG00000149782";"PLCB3";"phospholipase C beta 3";29245;-0,0280198305845261;"No"
"row_139";"ENSG00000173039";"RELA";"RELA proto-oncogene, NF-kB subunit";29740;-0,0531806573271751;"No"
"row_140";"ENSG00000115415";"STAT1";"signal transducer and activator of transcription 1";29930;-0,0635154843330383;"No"
"row_141";"ENSG00000151882";"CCL28";"C-C motif chemokine ligand 28";29944;-0,0641754567623138;"No"
"row_142";"ENSG00000172354";"GNB2";"G protein subunit beta 2";30036;-0,0713127553462982;"No"
"row_143";"ENSG00000078369";"GNB1";"G protein subunit beta 1";30059;-0,0736161321401596;"No"
"row_144";"ENSG00000114124";"GRK7";"G protein-coupled receptor kinase 7";30151;-0,0803217366337776;"No"
"row_145";"ENSG00000183813";"CCR4";"C-C motif chemokine receptor 4";30175;-0,0803217366337776;"No"
"row_146";"ENSG00000103653";"CSK";"C-terminal Src kinase";30344;-0,0920106172561646;"No"
"row_147";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";30648;-0,120129652321339;"No"
"row_148";"ENSG00000106299";"WASL";"WASP like actin nucleation promoting factor";30765;-0,131294474005699;"No"
"row_149";"ENSG00000162104";"ADCY9";"adenylate cyclase 9";30872;-0,142047315835953;"No"
"row_150";"ENSG00000161921";"CXCL16";"C-X-C motif chemokine ligand 16";30936;-0,149372577667236;"No"
"row_151";"ENSG00000156234";"CXCL13";"C-X-C motif chemokine ligand 13";31006;-0,155690014362335;"No"
"row_152";"ENSG00000051382";"PIK3CB";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta";31086;-0,166175216436386;"No"
"row_153";"ENSG00000096968";"JAK2";"Janus kinase 2";31088;-0,166634976863861;"No"
"row_154";"ENSG00000174021";"GNG5";"G protein subunit gamma 5";31174;-0,177598088979721;"No"
"row_155";"ENSG00000105639";"JAK3";"Janus kinase 3";31321;-0,199679359793663;"No"
"row_156";"ENSG00000173020";"GRK2";"G protein-coupled receptor kinase 2";31616;-0,245717972517014;"No"
"row_157";"ENSG00000127314";"RAP1B";"RAP1B, member of RAS oncogene family";31681;-0,258058995008469;"No"
"row_158";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";31707;-0,263676553964615;"No"
"row_159";"ENSG00000137486";"ARRB1";"arrestin beta 1";31795;-0,280058920383453;"No"
"row_160";"ENSG00000124875";"CXCL6";"C-X-C motif chemokine ligand 6";31937;-0,315373212099075;"No"
"row_161";"ENSG00000131142";"CCL25";"C-C motif chemokine ligand 25";32456;-0,456384599208832;"No"
"row_162";"ENSG00000114353";"GNAI2";"G protein subunit alpha i2";32584;-0,493960231542587;"No"
"row_163";"ENSG00000269335";"IKBKG";"inhibitor of nuclear factor kappa B kinase regulatory subunit gamma";32593;-0,496220707893372;"No"
"row_164";"ENSG00000163734";"CXCL3";"C-X-C motif chemokine ligand 3";32999;-0,678078532218933;"No"
"row_165";"ENSG00000198873";"GRK5";"G protein-coupled receptor kinase 5";33105;-0,741643965244293;"No"
"row_166";"ENSG00000183943";"PRKX";"protein kinase cAMP-dependent X-linked catalytic subunit";33195;-0,789529025554657;"No"
"row_167";"ENSG00000107562";"CXCL12";"C-X-C motif chemokine ligand 12";33349;-0,890790104866028;"No"
"row_168";"ENSG00000160683";"CXCR5";"C-X-C motif chemokine receptor 5";33494;-0,939889788627625;"No"
"row_169";"ENSG00000072062";"PRKACA";"protein kinase cAMP-activated catalytic subunit alpha";33931;-1,04245638847351;"No"
"row_170";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";33992;-1,08102977275848;"No"
"row_171";"ENSG00000163932";"PRKCD";"protein kinase C delta";34000;-1,09281170368195;"No"
"row_172";"ENSG00000113263";"ITK";"IL2 inducible T cell kinase";34478;-1,6408725976944;"No"
"row_173";"ENSG00000169429";"CXCL8";"C-X-C motif chemokine ligand 8";34484;-1,64956200122833;"No"
"row_174";"ENSG00000089159";"PXN";"paxillin";34523;-1,72322201728821;"No"
"row_175";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";34712;-1,97319829463959;"No"
"row_176";"ENSG00000186469";"GNG2";"G protein subunit gamma 2";34757;-2,10858225822449;"No"
"row_177";"ENSG00000125388";"GRK4";"G protein-coupled receptor kinase 4";34780;-2,16209888458252;"No"
"row_178";"ENSG00000101333";"PLCB4";"phospholipase C beta 4";34797;-2,21421813964844;"No"
"row_179";"ENSG00000006606";"CCL26";"C-C motif chemokine ligand 26";34921;-2,52555513381958;"No"
"row_180";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";35081;-2,9257481098175;"No"
"row_181";"ENSG00000163739";"CXCL1";"C-X-C motif chemokine ligand 1";35175;-3,00804805755615;"No"
