"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000196735";"HLA-DQA1";"major histocompatibility complex, class II, DQ alpha 1";1946;7,94036436080933;"No"
"row_1";"ENSG00000198502";"HLA-DRB5";"major histocompatibility complex, class II, DR beta 5";2340;5,60191059112549;"No"
"row_2";"ENSG00000180644";"PRF1";"perforin 1";2516;4,732750415802;"No"
"row_3";"ENSG00000179344";"HLA-DQB1";"major histocompatibility complex, class II, DQ beta 1";2920;3,07384133338928;"No"
"row_4";"ENSG00000223865";"HLA-DPB1";"major histocompatibility complex, class II, DP beta 1";2961;3,07384133338928;"No"
"row_5";"ENSG00000204287";"HLA-DRA";"major histocompatibility complex, class II, DR alpha";3701;1,52819609642029;"No"
"row_6";"ENSG00000134539";"KLRD1";"killer cell lectin like receptor D1";4167;0,997101008892059;"No"
"row_7";"ENSG00000100453";"GZMB";"granzyme B";9981;0;"No"
"row_8";"ENSG00000109471";"IL2";"interleukin 2";10140;0;"No"
"row_9";"ENSG00000111537";"IFNG";"interferon gamma";10162;0;"No"
"row_10";"ENSG00000114013";"CD86";"CD86 molecule";10202;0;"No"
"row_11";"ENSG00000117560";"FASLG";"Fas ligand";10244;0;"No"
"row_12";"ENSG00000121594";"CD80";"CD80 molecule";10299;0;"No"
"row_13";"ENSG00000125498";"KIR2DL1";"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1";10380;0;"No"
"row_14";"ENSG00000134545";"KLRC1";"killer cell lectin like receptor C1";10554;0;"No"
"row_15";"ENSG00000136244";"IL6";"interleukin 6";10597;0;"No"
"row_16";"ENSG00000167633";"KIR3DL1";"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1";11246;0;"No"
"row_17";"ENSG00000196126";"HLA-DRB1";"major histocompatibility complex, class II, DR beta 1";12482;0;"No"
"row_18";"ENSG00000204252";"HLA-DOA";"major histocompatibility complex, class II, DO alpha";13740;0;"No"
"row_19";"ENSG00000204632";"HLA-G";"major histocompatibility complex, class I, G";13799;0;"No"
"row_20";"ENSG00000231389";"HLA-DPA1";"major histocompatibility complex, class II, DP alpha 1";18048;0;"No"
"row_21";"ENSG00000232810";"TNF";"tumor necrosis factor";18358;0;"No"
"row_22";"ENSG00000237541";"HLA-DQA2";"major histocompatibility complex, class II, DQ alpha 2";19359;0;"No"
"row_23";"ENSG00000240403";"KIR3DL2";"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2";19922;0;"No"
"row_24";"ENSG00000242574";"HLA-DMB";"major histocompatibility complex, class II, DM beta";20382;0;"No"
"row_25";"ENSG00000243772";"KIR2DL3";"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3";20635;0;"No"
"row_26";"ENSG00000204257";"HLA-DMA";"major histocompatibility complex, class II, DM alpha";29558;-0,0626150891184807;"No"
"row_27";"ENSG00000241106";"HLA-DOB";"major histocompatibility complex, class II, DO beta";34599;-3,98332142829895;"Yes"
"row_28";"ENSG00000204592";"HLA-E";"major histocompatibility complex, class I, E";34830;-5,30077028274536;"Yes"
"row_29";"ENSG00000206503";"HLA-A";"major histocompatibility complex, class I, A";35168;-8,53636837005615;"Yes"
"row_30";"ENSG00000178562";"CD28";"CD28 molecule";35292;-10,032657623291;"Yes"
"row_31";"ENSG00000204525";"HLA-C";"major histocompatibility complex, class I, C";35367;-11,3238134384155;"Yes"
"row_32";"ENSG00000026103";"FAS";"Fas cell surface death receptor";35416;-12,1255159378052;"Yes"
"row_33";"ENSG00000204642";"HLA-F";"major histocompatibility complex, class I, F";35665;-17,9167003631592;"Yes"
"row_34";"ENSG00000234745";"HLA-B";"major histocompatibility complex, class I, B";36001;-30,9660720825195;"Yes"
"row_35";"ENSG00000125538";"IL1B";"interleukin 1 beta";36144;-42,7632331848145;"Yes"
"row_36";"ENSG00000115008";"IL1A";"interleukin 1 alpha";36297;-60,684627532959;"Yes"
