"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000003";-2,19814399479463;7,42644037227466e-36;1,3672665606092e-34;"TSPAN6";"X";100627108;100637104;"-";9997;"protein_coding";"tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]"
"ENSG00000000971";-6,37582955521428;4,45852591992702e-233;1,73332971635861e-230;"CFH";"1";196651878;196747504;"+";95627;"protein_coding";"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001084";-3,20584010894438;9,0661811137981e-210;2,91460287844928e-207;"GCLC";"6";53497341;53545129;"-";47789;"protein_coding";"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000002330";-1,16960642028172;8,08975970190033e-06;2,58479573655711e-05;"BAD";"11";64269828;64284704;"-";14877;"protein_coding";"BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"ENSG00000002587";-1,81743317870887;0,000213164267982188;0,000562682309783395;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002746";-5,05713305544081;5,03633131265373e-43;1,16771637383679e-41;"HECW1";"7";43112580;43566001;"+";453422;"protein_coding";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002834";-1,46690727428921;1,06800484091929e-42;2,43904876033439e-41;"LASP1";"17";38869859;38921770;"+";51912;"protein_coding";"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000003400";-5,67746627881398;1,01699908810459e-19;9,59975932007021e-19;"CASP10";"2";201182881;201229406;"+";46526;"protein_coding";"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003989";-3,40086801143088;0,0175065243775837;0,0334655881097847;"SLC7A2";"8";17494349;17570568;"+";76220;"protein_coding";"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004399";-1,04435869878208;1,20763188370903e-10;6,24628162127595e-10;"PLXND1";"3";129555213;129606739;"-";51527;"protein_coding";"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"ENSG00000004468";-8,21171866026519;2,8494227726939e-06;9,61522012335968e-06;"CD38";"4";15778265;15853243;"+";74979;"protein_coding";"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004660";-1,99674649646658;7,22431849477094e-20;6,88927166440878e-19;"CAMKK1";"17";3860315;3895633;"-";35319;"protein_coding";"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004799";-6,46947095386016;0,00043310052160585;0,00109038274392846;"PDK4";"7";95583497;95596613;"-";13117;"protein_coding";"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
