"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000164742";"ADCY1";"adenylate cyclase 1";235;34,8586921691895;"Yes"
"row_1";"ENSG00000078295";"ADCY2";"adenylate cyclase 2";484;21,1027336120605;"Yes"
"row_2";"ENSG00000142875";"PRKACB";"protein kinase cAMP-activated catalytic subunit beta";2070;3,55466151237488;"Yes"
"row_3";"ENSG00000173175";"ADCY5";"adenylate cyclase 5";2743;2,08431577682495;"Yes"
"row_4";"ENSG00000087460";"GNAS";"GNAS complex locus";7526;0,0731808692216873;"No"
"row_5";"ENSG00000138031";"ADCY3";"adenylate cyclase 3";8012;0,0423377007246017;"No"
"row_6";"ENSG00000129467";"ADCY4";"adenylate cyclase 4";10408;0;"No"
"row_7";"ENSG00000131808";"FSHB";"follicle stimulating hormone subunit beta";10459;0;"No"
"row_8";"ENSG00000135346";"CGA";"glycoprotein hormones, alpha polypeptide";10527;0;"No"
"row_9";"ENSG00000165059";"PRKACG";"protein kinase cAMP-activated catalytic subunit gamma";11168;0;"No"
"row_10";"ENSG00000170820";"FSHR";"follicle stimulating hormone receptor";11423;0;"No"
"row_11";"ENSG00000155897";"ADCY8";"adenylate cyclase 8";28095;-0,00140774401370436;"No"
"row_12";"ENSG00000174233";"ADCY6";"adenylate cyclase 6";28923;-0,0168829914182425;"No"
"row_13";"ENSG00000121281";"ADCY7";"adenylate cyclase 7";29036;-0,0205174367874861;"No"
"row_14";"ENSG00000162104";"ADCY9";"adenylate cyclase 9";30872;-0,142047315835953;"No"
"row_15";"ENSG00000072062";"PRKACA";"protein kinase cAMP-activated catalytic subunit alpha";33931;-1,04245638847351;"No"
