"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000156140";"ADAMTS3";"ADAM metallopeptidase with thrombospondin type 1 motif 3";26;82,048828125;"Yes"
"row_1";"ENSG00000149968";"MMP3";"matrix metallopeptidase 3";90;61,6533432006836;"Yes"
"row_2";"ENSG00000011028";"MRC2";"mannose receptor C-type 2";116;57,376277923584;"Yes"
"row_3";"ENSG00000156103";"MMP16";"matrix metallopeptidase 16";155;52,4036293029785;"Yes"
"row_4";"ENSG00000110811";"P3H3";"prolyl 3-hydroxylase 3";231;44,7081604003906;"Yes"
"row_5";"ENSG00000078098";"FAP";"fibroblast activation protein alpha";355;37,3052062988281;"Yes"
"row_6";"ENSG00000026025";"VIM";"vimentin";589;27,9564228057861;"Yes"
"row_7";"ENSG00000108821";"COL1A1";"collagen type I alpha 1 chain";596;27,7887687683105;"Yes"
"row_8";"ENSG00000166670";"MMP10";"matrix metallopeptidase 10";750;22,8484115600586;"Yes"
"row_9";"ENSG00000100985";"MMP9";"matrix metallopeptidase 9";877;20,1744956970215;"Yes"
"row_10";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";1063;16,802640914917;"Yes"
"row_11";"ENSG00000157613";"CREB3L1";"cAMP responsive element binding protein 3 like 1";1327;12,4323654174805;"Yes"
"row_12";"ENSG00000136244";"IL6";"interleukin 6";1394;11,7856140136719;"Yes"
"row_13";"ENSG00000137745";"MMP13";"matrix metallopeptidase 13";1420;11,3044128417969;"Yes"
"row_14";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";1426;11,2733163833618;"Yes"
"row_15";"ENSG00000106333";"PCOLCE";"procollagen C-endopeptidase enhancer";1505;10,7255964279175;"Yes"
"row_16";"ENSG00000162733";"DDR2";"discoidin domain receptor tyrosine kinase 2";1513;10,6370754241943;"Yes"
