"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000005020";-7,84715993732123;4,98291395567604;2,60677451663293e-05;0,00515773005720318;"SKAP2";"7";26654772;26864743;"-";209972;"protein_coding";"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000010438";-9,60021104472498;8,02340014691697;9,96986034456988e-07;0,000980980366768679;"PRSS3";"9";33750466;33799231;"+";48766;"protein_coding";"serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]"
"ENSG00000015133";-7,52629896497677;4,6650233940017;4,52308305330926e-05;0,00680443643135441;"CCDC88C";"14";91271323;91417844;"-";146522;"protein_coding";"coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]"
"ENSG00000027869";-5,95692949841704;2,72990839294211;0,000791422364507874;0,0430037650780204;"SH2D2A";"1";156806238;156816853;"-";10616;"protein_coding";"SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]"
"ENSG00000042832";-8,50241930578742;4,67806005951869;1,48988984318262e-05;0,00376673122436851;"TG";"8";132866943;133134902;"+";267960;"protein_coding";"thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]"
"ENSG00000043591";-9,74495444786615;1,79995407869379;0,00028292940244876;0,0223434443070489;"ADRB1";"10";114044047;114046908;"+";2862;"protein_coding";"adrenoceptor beta 1 [Source:HGNC Symbol;Acc:HGNC:285]"
"ENSG00000054179";-9,31767324795906;1,39086872708698;0,000571056005097706;0,0343067077913978;"ENTPD2";"9";137048098;137054051;"-";5954;"protein_coding";"ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]"
"ENSG00000062038";-7,89124195678411;4,07268327935564;4,25298818460223e-05;0,00656215086593408;"CDH3";"16";68644836;68727573;"+";82738;"protein_coding";"cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]"
"ENSG00000068079";-10,6382441832911;2,66841937943135;6,20711109136791e-05;0,00795690445043451;"IFI35";"17";43006725;43014459;"+";7735;"protein_coding";"interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]"
"ENSG00000069482";-9,33472016261383;1,40708799508345;0,000554260240241891;0,0336868085246182;"GAL";"11";68684475;68691175;"+";6701;"protein_coding";"galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]"
"ENSG00000069812";-7,22091460036574;2,5056192831018;0,000287990090316985;0,0226616399313413;"HES2";"1";6415232;6419919;"-";4688;"protein_coding";"hes family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:16005]"
"ENSG00000072858";-9,39034296087122;5,56090715955359;3,22473572679488e-06;0,00167713898385278;"SIDT1";"3";113532296;113629579;"+";97284;"protein_coding";"SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]"
"ENSG00000073350";-7,01200946915028;4,46873274158365;9,51337447316951e-05;0,0105592655814088;"LLGL2";"17";75525080;75575209;"+";50130;"protein_coding";"LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]"
"ENSG00000075275";-6,19371666289102;5,11974959767674;0,00029877190740843;0,0230936094715739;"CELSR1";"22";46360834;46537502;"-";176669;"protein_coding";"cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]"
"ENSG00000081277";-16,6188795453395;8,6198762510683;2,04062694044663e-09;7,42910643939002e-05;"PKP1";"1";201283452;201332993;"+";49542;"protein_coding";"plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]"
"ENSG00000081479";-6,46039988360826;2,66993763488993;0,000483590900738296;0,0306717950039693;"LRP2";"2";169127109;169362612;"-";235504;"protein_coding";"LDL receptor related protein 2 [Source:HGNC Symbol;Acc:HGNC:6694]"
"ENSG00000086696";-6,32001069886847;3,47804119104781;0,000354302311649206;0,0254915611816225;"HSD17B2";"16";82035253;82098534;"+";63282;"protein_coding";"hydroxysteroid 17-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5211]"
"ENSG00000087495";-6,45981510445608;6,21097868462743;0,000160141401110588;0,0152333827635631;"PHACTR3";"20";59577497;59849829;"+";272333;"protein_coding";"phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]"
