"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000164104";"HMGB2";"high mobility group box 2";152;242,304214477539;"Yes"
"row_1";"ENSG00000010295";"IFFO1";"intermediate filament family orphan 1";193;197,988433837891;"Yes"
"row_2";"ENSG00000124795";"DEK";"DEK proto-oncogene";269;151,681579589844;"Yes"
"row_3";"ENSG00000109685";"NSD2";"nuclear receptor binding SET domain protein 2";353;120,516014099121;"Yes"
"row_4";"ENSG00000101596";"SMCHD1";"structural maintenance of chromosomes flexible hinge domain containing 1";497;84,9215240478516;"Yes"
"row_5";"ENSG00000198887";"SMC5";"structural maintenance of chromosomes 5";537;78,3256378173828;"Yes"
"row_6";"ENSG00000091483";"FH";"fumarate hydratase";1030;34,5448608398438;"Yes"
"row_7";"ENSG00000138071";"ACTR2";"actin related protein 2";1264;25,3036365509033;"Yes"
"row_8";"ENSG00000122678";"POLM";"DNA polymerase mu";1279;24,7804660797119;"Yes"
"row_9";"ENSG00000118655";"DCLRE1B";"DNA cross-link repair 1B";1451;20,363920211792;"Yes"
"row_10";"ENSG00000178951";"ZBTB7A";"zinc finger and BTB domain containing 7A";1594;17,1076278686523;"Yes"
"row_11";"ENSG00000163961";"RNF168";"ring finger protein 168";1743;14,535099029541;"Yes"
"row_12";"ENSG00000149948";"HMGA2";"high mobility group AT-hook 2";1897;12,1989145278931;"Yes"
"row_13";"ENSG00000189403";"HMGB1";"high mobility group box 1";2194;9,32443618774414;"No"
"row_14";"ENSG00000080345";"RIF1";"replication timing regulatory factor 1";2623;6,5305700302124;"No"
"row_15";"ENSG00000079246";"XRCC5";"X-ray repair cross complementing 5";2770;5,76987886428833;"No"
"row_16";"ENSG00000112130";"RNF8";"ring finger protein 8";2780;5,74337530136108;"No"
"row_17";"ENSG00000174405";"LIG4";"DNA ligase 4";3211;4,19481325149536;"No"
"row_18";"ENSG00000122376";"SHLD2";"shieldin complex subunit 2";3973;2,43192005157471;"No"
"row_19";"ENSG00000171792";"RHNO1";"RAD9-HUS1-RAD1 interacting nuclear orphan 1";4154;2,13607716560364;"No"
"row_20";"ENSG00000166896";"ATP23";"ATP23 metallopeptidase and ATP synthase assembly factor homolog";4426;1,74761486053467;"No"
"row_21";"ENSG00000186280";"KDM4D";"lysine demethylase 4D";5103;1,0856454372406;"No"
"row_22";"ENSG00000196419";"XRCC6";"X-ray repair cross complementing 6";5258;0,957803905010223;"No"
"row_23";"ENSG00000115233";"PSMD14";"proteasome 26S subunit, non-ATPase 14";5418;0,869687139987946;"No"
"row_24";"ENSG00000049167";"ERCC8";"ERCC excision repair 8, CSA ubiquitin ligase complex subunit";5480;0,860242664813995;"No"
"row_25";"ENSG00000152422";"XRCC4";"X-ray repair cross complementing 4";5586;0,785745561122894;"No"
"row_26";"ENSG00000187736";"NHEJ1";"non-homologous end joining factor 1";5751;0,691964626312256;"No"
"row_27";"ENSG00000163781";"TOPBP1";"DNA topoisomerase II binding protein 1";5823;0,638810276985168;"No"
"row_28";"ENSG00000128513";"POT1";"protection of telomeres 1";6340;0,458032339811325;"No"
"row_29";"ENSG00000116670";"MAD2L2";"mitotic arrest deficient 2 like 2";6385;0,441064059734344;"No"
"row_30";"ENSG00000169621";"APLF";"aprataxin and PNKP like factor";6457;0,408896893262863;"No"
"row_31";"ENSG00000127423";"AUNIP";"aurora kinase A and ninein interacting protein";7217;0,282491266727448;"No"
"row_32";"ENSG00000163312";"HELQ";"helicase, POLQ like";7228;0,280828714370728;"No"
"row_33";"ENSG00000041880";"PARP3";"poly(ADP-ribose) polymerase family member 3";7333;0,249207824468613;"No"
"row_34";"ENSG00000104320";"NBN";"nibrin";7818;0,134421765804291;"No"
"row_35";"ENSG00000039650";"PNKP";"polynucleotide kinase 3'-phosphatase";7841;0,128617972135544;"No"
"row_36";"ENSG00000152457";"DCLRE1C";"DNA cross-link repair 1C";7923;0,112605959177017;"No"
"row_37";"ENSG00000182150";"ERCC6L2";"ERCC excision repair 6 like 2";7939;0,109472721815109;"No"
"row_38";"ENSG00000198924";"DCLRE1A";"DNA cross-link repair 1A";7994;0,0989321544766426;"No"
"row_39";"ENSG00000100109";"TFIP11";"tuftelin interacting protein 11";9060;0,0328087769448757;"No"
"row_40";"ENSG00000020922";"MRE11";"MRE11 homolog, double strand break repair nuclease";9286;0,0177544504404068;"No"
"row_41";"ENSG00000034533";"ASTE1";"asteroid homolog 1";9502;0,00688081793487072;"No"
"row_42";"ENSG00000225830";"ERCC6";"ERCC excision repair 6, chromatin remodeling factor";9677;0,00471096858382225;"No"
"row_43";"ENSG00000156831";"NSMCE2";"NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase";9716;0,00333534413948655;"No"
"row_44";"ENSG00000076242";"MLH1";"mutL homolog 1";9717;0,00330476276576519;"No"
"row_45";"ENSG00000161010";"MRNIP";"MRN complex interacting protein";9756;0,002456518355757;"No"
"row_46";"ENSG00000110107";"PRPF19";"pre-mRNA processing factor 19";9892;0,000522438378538936;"No"
"row_47";"ENSG00000149311";"ATM";"ATM serine/threonine kinase";10016;4,28198700319626e-06;"No"
"row_48";"ENSG00000253729";"PRKDC";"protein kinase, DNA-activated, catalytic subunit";10085;-0,000161971620400436;"No"
"row_49";"ENSG00000077097";"TOP2B";"DNA topoisomerase II beta";10359;-0,00502452533692122;"No"
"row_50";"ENSG00000138375";"SMARCAL1";"SNF2 related chromatin remodeling annealing helicase 1";10474;-0,00984213873744011;"No"
"row_51";"ENSG00000183624";"HMCES";"5-hydroxymethylcytosine binding, ES cell specific";10860;-0,0264728218317032;"No"
"row_52";"ENSG00000198382";"UVRAG";"UV radiation resistance associated";10958;-0,0340963341295719;"No"
"row_53";"ENSG00000101868";"POLA1";"DNA polymerase alpha 1, catalytic subunit";11148;-0,0519273728132248;"No"
"row_54";"ENSG00000110066";"KMT5B";"lysine methyltransferase 5B";11234;-0,0627405270934105;"No"
"row_55";"ENSG00000012061";"ERCC1";"ERCC excision repair 1, endonuclease non-catalytic subunit";11358;-0,0790515318512917;"No"
"row_56";"ENSG00000310560";"PAXX";"PAXX non-homologous end joining factor";11440;-0,0927686840295792;"No"
"row_57";"ENSG00000051341";"POLQ";"DNA polymerase theta";11589;-0,112819276750088;"No"
"row_58";"ENSG00000070501";"POLB";"DNA polymerase beta";11782;-0,152999401092529;"No"
"row_59";"ENSG00000122783";"CYREN";"cell cycle regulator of NHEJ";11802;-0,157720193266869;"No"
"row_60";"ENSG00000067369";"TP53BP1";"tumor protein p53 binding protein 1";11974;-0,1855398863554;"No"
"row_61";"ENSG00000175595";"ERCC4";"ERCC excision repair 4, endonuclease catalytic subunit";12523;-0,338420301675797;"No"
"row_62";"ENSG00000141499";"WRAP53";"WD repeat containing antisense to TP53";12610;-0,374971985816956;"No"
"row_63";"ENSG00000168101";"NUDT16L1";"nudix hydrolase 16 like 1";13377;-0,628145575523376;"No"
"row_64";"ENSG00000166169";"POLL";"DNA polymerase lambda";13692;-0,846772134304047;"No"
"row_65";"ENSG00000107447";"DNTT";"DNA nucleotidylexotransferase";13935;-1,04635941982269;"No"
"row_66";"ENSG00000166851";"PLK1";"polo like kinase 1";14522;-1,24837684631348;"No"
"row_67";"ENSG00000015285";"WAS";"WASP actin nucleation promoting factor";14534;-1,25704157352448;"No"
"row_68";"ENSG00000073050";"XRCC1";"X-ray repair cross complementing 1";14551;-1,27798652648926;"No"
"row_69";"ENSG00000185122";"HSF1";"heat shock transcription factor 1";14820;-1,56407809257507;"No"
"row_70";"ENSG00000173120";"KDM2A";"lysine demethylase 2A";15580;-2,7858784198761;"No"
"row_71";"ENSG00000005156";"LIG3";"DNA ligase 3";15766;-3,04077172279358;"No"
"row_72";"ENSG00000171984";"SHLD1";"shieldin complex subunit 1";16240;-4,44907140731812;"No"
"row_73";"ENSG00000247746";"USP51";"ubiquitin specific peptidase 51";16668;-6,14289999008179;"No"
"row_74";"ENSG00000133247";"KMT5C";"lysine methyltransferase 5C";17153;-9,08196830749512;"No"
