"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000178814";"OPLAH";"5-oxoprolinase, ATP-hydrolysing";17;81,7854537963867;"Yes"
"row_1";"ENSG00000168765";"GSTM4";"glutathione S-transferase mu 4";48;64,3308944702148;"Yes"
"row_2";"ENSG00000166825";"ANPEP";"alanyl aminopeptidase, membrane";143;38,826000213623;"Yes"
"row_3";"ENSG00000213366";"GSTM2";"glutathione S-transferase mu 2";330;21,7771644592285;"Yes"
"row_4";"ENSG00000099984";"GSTT2";"glutathione S-transferase theta 2 (gene/pseudogene)";979;6,45034122467041;"Yes"
"row_5";"ENSG00000008394";"MGST1";"microsomal glutathione S-transferase 1";1120;5,37639331817627;"Yes"
"row_6";"ENSG00000134202";"GSTM3";"glutathione S-transferase mu 3";1450;3,44960975646973;"Yes"
"row_7";"ENSG00000134184";"GSTM1";"glutathione S-transferase mu 1";2005;1,98438584804535;"No"
"row_8";"ENSG00000160211";"G6PD";"glucose-6-phosphate dehydrogenase";2369;1,34798061847687;"No"
"row_9";"ENSG00000100983";"GSS";"glutathione synthetase";2468;1,21393752098083;"No"
"row_10";"ENSG00000233276";"GPX1";"glutathione peroxidase 1";3942;0,468899428844452;"No"
"row_11";"ENSG00000023909";"GCLM";"glutamate-cysteine ligase modifier subunit";4211;0,387025415897369;"No"
"row_12";"ENSG00000102172";"SMS";"spermine synthase";4436;0,322167843580246;"No"
"row_13";"ENSG00000115758";"ODC1";"ornithine decarboxylase 1";4564;0,289633989334106;"No"
"row_14";"ENSG00000002549";"LAP3";"leucine aminopeptidase 3";4580;0,286048054695129;"No"
"row_15";"ENSG00000143198";"MGST3";"microsomal glutathione S-transferase 3";5103;0,19465284049511;"No"
"row_16";"ENSG00000100577";"GSTZ1";"glutathione S-transferase zeta 1";5344;0,163652956485748;"No"
"row_17";"ENSG00000167468";"GPX4";"glutathione peroxidase 4";6826;0,0386551804840565;"No"
"row_18";"ENSG00000116649";"SRM";"spermidine synthase";6881;0,0370978787541389;"No"
"row_19";"ENSG00000171848";"RRM2";"ribonucleotide reductase regulatory subunit M2";6971;0,0330730862915516;"No"
"row_20";"ENSG00000085871";"MGST2";"microsomal glutathione S-transferase 2";7098;0,0276717878878117;"No"
"row_21";"ENSG00000138413";"IDH1";"isocitrate dehydrogenase (NADP(+)) 1";7905;0,00564189022406936;"No"
"row_22";"ENSG00000048392";"RRM2B";"ribonucleotide reductase regulatory TP53 inducible subunit M2B";8311;0,000789658166468143;"No"
"row_23";"ENSG00000116157";"GPX7";"glutathione peroxidase 7";9077;0;"No"
"row_24";"ENSG00000134201";"GSTM5";"glutathione S-transferase mu 5";9449;0;"No"
"row_25";"ENSG00000167741";"GGT6";"gamma-glutamyltransferase 6";10269;0;"No"
"row_26";"ENSG00000174156";"GSTA3";"glutathione S-transferase alpha 3";10613;0;"No"
"row_27";"ENSG00000176153";"GPX2";"glutathione peroxidase 2";10703;0;"No"
"row_28";"ENSG00000182793";"GSTA5";"glutathione S-transferase alpha 5";11119;0;"No"
"row_29";"ENSG00000197448";"GSTK1";"glutathione S-transferase kappa 1";11727;0;"No"
"row_30";"ENSG00000198704";"GPX6";"glutathione peroxidase 6";11833;0;"No"
"row_31";"ENSG00000224586";"GPX5";"glutathione peroxidase 5";15944;0;"No"
"row_32";"ENSG00000243955";"GSTA1";"glutathione S-transferase alpha 1";20189;0;"No"
"row_33";"ENSG00000244067";"GSTA2";"glutathione S-transferase alpha 2";20219;0;"No"
"row_34";"ENSG00000084207";"GSTP1";"glutathione S-transferase pi 1";27263;-2,28958953130132e-07;"No"
"row_35";"ENSG00000006625";"GGCT";"gamma-glutamylcyclotransferase";27401;-0,000279648782452568;"No"
"row_36";"ENSG00000182054";"IDH2";"isocitrate dehydrogenase (NADP(+)) 2";28608;-0,0233637765049934;"No"
"row_37";"ENSG00000104687";"GSR";"glutathione-disulfide reductase";28949;-0,0373624041676521;"No"
"row_38";"ENSG00000117862";"TXNDC12";"thioredoxin domain containing 12";29593;-0,0751089155673981;"No"
"row_39";"ENSG00000167325";"RRM1";"ribonucleotide reductase catalytic subunit M1";30048;-0,107917919754982;"No"
"row_40";"ENSG00000001084";"GCLC";"glutamate-cysteine ligase catalytic subunit";30445;-0,154013231396675;"No"
"row_41";"ENSG00000148834";"GSTO1";"glutathione S-transferase omega 1";30500;-0,161842212080956;"No"
"row_42";"ENSG00000170899";"GSTA4";"glutathione S-transferase alpha 4";30683;-0,183477506041527;"No"
"row_43";"ENSG00000142657";"PGD";"phosphogluconate dehydrogenase";30740;-0,190334737300873;"No"
"row_44";"ENSG00000099998";"GGT5";"gamma-glutamyltransferase 5";32986;-0,953477084636688;"No"
"row_45";"ENSG00000211445";"GPX3";"glutathione peroxidase 3";33591;-0,997792065143585;"No"
"row_46";"ENSG00000065621";"GSTO2";"glutathione S-transferase omega 2";33717;-1,12755870819092;"No"
"row_47";"ENSG00000131067";"GGT7";"gamma-glutamyltransferase 7";34510;-2,70082807540894;"No"
"row_48";"ENSG00000100031";"GGT1";"gamma-glutamyltransferase 1";35222;-5,06623220443726;"No"
