"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000197915";"HRNR";"hornerin";3190;8,06547737121582;"No"
"row_1";"ENSG00000170454";"KRT75";"keratin 75";5399;1,43004143238068;"No"
"row_2";"ENSG00000003137";"CYP26B1";"cytochrome P450 family 26 subfamily B member 1";6351;0,708516776561737;"No"
"row_3";"ENSG00000135443";"KRT85";"keratin 85";6633;0,561107099056244;"No"
"row_4";"ENSG00000134283";"PPHLN1";"periphilin 1";6692;0,524946510791779;"No"
"row_5";"ENSG00000167754";"KLK5";"kallikrein related peptidase 5";6693;0,523936331272125;"No"
"row_6";"ENSG00000169469";"SPRR1B";"small proline rich protein 1B";6827;0,50067663192749;"No"
"row_7";"ENSG00000205420";"KRT6A";"keratin 6A";6870;0,50067663192749;"No"
"row_8";"ENSG00000189337";"KAZN";"kazrin, periplakin interacting protein";8075;0,153665870428085;"No"
"row_9";"ENSG00000185640";"KRT79";"keratin 79";8266;0,137407884001732;"No"
"row_10";"ENSG00000186081";"KRT5";"keratin 5";8267;0,137407884001732;"No"
"row_11";"ENSG00000203785";"SPRR2E";"small proline rich protein 2E";8287;0,137407884001732;"No"
"row_12";"ENSG00000161850";"KRT82";"keratin 82";8557;0,133595824241638;"No"
"row_13";"ENSG00000204021";"LIPK";"lipase family member K";8572;0,133595824241638;"No"
"row_14";"ENSG00000170423";"KRT78";"keratin 78";9048;0,057769849896431;"No"
"row_15";"ENSG00000128422";"KRT17";"keratin 17";9058;0,057685699313879;"No"
"row_16";"ENSG00000170523";"KRT83";"keratin 83";11664;-0,169760257005692;"No"
"row_17";"ENSG00000170442";"KRT86";"keratin 86";12742;-0,476855248212814;"No"
"row_18";"ENSG00000163207";"IVL";"involucrin";13139;-0,697506606578827;"No"
"row_19";"ENSG00000172867";"KRT2";"keratin 2";13151;-0,697506606578827;"No"
"row_20";"ENSG00000144452";"ABCA12";"ATP binding cassette subfamily A member 12";13375;-0,738581299781799;"No"
"row_21";"ENSG00000186832";"KRT16";"keratin 16";13471;-0,811378479003906;"No"
"row_22";"ENSG00000125780";"TGM3";"transglutaminase 3";14007;-1,1428736448288;"No"
"row_23";"ENSG00000161849";"KRT84";"keratin 84";14202;-1,37609326839447;"No"
"row_24";"ENSG00000179526";"SHARPIN";"SHANK associated RH domain interactor";14731;-1,93940699100494;"No"
"row_25";"ENSG00000163209";"SPRR3";"small proline rich protein 3";14925;-2,24344825744629;"No"
"row_26";"ENSG00000186226";"LCE1E";"late cornified envelope 1E";14932;-2,24344825744629;"No"
"row_27";"ENSG00000163472";"TMEM79";"transmembrane protein 79";15503;-3,40225219726562;"No"
"row_28";"ENSG00000159450";"TCHH";"trichohyalin";17988;-23,458044052124;"No"
"row_29";"ENSG00000105427";"CNFN";"cornifelin";18283;-31,2062397003174;"No"
"row_30";"ENSG00000170477";"KRT4";"keratin 4";18820;-55,9266319274902;"Yes"
"row_31";"ENSG00000092295";"TGM1";"transglutaminase 1";19027;-74,6817321777344;"Yes"
"row_32";"ENSG00000062038";"CDH3";"cadherin 3";19039;-75,4530944824219;"Yes"
"row_33";"ENSG00000135480";"KRT7";"keratin 7";19180;-96,852294921875;"Yes"
"row_34";"ENSG00000167767";"KRT80";"keratin 80";19216;-104,390701293945;"Yes"
"row_35";"ENSG00000175793";"SFN";"stratifin";19883;-958,732421875;"Yes"
"row_36";"ENSG00000167880";"EVPL";"envoplakin";19900;-1198,86645507812;"Yes"
"row_37";"ENSG00000118898";"PPL";"periplakin";19938;-1888,84008789062;"Yes"
