"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000971";-9,07656150652549;8,74775653956103e-06;2,67956448537496e-05;"CFH";"1";196651878;196747504;"+";95627;"protein_coding";"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001084";-2,71239638911093;1,24791501623182e-207;1,6659181778704e-205;"GCLC";"6";53497341;53545129;"-";47789;"protein_coding";"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000001461";-1,95404675260541;2,96921126983624e-19;2,24562087298419e-18;"NIPAL3";"1";24413360;24472983;"+";59624;"protein_coding";"NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]"
"ENSG00000001497";-1,04181615957192;9,74985776757232e-28;1,0467724477267e-26;"LAS1L";"X";65512582;65534806;"-";22225;"protein_coding";"LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]"
"ENSG00000002587";-2,49943204335252;2,02534671694096e-05;5,93171697490481e-05;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002746";-4,53963667422109;1,46792353131888e-34;1,96724600255584e-33;"HECW1";"7";43112580;43566001;"+";453422;"protein_coding";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002834";-1,80127552536013;5,74891868004967e-138;4,2858064324301e-136;"LASP1";"17";38869859;38921770;"+";51912;"protein_coding";"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000003137";-1,4334938849842;0,000478104597062153;0,00117586964667343;"CYP26B1";"2";72129238;72147862;"-";18625;"protein_coding";"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003436";-3,89986679481292;0,000127174098356117;0,000336777663815269;"TFPI";"2";187464230;187554505;"-";90276;"protein_coding";"tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]"
"ENSG00000004399";-2,35335686835285;1,54826909595102e-118;9,42146364006098e-117;"PLXND1";"3";129555213;129606739;"-";51527;"protein_coding";"plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]"
"ENSG00000004468";-7,53567744490884;2,65477932167495e-54;5,99973158773809e-53;"CD38";"4";15778265;15853243;"+";74979;"protein_coding";"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004660";-1,46252421537844;5,68303912043049e-13;3,12776020111644e-12;"CAMKK1";"17";3860315;3895633;"-";35319;"protein_coding";"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004799";-8,87403822110121;9,87747134745114e-49;1,94399924656521e-47;"PDK4";"7";95583497;95596613;"-";13117;"protein_coding";"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"ENSG00000004848";-3,68908118053492;0,00287336471254533;0,00627548683763387;"ARX";"X";25003694;25015948;"-";12255;"protein_coding";"aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]"
"ENSG00000005059";-3,06827743163424;2,8238322405961e-21;2,35835184361326e-20;"MCUB";"4";109560199;109688719;"+";128521;"protein_coding";"mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
"ENSG00000005108";-7,98772635358915;4,76405010577052e-38;7,02411873899607e-37;"THSD7A";"7";11370435;11832198;"-";461764;"protein_coding";"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"ENSG00000005187";-3,73242866262043;1,23267305783767e-09;5,33899968033767e-09;"ACSM3";"16";20742440;20797811;"+";55372;"protein_coding";"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"ENSG00000005243";-1,56833065524334;0,000227405068540502;0,000583280113991061;"COPZ2";"17";48026167;48048086;"-";21920;"protein_coding";"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005249";-3,59495378053967;0,000127067683946965;0,000336547613849691;"PRKAR2B";"7";107044728;107161811;"+";121914;"protein_coding";"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005448";-2,82964507936144;7,01326636351991e-50;1,42088776524913e-48;"WDR54";"2";74421721;74426259;"+";4539;"protein_coding";"WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"ENSG00000005469";-1,20644205607277;1,31065970961487e-06;4,3531091339012e-06;"CROT";"7";87345635;87399796;"+";54162;"protein_coding";"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]"
"ENSG00000005700";-2,36738486321307;0,0058902046906351;0,0122255291041855;"IBTK";"6";82169987;82247754;"-";155536;"protein_coding";"inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]"
"ENSG00000005882";-2,9535629491918;9,91114558839771e-28;1,06342578303923e-26;"PDK2";"17";50094737;50111369;"+";16633;"protein_coding";"pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]"
"ENSG00000005884";-5,42722192658049;0;0;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000005981";-2,78054658278978;4,76336522714494e-12;2,47078049929708e-11;"ASB4";"7";95485439;95544738;"+";59300;"protein_coding";"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
