"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000115221";"ITGB6";"integrin subunit beta 6";396;112,208442687988;"No"
"row_1";"ENSG00000169750";"RAC3";"Rac family small GTPase 3";2848;5,28009414672852;"No"
"row_2";"ENSG00000050820";"BCAR1";"BCAR1 scaffold protein, Cas family member";3178;4,02668857574463;"No"
"row_3";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";4006;2,28599500656128;"No"
"row_4";"ENSG00000135424";"ITGA7";"integrin subunit alpha 7";5330;0,963084161281586;"No"
"row_5";"ENSG00000139626";"ITGB7";"integrin subunit beta 7";5835;0,672926485538483;"No"
"row_6";"ENSG00000144668";"ITGA9";"integrin subunit alpha 9";7030;0,263513743877411;"No"
"row_7";"ENSG00000169398";"PTK2";"protein tyrosine kinase 2";7723;0,132219463586807;"No"
"row_8";"ENSG00000005961";"ITGA2B";"integrin subunit alpha 2b";8759;0,0400721952319145;"No"
"row_9";"ENSG00000089159";"PXN";"paxillin";9079;0,0174244362860918;"No"
"row_10";"ENSG00000128340";"RAC2";"Rac family small GTPase 2";10095;-0,00538256485015154;"No"
"row_11";"ENSG00000213949";"ITGA1";"integrin subunit alpha 1";10493;-0,0225027073174715;"No"
"row_12";"ENSG00000150760";"DOCK1";"dedicator of cytokinesis 1";12804;-0,542934894561768;"No"
"row_13";"ENSG00000164171";"ITGA2";"integrin subunit alpha 2";15774;-4,65585327148438;"No"
"row_14";"ENSG00000137809";"ITGA11";"integrin subunit alpha 11";15967;-5,47959804534912;"No"
"row_15";"ENSG00000105855";"ITGB8";"integrin subunit beta 8";16305;-7,23153066635132;"No"
"row_16";"ENSG00000167193";"CRK";"CRK proto-oncogene, adaptor protein";16466;-8,36588096618652;"No"
"row_17";"ENSG00000143127";"ITGA10";"integrin subunit alpha 10";16578;-9,32627964019775;"No"
"row_18";"ENSG00000259207";"ITGB3";"integrin subunit beta 3";17157;-15,9420309066772;"No"
"row_19";"ENSG00000155849";"ELMO1";"engulfment and cell motility 1";17310;-18,3124656677246;"No"
"row_20";"ENSG00000132470";"ITGB4";"integrin subunit beta 4";17365;-19,5977001190186;"No"
"row_21";"ENSG00000138448";"ITGAV";"integrin subunit alpha V";17881;-35,5977020263672;"Yes"
"row_22";"ENSG00000082781";"ITGB5";"integrin subunit beta 5";18082;-47,1533813476562;"Yes"
"row_23";"ENSG00000115232";"ITGA4";"integrin subunit alpha 4";18339;-66,9568862915039;"Yes"
"row_24";"ENSG00000005884";"ITGA3";"integrin subunit alpha 3";19028;-350,294067382812;"Yes"
"row_25";"ENSG00000115414";"FN1";"fibronectin 1";19089;-465,125244140625;"Yes"
"row_26";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";19123;-563,171020507812;"Yes"
"row_27";"ENSG00000150093";"ITGB1";"integrin subunit beta 1";19196;-1005,01861572266;"Yes"
