"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000277586";"NEFL";"neurofilament light chain";1;137,795822143555;"Yes"
"row_1";"ENSG00000028137";"TNFRSF1B";"TNF receptor superfamily member 1B";266;33,6915817260742;"Yes"
"row_2";"ENSG00000089250";"NOS1";"nitric oxide synthase 1";288;32,5161666870117;"Yes"
"row_3";"ENSG00000108984";"MAP2K6";"mitogen-activated protein kinase kinase 6";309;31,0127735137939;"Yes"
"row_4";"ENSG00000176884";"GRIN1";"glutamate ionotropic receptor NMDA type subunit 1";2412;1,96281337738037;"No"
"row_5";"ENSG00000185386";"MAPK11";"mitogen-activated protein kinase 11";3293;0,897916913032532;"No"
"row_6";"ENSG00000121691";"CAT";"catalase";3441;0,785031855106354;"No"
"row_7";"ENSG00000110436";"SLC1A2";"solute carrier family 1 member 2";3559;0,702747583389282;"No"
"row_8";"ENSG00000158882";"TOMM40L";"translocase of outer mitochondrial membrane 40 like";3685;0,650303423404694;"No"
"row_9";"ENSG00000067182";"TNFRSF1A";"TNF receptor superfamily member 1A";3870;0,558733999729156;"No"
"row_10";"ENSG00000233276";"GPX1";"glutathione peroxidase 1";4752;0,268542438745499;"No"
"row_11";"ENSG00000002330";"BAD";"BCL2 associated agonist of cell death";4905;0,246344193816185;"No"
"row_12";"ENSG00000107758";"PPP3CB";"protein phosphatase 3 catalytic subunit beta";5244;0,175457134842873;"No"
"row_13";"ENSG00000172115";"CYCS";"cytochrome c, somatic";6019;0,0997335761785507;"No"
"row_14";"ENSG00000144566";"RAB5A";"RAB5A, member RAS oncogene family";6320;0,0725748017430305;"No"
"row_15";"ENSG00000130204";"TOMM40";"translocase of outer mitochondrial membrane 40";6640;0,0525963455438614;"No"
"row_16";"ENSG00000173992";"CCS";"copper chaperone for superoxide dismutase";6746;0,0466095693409443;"No"
"row_17";"ENSG00000161509";"GRIN2C";"glutamate ionotropic receptor NMDA type subunit 2C";7231;0,0245103966444731;"No"
"row_18";"ENSG00000188130";"MAPK12";"mitogen-activated protein kinase 12";7475;0,0173453148454428;"No"
"row_19";"ENSG00000003393";"ALS2";"alsin Rho guanine nucleotide exchange factor ALS2";8405;0,000972420384641737;"No"
"row_20";"ENSG00000104722";"NEFM";"neurofilament medium chain";9077;0;"No"
"row_21";"ENSG00000112619";"PRPH2";"peripherin 2";9252;0;"No"
"row_22";"ENSG00000120251";"GRIA2";"glutamate ionotropic receptor AMPA type subunit 2";9390;0;"No"
"row_23";"ENSG00000132906";"CASP9";"caspase 9";9705;0;"No"
"row_24";"ENSG00000135406";"PRPH";"peripherin";9770;0;"No"
"row_25";"ENSG00000166869";"CHP2";"calcineurin like EF-hand protein 2";10603;0;"No"
"row_26";"ENSG00000183454";"GRIN2A";"glutamate ionotropic receptor NMDA type subunit 2A";11610;0;"No"
"row_27";"ENSG00000188386";"PPP3R2";"protein phosphatase 3 regulatory subunit B, beta";12013;0;"No"
"row_28";"ENSG00000232810";"TNF";"tumor necrosis factor";18242;0;"No"
"row_29";"ENSG00000273079";"GRIN2B";"glutamate ionotropic receptor NMDA type subunit 2B";25313;0;"No"
"row_30";"ENSG00000142168";"SOD1";"superoxide dismutase 1";28692;-0,00868458393961191;"No"
"row_31";"ENSG00000197442";"MAP3K5";"mitogen-activated protein kinase kinase kinase 5";29039;-0,016708005219698;"No"
"row_32";"ENSG00000221823";"PPP3R1";"protein phosphatase 3 regulatory subunit B, alpha";29128;-0,0192239508032799;"No"
"row_33";"ENSG00000120868";"APAF1";"apoptotic peptidase activating factor 1";29259;-0,0232071951031685;"No"
"row_34";"ENSG00000136986";"DERL1";"derlin 1";29291;-0,0242320988327265;"No"
"row_35";"ENSG00000034152";"MAP2K3";"mitogen-activated protein kinase kinase 3";29561;-0,0336805544793606;"No"
"row_36";"ENSG00000171791";"BCL2";"BCL2 apoptosis regulator";29577;-0,0343220382928848;"No"
"row_37";"ENSG00000120910";"PPP3CC";"protein phosphatase 3 catalytic subunit gamma";29592;-0,0349181517958641;"No"
"row_38";"ENSG00000164305";"CASP3";"caspase 3";29960;-0,0519214645028114;"No"
"row_39";"ENSG00000087088";"BAX";"BCL2 associated X, apoptosis regulator";31254;-0,154043346643448;"No"
"row_40";"ENSG00000015475";"BID";"BH3 interacting domain death agonist";31683;-0,213994264602661;"No"
"row_41";"ENSG00000136238";"RAC1";"Rac family small GTPase 1";31804;-0,233548879623413;"No"
"row_42";"ENSG00000112062";"MAPK14";"mitogen-activated protein kinase 14";31806;-0,233976170420647;"No"
"row_43";"ENSG00000171552";"BCL2L1";"BCL2 like 1";32079;-0,282755643129349;"No"
"row_44";"ENSG00000100285";"NEFH";"neurofilament heavy chain";32155;-0,299421280622482;"No"
"row_45";"ENSG00000187446";"CHP1";"calcineurin like EF-hand protein 1";32397;-0,347900062799454;"No"
"row_46";"ENSG00000138814";"PPP3CA";"protein phosphatase 3 catalytic subunit alpha";32628;-0,421665906906128;"No"
"row_47";"ENSG00000105464";"GRIN2D";"glutamate ionotropic receptor NMDA type subunit 2D";33595;-0,887890934944153;"No"
"row_48";"ENSG00000137752";"CASP1";"caspase 1";33867;-1,04403817653656;"No"
"row_49";"ENSG00000204209";"DAXX";"death domain associated protein";34102;-1,30389308929443;"No"
"row_50";"ENSG00000155511";"GRIA1";"glutamate ionotropic receptor AMPA type subunit 1";35321;-4,81638860702515;"No"
"row_51";"ENSG00000141510";"TP53";"tumor protein p53";35804;-10,1360473632812;"No"
"row_52";"ENSG00000156711";"MAPK13";"mitogen-activated protein kinase 13";36071;-18,8739395141602;"No"
