"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000179242";"CDH4";"cadherin 4";48;502,446197509766;"Yes"
"row_1";"ENSG00000170558";"CDH2";"cadherin 2";90;348,612823486328;"Yes"
"row_2";"ENSG00000169760";"NLGN1";"neuroligin 1";210;181,887908935547;"Yes"
"row_3";"ENSG00000172016";"REG3A";"regenerating family member 3 alpha";309;132,494964599609;"Yes"
"row_4";"ENSG00000143341";"HMCN1";"hemicentin 1";335;125,71223449707;"Yes"
"row_5";"ENSG00000244486";"SCARF2";"scavenger receptor class F member 2";439;95,5802764892578;"Yes"
"row_6";"ENSG00000170017";"ALCAM";"activated leukocyte cell adhesion molecule";634;65,3960266113281;"Yes"
"row_7";"ENSG00000135535";"CD164";"CD164 molecule";995;36,5441207885742;"Yes"
"row_8";"ENSG00000177707";"NECTIN3";"nectin cell adhesion molecule 3";2814;5,60104751586914;"No"
"row_9";"ENSG00000162706";"CADM3";"cell adhesion molecule 3";4090;2,26843452453613;"No"
"row_10";"ENSG00000181754";"AMIGO1";"adhesion molecule with Ig like domain 1";5199;0,990648865699768;"No"
"row_11";"ENSG00000204941";"PSG5";"pregnancy specific beta-1-glycoprotein 5";5325;0,943126201629639;"No"
"row_12";"ENSG00000105388";"CEACAM5";"CEA cell adhesion molecule 5";5408;0,878216564655304;"No"
"row_13";"ENSG00000074660";"SCARF1";"scavenger receptor class F member 1";5596;0,780315816402435;"No"
"row_14";"ENSG00000117154";"IGSF21";"immunoglobin superfamily member 21";6679;0,345358490943909;"No"
"row_15";"ENSG00000090339";"ICAM1";"intercellular adhesion molecule 1";7038;0,305560052394867;"No"
"row_16";"ENSG00000196159";"FAT4";"FAT atypical cadherin 4";7431;0,214969292283058;"No"
"row_17";"ENSG00000179915";"NRXN1";"neurexin 1";7911;0,114784516394138;"No"
"row_18";"ENSG00000242221";"PSG2";"pregnancy specific beta-1-glycoprotein 2";8489;0,0669815540313721;"No"
"row_19";"ENSG00000188404";"SELL";"selectin L";10191;-0,0011818737257272;"No"
"row_20";"ENSG00000139211";"AMIGO2";"adhesion molecule with Ig like domain 2";10577;-0,0140051664784551;"No"
"row_21";"ENSG00000134376";"CRB1";"crumbs cell polarity complex component 1";10579;-0,0140721527859569;"No"
"row_22";"ENSG00000162692";"VCAM1";"vascular cell adhesion molecule 1";11031;-0,0388925671577454;"No"
"row_23";"ENSG00000154639";"CXADR";"CXADR Ig-like cell adhesion molecule";11430;-0,0913318991661072;"No"
"row_24";"ENSG00000143217";"NECTIN4";"nectin cell adhesion molecule 4";11507;-0,100934274494648;"No"
"row_25";"ENSG00000153707";"PTPRD";"protein tyrosine phosphatase receptor type D";13228;-0,554753720760345;"No"
"row_26";"ENSG00000152208";"GRID2";"glutamate ionotropic receptor delta type subunit 2";13633;-0,800557732582092;"No"
"row_27";"ENSG00000013725";"CD6";"CD6 molecule";13927;-1,04635941982269;"No"
"row_28";"ENSG00000102924";"CBLN1";"cerebellin 1 precursor";13933;-1,04635941982269;"No"
"row_29";"ENSG00000148204";"CRB2";"crumbs cell polarity complex component 2";14739;-1,48390626907349;"No"
"row_30";"ENSG00000243130";"PSG11";"pregnancy specific beta-1-glycoprotein 11";14941;-1,73351442813873;"No"
"row_31";"ENSG00000166341";"DCHS1";"dachsous cadherin-related 1";15029;-1,87044382095337;"No"
"row_32";"ENSG00000182985";"CADM1";"cell adhesion molecule 1";15656;-2,90397000312805;"No"
"row_33";"ENSG00000005844";"ITGAL";"integrin subunit alpha L";16361;-4,84323692321777;"No"
"row_34";"ENSG00000110400";"NECTIN1";"nectin cell adhesion molecule 1";17722;-15,77659034729;"No"
"row_35";"ENSG00000086548";"CEACAM6";"CEA cell adhesion molecule 6";18424;-36,4306869506836;"No"
