"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000457";-1,24116368703112;4,54609301465319e-06;1,44102895445569e-05;"SCYL3";"1";169853074;169894267;"-";41194;"protein_coding";"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"ENSG00000000460";-1,09838562199526;9,70582845643636e-09;4,02939197568225e-08;"C1orf112";"1";169794730;169854080;"+";59351;"protein_coding";"FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]"
"ENSG00000000971";-9,66741348142384;2,85916270351014e-67;9,45271898150631e-66;"CFH";"1";196651878;196747504;"+";95627;"protein_coding";"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001084";-2,66080569888426;5,69846790051757e-186;7,82932122528487e-184;"GCLC";"6";53497341;53545129;"-";47789;"protein_coding";"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000002587";-5,67721966970256;2,61721303443482e-10;1,23472346983384e-09;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002746";-7,66829964972965;2,61845369357867e-23;2,59860987636268e-22;"HECW1";"7";43112580;43566001;"+";453422;"protein_coding";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002834";-2,70255175530447;1,09708133451283e-307;4,97007495381189e-305;"LASP1";"17";38869859;38921770;"+";51912;"protein_coding";"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000003137";-1,28998559732127;0,00129311843717604;0,00295262923906073;"CYP26B1";"2";72129238;72147862;"-";18625;"protein_coding";"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003400";-6,36060266709452;2,92943708940858e-14;1,81729180209721e-13;"CASP10";"2";201182881;201229406;"+";46526;"protein_coding";"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003402";-1,3352472823647;7,44530337438782e-16;5,07309655128002e-15;"CFLAR";"2";201116104;201172688;"+";56585;"protein_coding";"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"ENSG00000004139";-2,05075419536298;0,000259720341496086;0,000661013113294471;"SARM1";"17";28371662;28401045;"+";29384;"protein_coding";"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"ENSG00000004468";-6,92352187069927;7,36498119802978e-74;2,77419808632304e-72;"CD38";"4";15778265;15853243;"+";74979;"protein_coding";"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004660";-2,67151992523976;1,57482788420588e-31;2,11856059350393e-30;"CAMKK1";"17";3860315;3895633;"-";35319;"protein_coding";"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004700";-1,08154547952682;8,65811406456477e-15;5,52865935048513e-14;"RECQL";"12";21468910;21501669;"-";32760;"protein_coding";"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
"ENSG00000004799";-5,52487911646251;1,40402451928281e-19;1,17848067061685e-18;"PDK4";"7";95583497;95596613;"-";13117;"protein_coding";"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"ENSG00000005020";-1,59488357484218;6,95462705686387e-23;6,76965497834798e-22;"SKAP2";"7";26654772;26864743;"-";209972;"protein_coding";"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000005100";-1,09696759714244;2,78357870444035e-17;2,07186262183966e-16;"DHX33";"17";5440912;5469060;"-";28149;"protein_coding";"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
"ENSG00000005108";-8,47680069332955;3,27465398887226e-36;5,1346819608491e-35;"THSD7A";"7";11370435;11832198;"-";461764;"protein_coding";"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"ENSG00000005187";-3,66515476711886;2,66132160993582e-10;1,25376820758134e-09;"ACSM3";"16";20742440;20797811;"+";55372;"protein_coding";"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"ENSG00000005238";-1,47549784787094;2,40401015483752e-05;6,99583649572682e-05;"FAM214B";"9";35104121;35116341;"-";12221;"protein_coding";"atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]"
"ENSG00000005421";-6,8105453942815;0,000202310019724415;0,000522675793868779;"PON1";"7";95297676;95324706;"-";27031;"protein_coding";"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]"
"ENSG00000005513";-2,3571491115289;0,0180358149822031;0,0335236561024271;"SOX8";"16";981808;986979;"+";5172;"protein_coding";"SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"ENSG00000005884";-2,17661536576527;1,16085787401994e-161;1,24732690284116e-159;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000005981";-8,62145478249342;1,48724823809727e-09;6,62483522906896e-09;"ASB4";"7";95485439;95544738;"+";59300;"protein_coding";"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
"ENSG00000006042";-5,59082618696168;2,18821462104693e-31;2,92728279952024e-30;"TMEM98";"17";32927910;32941649;"+";13740;"protein_coding";"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"ENSG00000006062";-2,30608131351735;1,66489452644342e-46;3,51473073705852e-45;"MAP3K14";"17";45263119;45317064;"-";53946;"protein_coding";"mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]"
"ENSG00000006125";-2,60371241362755;3,1333441778431e-186;4,34058802553769e-184;"AP2B1";"17";35587263;35726417;"+";139155;"protein_coding";"adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"ENSG00000006210";-5,59220266707719;0,00101356344937766;0,00235701311576974;"CX3CL1";"16";57372458;57385048;"+";12591;"protein_coding";"C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
"ENSG00000006283";-5,59509415384926;3,09315695713139e-76;1,22570914693703e-74;"CACNA1G";"17";50560933;50629625;"+";68693;"protein_coding";"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
"ENSG00000006468";-10,0716574686725;1,40744886348187e-11;7,26120586324505e-11;"ETV1";"7";13891229;13991425;"-";100197;"protein_coding";"ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
"ENSG00000006534";-4,10465846724693;4,95309410658948e-218;8,73934351733187e-216;"ALDH3B1";"11";68008547;68029282;"+";20736;"protein_coding";"aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"ENSG00000006606";-3,16978753655064;0,000724143032503488;0,00172073795163361;"CCL26";"7";75769524;75791583;"-";22060;"protein_coding";"C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]"
"ENSG00000006611";-3,48589628507087;0,000205988423946257;0,000531769284180988;"USH1C";"11";17493895;17544416;"-";50522;"protein_coding";"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
"ENSG00000007168";-1,42768324721048;1,13971839915063e-55;2,9896650714496e-54;"PAFAH1B1";"17";2593210;2685617;"+";92408;"protein_coding";"platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"ENSG00000007237";-4,49307166566873;0,00287586153676537;0,00618332363766819;"GAS7";"17";9910609;10198551;"-";287943;"protein_coding";"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]"
"ENSG00000007968";-1,41577451539218;0,00824455573266111;0,0163351351289439;"E2F2";"1";23505696;23531250;"-";50348;"protein_coding";"E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"ENSG00000008086";-2,76911106311416;1,83763571264521e-56;4,91267142190733e-55;"CDKL5";"X";18425605;18653629;"+";228025;"protein_coding";"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"ENSG00000008294";-1,22465788714989;5,08903270853892e-33;7,19244234911715e-32;"SPAG9";"17";50962174;51120865;"-";158692;"protein_coding";"sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]"
"ENSG00000008323";-1,05877769879525;1,38837467117898e-06;4,63584387217172e-06;"PLEKHG6";"12";6310436;6328506;"+";18071;"protein_coding";"pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]"
"ENSG00000008394";-2,33834560019756;1,59597677327484e-115;1,01332434369821e-113;"MGST1";"12";16347142;16377189;"+";30048;"protein_coding";"microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]"
"ENSG00000008438";-2,67920012361697;0,00185826025520014;0,00411958185394324;"PGLYRP1";"19";46019153;46023298;"-";4146;"protein_coding";"peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]"
"ENSG00000008517";-2,43957120169692;0,00157136056927164;0,00352646215853946;"IL32";"16";3065312;3069819;"+";4508;"protein_coding";"interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"ENSG00000008735";-1,46965222423171;0,00828578865537137;0,0163993847492425;"MAPK8IP2";"22";50600685;50613981;"+";13297;"protein_coding";"mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]"
"ENSG00000009709";-5,21341996534563;1,95208185754557e-08;7,88452917980213e-08;"PAX7";"1";18631006;18748866;"+";117861;"protein_coding";"paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]"
"ENSG00000010165";-1,68546916923002;1,15580939894887e-49;2,66487993743892e-48;"METTL13";"1";171781621;171797716;"+";16096;"protein_coding";"methyltransferase 13, eEF1A N-terminus and K55 [Source:HGNC Symbol;Acc:HGNC:24248]"
"ENSG00000010361";-3,92265733734566;9,96686909367652e-17;7,20727608922372e-16;"FUZ";"19";49806866;49817376;"-";10511;"protein_coding";"fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]"
"ENSG00000010438";-4,02234813479416;8,44859262042345e-13;4,74264264914729e-12;"PRSS3";"9";33750466;33799231;"+";48766;"protein_coding";"serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]"
"ENSG00000010626";-1,10369721600666;6,28910451575135e-05;0,000173384818903;"LRRC23";"12";6904733;6914242;"+";9510;"protein_coding";"leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]"
"ENSG00000010704";-2,00914554370671;4,85863134334514e-28;5,81301774283735e-27;"HFE";"6";26087281;26096216;"+";8936;"protein_coding";"homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]"
"ENSG00000011021";-1,27694834119599;2,6326855050177e-06;8,56708880510709e-06;"CLCN6";"1";11806096;11843144;"+";37049;"protein_coding";"chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]"
"ENSG00000011028";-2,29399212222218;3,36821919564046e-62;1,00998372374464e-60;"MRC2";"17";62627401;62693601;"+";66201;"protein_coding";"mannose receptor C-type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"ENSG00000011422";-2,44740756284628;2,42421089521843e-20;2,11088950782605e-19;"PLAUR";"19";43646095;43670346;"-";24252;"protein_coding";"plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]"
"ENSG00000011677";-6,94516957497025;0,000116127785342994;0,000309268182065342;"GABRA3";"X";152166234;152451359;"-";285126;"protein_coding";"gamma-aminobutyric acid type A receptor subunit alpha3 [Source:HGNC Symbol;Acc:HGNC:4077]"
"ENSG00000012048";-1,43038131769099;2,40437845321045e-41;4,40461110740039e-40;"BRCA1";"17";43044295;43125483;"-";81189;"protein_coding";"BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]"
"ENSG00000012061";-1,38965328862542;2,64846134272031e-21;2,40094694573704e-20;"ERCC1";"19";45407333;45478866;"-";71534;"protein_coding";"ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]"
"ENSG00000012124";-1,82766702232146;0,00472744105864273;0,00979739948379939;"CD22";"19";35329166;35347361;"+";18196;"protein_coding";"CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]"
"ENSG00000012174";-1,74908234015931;7,77655314028584e-36;1,20249615993977e-34;"MBTPS2";"X";21839538;21885423;"+";45886;"protein_coding";"membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]"
"ENSG00000012232";-1,47472368956592;4,58892482855916e-26;5,05052908577207e-25;"EXTL3";"8";28607736;28753690;"+";145955;"protein_coding";"exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]"
"ENSG00000012504";-5,55345300926111;0,001329912274284;0,00303003799667641;"NR1H4";"12";100473773;100563867;"+";90095;"protein_coding";"nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]"
"ENSG00000012660";-2,87358512899572;6,77946216855114e-126;4,7948246780276e-124;"ELOVL5";"6";53267398;53349179;"-";81782;"protein_coding";"ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]"
"ENSG00000012817";-11,3848130480383;6,88180103485278e-15;4,42303485223168e-14;"KDM5D";"Y";19705415;19745341;"-";39927;"protein_coding";"lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]"
"ENSG00000012822";-1,31497803021495;1,14910379991642e-10;5,57651357678028e-10;"CALCOCO1";"12";53711118;53727523;"-";16406;"protein_coding";"calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]"
"ENSG00000013297";-3,965750952508;0,0177118452244023;0,032987327739048;"CLDN11";"3";170418865;170434691;"+";15827;"protein_coding";"claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]"
"ENSG00000013364";-3,26517275299223;5,02170213845401e-240;1,27536017037524e-237;"MVP";"16";29820394;29848039;"+";27646;"protein_coding";"major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]"
"ENSG00000014919";-1,02551185789342;6,22364548567697e-20;5,31977285216305e-19;"COX15";"10";99694793;99732666;"-";37874;"protein_coding";"cytochrome c oxidase assembly homolog COX15 [Source:HGNC Symbol;Acc:HGNC:2263]"
"ENSG00000018236";-9,20749982351771;7,25735870056665e-11;3,57566365313519e-10;"CNTN1";"12";40692429;41072412;"+";379984;"protein_coding";"contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]"
"ENSG00000018408";-3,02753785533694;2,31390383459402e-174;2,83106978653029e-172;"WWTR1";"3";149517229;149724788;"-";207560;"protein_coding";"WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]"
"ENSG00000018510";-8,20484046159044;2,89919591490983e-05;8,35993840112138e-05;"AGPS";"2";177392743;177543836;"+";151094;"protein_coding";"alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]"
"ENSG00000018869";-6,9528228639626;0,000119020462960711;0,000316569501768873;"ZNF582";"19";56382751;56393601;"-";10851;"protein_coding";"zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421]"
"ENSG00000019186";-5,10314798339445;0;0;"CYP24A1";"20";54145731;54174032;"-";28302;"protein_coding";"cytochrome P450 family 24 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2602]"
