"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000001561";6,45823508301683;4,39874180255981;0,000207404078582584;0,0101899499121154;"ENPP4";"6";46129964;46146699;"+";16736;"protein_coding";"ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359]"
"ENSG00000002587";-6,05614673539713;2,93390215842651;0,000623570838963958;0,0232361514465935;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002745";5,52164751372031;2,49931610415212;0,00130283623533127;0,0403668561561448;"WNT16";"7";121325367;121341104;"+";15738;"protein_coding";"Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]"
"ENSG00000003147";9,92930648559603;1,24385217850495;0,000232528275202866;0,0111828591638514;"ICA1";"7";8113184;8262687;"-";149504;"protein_coding";"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"ENSG00000003989";9,08357779288012;5,05231142320098;4,63953799600692e-06;0,000888984317276989;"SLC7A2";"8";17494349;17570568;"+";76220;"protein_coding";"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000005249";7,15126148401346;2,73823107924892;0,000138316149452665;0,00755628234497556;"PRKAR2B";"7";107044728;107161811;"+";121914;"protein_coding";"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005379";9,92930648559603;1,24385217850495;0,000232528275202866;0,0111828591638514;"TSPOAP1";"17";58301227;58329030;"-";27804;"protein_coding";"TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"ENSG00000005884";-5,7379843469408;8,39812814549636;0,000494898808135657;0,0196695262106842;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000006555";-12,0291492763331;3,33164856220264;6,41903906694616e-06;0,00106223425577837;"TTC22";"1";54779696;54802379;"-";22684;"protein_coding";"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006747";12,7010461818997;3,99229404330783;2,01828177648729e-06;0,000524003776244399;"SCIN";"7";12570363;12653603;"+";83241;"protein_coding";"scinderin [Source:HGNC Symbol;Acc:HGNC:21695]"
"ENSG00000006756";-7,85340547485623;3,73818357548822;4,54493397644714e-05;0,00355834121175343;"ARSD";"X";2903970;2929375;"-";25406;"protein_coding";"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000007038";-11,455977118912;2,76572449137118;1,71598149570739e-05;0,0019522506978976;"PRSS21";"16";2817163;2821722;"+";5329;"protein_coding";"serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"ENSG00000007264";12,0695176275082;3,36290346356932;5,9918499783065e-06;0,00102152417021249;"MATK";"19";3777969;3801812;"-";23844;"protein_coding";"megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]"
"ENSG00000008394";6,92681636334967;3,47429822878899;0,000115188729029554;0,00672045011065694;"MGST1";"12";16347142;16377189;"+";30048;"protein_coding";"microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]"
"ENSG00000008517";-6,41684006751534;5,25117748470227;0,000186719329882218;0,00945438654199169;"IL32";"16";3065312;3069819;"+";4508;"protein_coding";"interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"ENSG00000010295";9,92326876632093;4,94628679567256;1,35421650205301e-06;0,000425013844601223;"IFFO1";"12";6539528;6556097;"-";16570;"protein_coding";"intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]"
"ENSG00000010361";5,40046646588931;3,36149519074604;0,00123482442327539;0,0389220934664621;"FUZ";"19";49806866;49817376;"-";10511;"protein_coding";"fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]"
"ENSG00000010704";-12,5325459821755;3,83062999363703;2,6953002315463e-06;0,000620917785297411;"HFE";"6";26087281;26096216;"+";8936;"protein_coding";"homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]"
"ENSG00000011028";6,00742300981417;3,13903817354841;0,000436176714106406;0,0179631781151107;"MRC2";"17";62627401;62693601;"+";66201;"protein_coding";"mannose receptor C-type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"ENSG00000011201";5,61917939078895;3,81950763555145;0,000788067238161192;0,0273763128554355;"ANOS1";"X";8528874;8732187;"-";203314;"protein_coding";"anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]"
"ENSG00000013588";-6,52824788106606;8,51077454735908;0,000131544767030448;0,00734512084127374;"GPRC5A";"12";12891022;12913666;"+";22645;"protein_coding";"G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]"
"ENSG00000013619";-5,65551106626336;3,96988749137318;0,000714871666005386;0,0254653795230842;"MAMLD1";"X";150361564;150514178;"+";152615;"protein_coding";"mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]"
"ENSG00000015520";6,72970355451059;1,7805177776702;0,000322511552725994;0,0142328801658984;"NPC1L1";"7";44512440;44541651;"-";29212;"protein_coding";"NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]"
"ENSG00000016082";11,2194800239712;2,51775189855789;2,58200942163405e-05;0,00250668360010692;"ISL1";"5";51383124;51394730;"+";11607;"protein_coding";"ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]"
"ENSG00000017483";-8,0461107859319;5,87556304120509;1,34344406292451e-05;0,00165794659507898;"SLC38A5";"X";48458537;48470256;"-";11720;"protein_coding";"solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]"
"ENSG00000018236";5,49767790394066;1,82162298111922;0,00124086878459465;0,0390450034329758;"CNTN1";"12";40692429;41072412;"+";379984;"protein_coding";"contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]"
"ENSG00000018869";12,6935786355281;3,9848466394319;2,0438536567243e-06;0,000524003776244399;"ZNF582";"19";56382751;56393601;"-";10851;"protein_coding";"zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421]"
"ENSG00000021645";5,17305575688902;3,45843590977442;0,00146838356250239;0,0442166848440547;"NRXN3";"14";77979904;79868290;"+";1888387;"protein_coding";"neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]"
"ENSG00000022267";6,9725803581023;6,67701497575395;6,47895989661427e-05;0,00444205299427758;"FHL1";"X";136146702;136211359;"+";64658;"protein_coding";"four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]"
"ENSG00000022556";-12,3235981748158;3,62333357611604;3,86138187968635e-06;0,000794549962764057;"NLRP2";"19";54965279;55001142;"+";357617;"protein_coding";"NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"ENSG00000023171";7,16196350414929;2,20462817331657;0,000156364184354009;0,00823819753341828;"GRAMD1B";"11";123358299;123627771;"+";269473;"protein_coding";"GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]"
"ENSG00000023445";-5,34853544020374;4,78485656724136;0,00107203801730467;0,0346612931243286;"BIRC3";"11";102317373;102339403;"+";22031;"protein_coding";"baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]"
"ENSG00000024422";-6,98535905145241;6,33338587296549;6,90984547021208e-05;0,00464132535403212;"EHD2";"19";47713344;47743134;"+";29791;"protein_coding";"EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]"
