"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000106571";"GLI3";"GLI family zinc finger 3";19;89,3385772705078;"Yes"
"row_1";"ENSG00000173068";"BNC2";"basonuclin zinc finger protein 2";68;70,7846298217773;"Yes"
"row_2";"ENSG00000154764";"WNT7A";"Wnt family member 7A";74;70,1148910522461;"Yes"
"row_3";"ENSG00000137203";"TFAP2A";"transcription factor AP-2 alpha";92;65,5334320068359;"Yes"
"row_4";"ENSG00000186480";"INSIG1";"insulin induced gene 1";118;59,4479713439941;"Yes"
"row_5";"ENSG00000122641";"INHBA";"inhibin subunit beta A";124;58,1436347961426;"Yes"
"row_6";"ENSG00000184058";"TBX1";"T-box transcription factor 1";126;57,8926048278809;"Yes"
"row_7";"ENSG00000019549";"SNAI2";"snail family transcriptional repressor 2";268;42,4317970275879;"Yes"
"row_8";"ENSG00000114251";"WNT5A";"Wnt family member 5A";297;39,9102363586426;"Yes"
"row_9";"ENSG00000134853";"PDGFRA";"platelet derived growth factor receptor alpha";409;32,7930068969727;"Yes"
"row_10";"ENSG00000133216";"EPHB2";"EPH receptor B2";426;32,0115623474121;"Yes"
"row_11";"ENSG00000105855";"ITGB8";"integrin subunit beta 8";498;28,4128684997559;"Yes"
"row_12";"ENSG00000156345";"CDK20";"cyclin dependent kinase 20";519;27,5610942840576;"Yes"
"row_13";"ENSG00000184916";"JAG2";"jagged canonical Notch ligand 2";549;26,6035270690918;"Yes"
"row_14";"ENSG00000182580";"EPHB3";"EPH receptor B3";685;21,4752521514893;"Yes"
"row_15";"ENSG00000166206";"GABRB3";"gamma-aminobutyric acid type A receptor subunit beta3";987;14,3891639709473;"Yes"
"row_16";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";1110;12,400465965271;"Yes"
"row_17";"ENSG00000180340";"FZD2";"frizzled class receptor 2";1142;11,6817798614502;"Yes"
"row_18";"ENSG00000116132";"PRRX1";"paired related homeobox 1";1540;7,20506525039673;"Yes"
"row_19";"ENSG00000138795";"LEF1";"lymphoid enhancer binding factor 1";1585;7,14543104171753;"Yes"
"row_20";"ENSG00000137273";"FOXF2";"forkhead box F2";1732;5,69339418411255;"Yes"
"row_21";"ENSG00000135414";"GDF11";"growth differentiation factor 11";3109;1,56498897075653;"No"
"row_22";"ENSG00000157240";"FZD1";"frizzled class receptor 1";3396;1,10421431064606;"No"
"row_23";"ENSG00000117595";"IRF6";"interferon regulatory factor 6";3477;1,00674831867218;"No"
"row_24";"ENSG00000154342";"WNT3A";"Wnt family member 3A";3700;0,926819324493408;"No"
"row_25";"ENSG00000119699";"TGFB3";"transforming growth factor beta 3";4187;0,886721611022949;"No"
"row_26";"ENSG00000163659";"TIPARP";"TCDD inducible poly(ADP-ribose) polymerase";4342;0,759951233863831;"No"
"row_27";"ENSG00000164920";"OSR2";"odd-skipped related transciption factor 2";5557;0,262127101421356;"No"
"row_28";"ENSG00000115318";"LOXL3";"lysyl oxidase like 3";5578;0,258090138435364;"No"
"row_29";"ENSG00000164690";"SHH";"sonic hedgehog signaling molecule";5751;0,222296133637428;"No"
"row_30";"ENSG00000179981";"TSHZ1";"teashirt zinc finger homeobox 1";5788;0,214191541075706;"No"
"row_31";"ENSG00000105880";"DLX5";"distal-less homeobox 5";5977;0,184907704591751;"No"
"row_32";"ENSG00000146350";"TBC1D32";"TBC1 domain family member 32";6074;0,171247452497482;"No"
"row_33";"ENSG00000183337";"BCOR";"BCL6 corepressor";6541;0,110515527427197;"No"
"row_34";"ENSG00000198363";"ASPH";"aspartate beta-hydroxylase";6864;0,0808071047067642;"No"
"row_35";"ENSG00000163348";"PYGO2";"pygopus family PHD finger 2";7476;0,040955875068903;"No"
"row_36";"ENSG00000121068";"TBX2";"T-box transcription factor 2";7705;0,030575554817915;"No"
"row_37";"ENSG00000138686";"BBS7";"Bardet-Biedl syndrome 7";7882;0,0225950814783573;"No"
"row_38";"ENSG00000179029";"TMEM107";"transmembrane protein 107";8088;0,0146035458892584;"No"
"row_39";"ENSG00000150347";"ARID5B";"AT-rich interaction domain 5B";8751;0,00219813268631697;"No"
"row_40";"ENSG00000143951";"WDPCP";"WD repeat containing planar cell polarity effector";8808;0,00162286916747689;"No"
"row_41";"ENSG00000006377";"DLX6";"distal-less homeobox 6";9121;0;"No"
"row_42";"ENSG00000008516";"MMP25";"matrix metallopeptidase 25";9136;0;"No"
"row_43";"ENSG00000106511";"MEOX2";"mesenchyme homeobox 2";9521;0;"No"
"row_44";"ENSG00000118526";"TCF21";"transcription factor 21";9724;0;"No"
"row_45";"ENSG00000137507";"LRRC32";"leucine rich repeat containing 32";10189;0;"No"
"row_46";"ENSG00000148704";"VAX1";"ventral anterior homeobox 1";10435;0;"No"
"row_47";"ENSG00000158955";"WNT9B";"Wnt family member 9B";10619;0;"No"
"row_48";"ENSG00000164107";"HAND2";"heart and neural crest derivatives expressed 2";10800;0;"No"
"row_49";"ENSG00000176887";"SOX11";"SRY-box transcription factor 11";11501;0;"No"
"row_50";"ENSG00000178860";"MSC";"musculin";11626;0;"No"
"row_51";"ENSG00000178919";"FOXE1";"forkhead box E1";11628;0;"No"
"row_52";"ENSG00000180318";"ALX1";"ALX homeobox 1";11716;0;"No"
"row_53";"ENSG00000204248";"COL11A2";"collagen type XI alpha 2 chain";13733;0;"No"
"row_54";"ENSG00000187676";"B3GLCT";"beta 3-glucosyltransferase";28319;-0,000316404504701495;"No"
"row_55";"ENSG00000144655";"CSRNP1";"cysteine and serine rich nuclear protein 1";28817;-0,00623469427227974;"No"
"row_56";"ENSG00000138002";"IFT172";"intraflagellar transport 172";29038;-0,0111877880990505;"No"
"row_57";"ENSG00000116030";"SUMO1";"small ubiquitin like modifier 1";29241;-0,0168106183409691;"No"
"row_58";"ENSG00000157933";"SKI";"SKI proto-oncogene";29476;-0,0254859235137701;"No"
"row_59";"ENSG00000136938";"ANP32B";"acidic nuclear phosphoprotein 32 family member B";29490;-0,0259847193956375;"No"
"row_60";"ENSG00000143867";"OSR1";"odd-skipped related transcription factor 1";29559;-0,0289060156792402;"No"
"row_61";"ENSG00000075711";"DLG1";"discs large MAGUK scaffold protein 1";29710;-0,03691141679883;"No"
"row_62";"ENSG00000164066";"INTU";"inturned planar cell polarity protein";30094;-0,0577668026089668;"No"
"row_63";"ENSG00000052850";"ALX4";"ALX homeobox 4";30294;-0,0740814059972763;"No"
"row_64";"ENSG00000119042";"SATB2";"SATB homeobox 2";30337;-0,077225387096405;"No"
"row_65";"ENSG00000124216";"SNAI1";"snail family transcriptional repressor 1";30361;-0,0791837647557259;"No"
"row_66";"ENSG00000103148";"NPRL3";"NPR3 like, GATOR1 complex subunit";30450;-0,0876084491610527;"No"
"row_67";"ENSG00000162496";"DHRS3";"dehydrogenase/reductase 3";30814;-0,119932517409325;"No"
"row_68";"ENSG00000127578";"WFIKKN1";"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1";30936;-0,130874320864677;"No"
"row_69";"ENSG00000107679";"PLEKHA1";"pleckstrin homology domain containing A1";31025;-0,140960246324539;"No"
"row_70";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";31115;-0,153636232018471;"No"
"row_71";"ENSG00000163132";"MSX1";"msh homeobox 1";31805;-0,276781976222992;"No"
"row_72";"ENSG00000166224";"SGPL1";"sphingosine-1-phosphate lyase 1";31996;-0,32163593173027;"No"
"row_73";"ENSG00000107779";"BMPR1A";"bone morphogenetic protein receptor type 1A";32179;-0,38311579823494;"No"
"row_74";"ENSG00000141646";"SMAD4";"SMAD family member 4";32183;-0,384439796209335;"No"
"row_75";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";32447;-0,486061155796051;"No"
"row_76";"ENSG00000163513";"TGFBR2";"transforming growth factor beta receptor 2";32689;-0,599432587623596;"No"
"row_77";"ENSG00000184113";"CLDN5";"claudin 5";33026;-0,822169959545135;"No"
"row_78";"ENSG00000175387";"SMAD2";"SMAD family member 2";33139;-0,906195342540741;"No"
"row_79";"ENSG00000115221";"ITGB6";"integrin subunit beta 6";33271;-0,990124225616455;"No"
"row_80";"ENSG00000173714";"WFIKKN2";"WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2";33362;-0,990124225616455;"No"
"row_81";"ENSG00000114739";"ACVR2B";"activin A receptor type 2B";34043;-1,46027827262878;"No"
"row_82";"ENSG00000061492";"WNT8A";"Wnt family member 8A";34140;-1,62076342105865;"No"
"row_83";"ENSG00000125629";"INSIG2";"insulin induced gene 2";34180;-1,68384826183319;"No"
"row_84";"ENSG00000171316";"CHD7";"chromodomain helicase DNA binding protein 7";34778;-3,15182852745056;"No"
"row_85";"ENSG00000085741";"WNT11";"Wnt family member 11";34860;-3,52520704269409;"No"
"row_86";"ENSG00000135111";"TBX3";"T-box transcription factor 3";35008;-4,19338512420654;"No"
"row_87";"ENSG00000069702";"TGFBR3";"transforming growth factor beta receptor 3";35290;-6,46585845947266;"No"
"row_88";"ENSG00000111845";"PAK1IP1";"PAK1 interacting protein 1";35292;-6,48705911636353;"No"
"row_89";"ENSG00000138759";"FRAS1";"Fraser extracellular matrix complex subunit 1";35322;-6,97320652008057;"No"
"row_90";"ENSG00000162878";"PKDCC";"protein kinase domain containing, cytoplasmic";35399;-7,38134860992432;"No"
"row_91";"ENSG00000139219";"COL2A1";"collagen type II alpha 1 chain";35646;-11,721453666687;"No"
