"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000002587";-6,05614673539713;2,93390215842651;0,000623570838963958;0,0232361514465935;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000005884";-5,7379843469408;8,39812814549636;0,000494898808135657;0,0196695262106842;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000006555";-12,0291492763331;3,33164856220264;6,41903906694616e-06;0,00106223425577837;"TTC22";"1";54779696;54802379;"-";22684;"protein_coding";"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006756";-7,85340547485623;3,73818357548822;4,54493397644714e-05;0,00355834121175343;"ARSD";"X";2903970;2929375;"-";25406;"protein_coding";"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000007038";-11,455977118912;2,76572449137118;1,71598149570739e-05;0,0019522506978976;"PRSS21";"16";2817163;2821722;"+";5329;"protein_coding";"serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"ENSG00000008517";-6,41684006751534;5,25117748470227;0,000186719329882218;0,00945438654199169;"IL32";"16";3065312;3069819;"+";4508;"protein_coding";"interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"ENSG00000010704";-12,5325459821755;3,83062999363703;2,6953002315463e-06;0,000620917785297411;"HFE";"6";26087281;26096216;"+";8936;"protein_coding";"homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]"
"ENSG00000013588";-6,52824788106606;8,51077454735908;0,000131544767030448;0,00734512084127374;"GPRC5A";"12";12891022;12913666;"+";22645;"protein_coding";"G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]"
"ENSG00000013619";-5,65551106626336;3,96988749137318;0,000714871666005386;0,0254653795230842;"MAMLD1";"X";150361564;150514178;"+";152615;"protein_coding";"mastermind like domain containing 1 [Source:HGNC Symbol;Acc:HGNC:2568]"
"ENSG00000017483";-8,0461107859319;5,87556304120509;1,34344406292451e-05;0,00165794659507898;"SLC38A5";"X";48458537;48470256;"-";11720;"protein_coding";"solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]"
"ENSG00000022556";-12,3235981748158;3,62333357611604;3,86138187968635e-06;0,000794549962764057;"NLRP2";"19";54965279;55001142;"+";357617;"protein_coding";"NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"ENSG00000023445";-5,34853544020374;4,78485656724136;0,00107203801730467;0,0346612931243286;"BIRC3";"11";102317373;102339403;"+";22031;"protein_coding";"baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]"
"ENSG00000024422";-6,98535905145241;6,33338587296549;6,90984547021208e-05;0,00464132535403212;"EHD2";"19";47713344;47743134;"+";29791;"protein_coding";"EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]"
"ENSG00000026508";-6,48606787630164;8,97414631189337;0,000138992792031955;0,00756275700676649;"CD44";"11";35138870;35232402;"+";93533;"protein_coding";"CD44 molecule (IN blood group) [Source:HGNC Symbol;Acc:HGNC:1681]"
"ENSG00000034239";-6,15395292750426;2,07642137874806;0,000810348002668689;0,0280054920249708;"EFCAB1";"8";48709593;48735843;"-";26251;"protein_coding";"calaxin [Source:HGNC Symbol;Acc:HGNC:25678]"
"ENSG00000039068";-5,52632665599413;8,18435897241025;0,000708905331182936;0,02538744892569;"CDH1";"16";68737290;68835542;"+";98253;"protein_coding";"cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]"
"ENSG00000039139";-5,61972553687022;3,07778296662367;0,000867578219711305;0,0295187408101026;"DNAH5";"5";13690328;14011829;"-";321502;"protein_coding";"dynein axonemal heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:2950]"
"ENSG00000041515";-7,13315015829381;3,58785846847899;9,56770367225136e-05;0,00586400370188524;"MYO16";"13";108495729;109208007;"+";804064;"protein_coding";"myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]"
"ENSG00000042493";-6,66350289111922;5,66330959457501;0,000123204576728333;0,00706359971712075;"CAPG";"2";85394748;85418467;"-";23720;"protein_coding";"capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]"
"ENSG00000049283";-5,92280348214632;4,09529392889112;0,000493044043787334;0,0196381521432949;"EPN3";"17";50532687;50543750;"+";11064;"protein_coding";"epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]"
"ENSG00000052344";-8,23485098196666;5,08097868060091;1,52452728148048e-05;0,00183076104980239;"PRSS8";"16";31131433;31135762;"-";4330;"protein_coding";"serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]"
"ENSG00000058085";-11,0149769585218;9,99854511971013;6,78969687619815e-08;8,82806087410249e-05;"LAMC2";"1";183186039;183245127;"+";59089;"protein_coding";"laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]"
"ENSG00000058335";-6,4011231949741;3,27035207813677;0,000349569566691376;0,0151536619669689;"RASGRF1";"15";78959947;79090873;"-";130927;"protein_coding";"Ras protein specific guanine nucleotide releasing factor 1 [Source:HGNC Symbol;Acc:HGNC:9875]"
"ENSG00000058866";-11,8292630147625;3,13397879732681;9,03195436341053e-06;0,0013152693222173;"DGKG";"3";186147201;186362234;"-";215034;"protein_coding";"diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]"
"ENSG00000060558";-13,0247277144975;4,31973788196166;1,15261546121572e-06;0,000388842455358589;"GNA15";"19";3136032;3163769;"+";27738;"protein_coding";"G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]"
"ENSG00000062038";-6,71054831236891;7,72233031522883;9,80945047842399e-05;0,00593719616288884;"CDH3";"16";68644836;68727573;"+";82738;"protein_coding";"cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]"
"ENSG00000064270";-5,26065770346244;3,13593367290885;0,00152126068988003;0,0453427948204774;"ATP2C2";"16";84368523;84465777;"+";97255;"protein_coding";"ATPase secretory pathway Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:29103]"
"ENSG00000065361";-5,09331532383096;6,05334170151317;0,00149024854110849;0,0447640168214486;"ERBB3";"12";56080025;56103507;"+";23483;"protein_coding";"erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]"
"ENSG00000065618";-5,23140203440569;5,29171674347495;0,00125932522451708;0,0393874519963648;"COL17A1";"10";104031288;104085880;"-";54593;"protein_coding";"collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]"
"ENSG00000067798";-5,41750847081223;2,88237025495771;0,00121982201429507;0,0385493404968978;"NAV3";"12";77571856;78213012;"+";641157;"protein_coding";"neuron navigator 3 [Source:HGNC Symbol;Acc:HGNC:15998]"
"ENSG00000068985";-13,542118477088;4,83484091226363;4,70844531045581e-07;0,000226738187903103;"PAGE1";"X";49687450;49696019;"-";8570;"protein_coding";"PAGE family member 1 [Source:HGNC Symbol;Acc:HGNC:4107]"
"ENSG00000070190";-8,65789828840504;4,535309851776;1,14108993463352e-05;0,00154778094811901;"DAPP1";"4";99816824;99872290;"+";55467;"protein_coding";"dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]"
"ENSG00000072657";-12,3961138340164;3,69524930541348;3,4009810811827e-06;0,000732639746991346;"TRHDE";"12";72087288;72666662;"+";579375;"protein_coding";"thyrotropin releasing hormone degrading enzyme [Source:HGNC Symbol;Acc:HGNC:30748]"
"ENSG00000073282";-10,697097997226;2,02189618487818;6,28450649150964e-05;0,00435797606342666;"TP63";"3";189596746;189897279;"+";300534;"protein_coding";"tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]"
"ENSG00000074416";-6,32750430746809;6,01577932013012;0,000203072445355875;0,0100585788375864;"MGLL";"3";127689062;127823250;"-";134189;"protein_coding";"monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]"
"ENSG00000077935";-6,40065972489471;4,24688989415902;0,000224772481057985;0,0108817379593045;"SMC1B";"22";45344063;45413671;"-";69609;"protein_coding";"structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]"
"ENSG00000078401";-5,75691206272813;2,6438208965122;0,00103145862201597;0,0336179790448644;"EDN1";"6";12256463;12297194;"+";40732;"protein_coding";"endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]"
"ENSG00000080031";-5,46376501813102;3,64807941819972;0,00106562822853253;0,0345153570177539;"PTPRH";"19";55181247;55209506;"-";28260;"protein_coding";"protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]"
"ENSG00000081277";-15,1525390763332;6,44167896966057;2,90280609134908e-08;7,04530390411031e-05;"PKP1";"1";201283452;201332993;"+";49542;"protein_coding";"plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]"
"ENSG00000083307";-14,8912154057366;6,18070261052447;4,56310174683282e-08;8,27293724654749e-05;"GRHL2";"8";101492439;101678104;"+";185666;"protein_coding";"grainyhead like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:2799]"
"ENSG00000087258";-5,11987922656779;3,98369568162469;0,00165425512535232;0,0486075965242748;"GNAO1";"16";56191339;56357444;"+";166106;"protein_coding";"G protein subunit alpha o1 [Source:HGNC Symbol;Acc:HGNC:4389]"
