"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000122136";"OBP2A";"odorant binding protein 2A";4772;0,877782940864563;"No"
"row_1";"ENSG00000112462";"OR12D3";"olfactory receptor family 12 subfamily D member 3";10716;0;"No"
"row_2";"ENSG00000148215";"OR5C1";"olfactory receptor family 5 subfamily C member 1";11367;0;"No"
"row_3";"ENSG00000149133";"OR5F1";"olfactory receptor family 5 subfamily F member 1";11381;0;"No"
"row_4";"ENSG00000150269";"OR5M9";"olfactory receptor family 5 subfamily M member 9";11402;0;"No"
"row_5";"ENSG00000153230";"OR14K1";"olfactory receptor family 14 subfamily K member 1";11442;0;"No"
"row_6";"ENSG00000165204";"OR1K1";"olfactory receptor family 1 subfamily K member 1";11735;0;"No"
"row_7";"ENSG00000167825";"OR5I1";"olfactory receptor family 5 subfamily I member 1";11839;0;"No"
"row_8";"ENSG00000168158";"OR2C1";"olfactory receptor family 2 subfamily C member 1";11855;0;"No"
"row_9";"ENSG00000169327";"OR5AU1";"olfactory receptor family 5 subfamily AU member 1";11919;0;"No"
"row_10";"ENSG00000170605";"OR9K2";"olfactory receptor family 9 subfamily K member 2";11984;0;"No"
"row_11";"ENSG00000170953";"OR8B12";"olfactory receptor family 8 subfamily B member 12";12005;0;"No"
"row_12";"ENSG00000171102";"OBP2B";"odorant binding protein 2B";12016;0;"No"
"row_13";"ENSG00000172154";"OR8I2";"olfactory receptor family 8 subfamily I member 2";12078;0;"No"
"row_14";"ENSG00000172289";"OR10V1";"olfactory receptor family 10 subfamily V member 1";12092;0;"No"
"row_15";"ENSG00000172320";"OR5A1";"olfactory receptor family 5 subfamily A member 1";12093;0;"No"
"row_16";"ENSG00000172324";"OR5A2";"olfactory receptor family 5 subfamily A member 2";12095;0;"No"
"row_17";"ENSG00000172362";"OR5B12";"olfactory receptor family 5 subfamily B member 12";12098;0;"No"
"row_18";"ENSG00000172365";"OR5B2";"olfactory receptor family 5 subfamily B member 2";12099;0;"No"
"row_19";"ENSG00000172377";"OR9I1";"olfactory receptor family 9 subfamily I member 1";12100;0;"No"
"row_20";"ENSG00000172457";"OR9G4";"olfactory receptor family 9 subfamily G member 4";12104;0;"No"
"row_21";"ENSG00000172459";"OR5AR1";"olfactory receptor family 5 subfamily AR member 1";12105;0;"No"
"row_22";"ENSG00000172464";"OR5AP2";"olfactory receptor family 5 subfamily AP member 2";12106;0;"No"
"row_23";"ENSG00000172489";"OR5T3";"olfactory receptor family 5 subfamily T member 3";12110;0;"No"
"row_24";"ENSG00000172769";"OR5B3";"olfactory receptor family 5 subfamily B member 3";12123;0;"No"
"row_25";"ENSG00000172772";"OR10W1";"olfactory receptor family 10 subfamily W member 1";12124;0;"No"
"row_26";"ENSG00000173285";"OR10K1";"olfactory receptor family 10 subfamily K member 1";12142;0;"No"
"row_27";"ENSG00000173302";"GPR148";"G protein-coupled receptor 148";12143;0;"No"
