"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000104722";"NEFM";"neurofilament medium chain";0;241,178802490234;"Yes"
"row_1";"ENSG00000277586";"NEFL";"neurofilament light chain";1;172,722595214844;"Yes"
"row_2";"ENSG00000102409";"BEX4";"brain expressed X-linked 4";53;69,6565704345703;"Yes"
"row_3";"ENSG00000164114";"MAP9";"microtubule associated protein 9";56;68,6440811157227;"Yes"
"row_4";"ENSG00000066735";"KIF26A";"kinesin family member 26A";90;58,3104820251465;"Yes"
"row_5";"ENSG00000116741";"RGS2";"regulator of G protein signaling 2";142;50,3448257446289;"Yes"
"row_6";"ENSG00000066629";"EML1";"EMAP like 1";226;42,7542457580566;"Yes"
"row_7";"ENSG00000152661";"GJA1";"gap junction protein alpha 1";230;42,292350769043;"Yes"
"row_8";"ENSG00000184368";"MAP7D2";"MAP7 domain containing 2";244;40,4933166503906;"Yes"
"row_9";"ENSG00000100285";"NEFH";"neurofilament heavy chain";245;40,426326751709;"Yes"
"row_10";"ENSG00000182168";"UNC5C";"unc-5 netrin receptor C";256;39,8117904663086;"Yes"
"row_11";"ENSG00000188906";"LRRK2";"leucine rich repeat kinase 2";314;35,8343696594238;"Yes"
"row_12";"ENSG00000129682";"FGF13";"fibroblast growth factor 13";340;34,4093856811523;"Yes"
"row_13";"ENSG00000145335";"SNCA";"synuclein alpha";352;33,9302673339844;"Yes"
"row_14";"ENSG00000130294";"KIF1A";"kinesin family member 1A";357;33,6694488525391;"Yes"
"row_15";"ENSG00000068615";"REEP1";"receptor accessory protein 1";359;33,5804786682129;"Yes"
"row_16";"ENSG00000105255";"FSD1";"fibronectin type III and SPRY domain containing 1";578;23,8777675628662;"Yes"
"row_17";"ENSG00000189350";"TOGARAM2";"TOG array regulator of axonemal microtubules 2";648;21,5547523498535;"Yes"
"row_18";"ENSG00000132563";"REEP2";"receptor accessory protein 2";770;18,2223892211914;"Yes"
"row_19";"ENSG00000166974";"MAPRE2";"microtubule associated protein RP/EB family member 2";1026;12,6864604949951;"Yes"
"row_20";"ENSG00000160469";"BRSK1";"BR serine/threonine kinase 1";1070;12,0082702636719;"Yes"
"row_21";"ENSG00000168280";"KIF5C";"kinesin family member 5C";1082;11,8286247253418;"Yes"
"row_22";"ENSG00000155980";"KIF5A";"kinesin family member 5A";1120;11,6442794799805;"Yes"
"row_23";"ENSG00000136883";"KIF12";"kinesin family member 12";1139;11,1467514038086;"Yes"
"row_24";"ENSG00000204991";"SPIRE2";"spire type actin nucleation factor 2";1293;9,3603401184082;"Yes"
"row_25";"ENSG00000270765";"GAS2L2";"growth arrest specific 2 like 2";1388;8,66263675689697;"Yes"
"row_26";"ENSG00000101460";"MAP1LC3A";"microtubule associated protein 1 light chain 3 alpha";1435;7,92173385620117;"Yes"
"row_27";"ENSG00000112530";"PACRG";"parkin coregulated";1482;7,36594200134277;"Yes"
"row_28";"ENSG00000160282";"FTCD";"formimidoyltransferase cyclodeaminase";1486;7,36594200134277;"Yes"
"row_29";"ENSG00000132718";"SYT11";"synaptotagmin 11";1536;6,99529314041138;"Yes"
"row_30";"ENSG00000178125";"PPP1R42";"protein phosphatase 1 regulatory subunit 42";1607;6,54309844970703;"Yes"
"row_31";"ENSG00000196169";"KIF19";"kinesin family member 19";1618;6,54309844970703;"Yes"
"row_32";"ENSG00000143494";"VASH2";"vasohibin 2";1777;5,62294292449951;"Yes"
"row_33";"ENSG00000182511";"FES";"FES proto-oncogene, tyrosine kinase";1832;5,16408586502075;"Yes"
"row_34";"ENSG00000131711";"MAP1B";"microtubule associated protein 1B";1856;5,03728342056274;"Yes"
"row_35";"ENSG00000122574";"WIPF3";"WAS/WASL interacting protein family member 3";1860;5,00672006607056;"Yes"
"row_36";"ENSG00000148935";"GAS2";"growth arrest specific 2";1864;4,93661308288574;"Yes"
"row_37";"ENSG00000158560";"DYNC1I1";"dynein cytoplasmic 1 intermediate chain 1";1887;4,78473567962646;"Yes"
"row_38";"ENSG00000120262";"CCDC170";"coiled-coil domain containing 170";2000;4,05132675170898;"Yes"
"row_39";"ENSG00000164627";"KIF6";"kinesin family member 6";2174;4,04383230209351;"Yes"
"row_40";"ENSG00000152969";"JAKMIP1";"janus kinase and microtubule interacting protein 1";2281;3,41085267066956;"Yes"
"row_41";"ENSG00000162849";"KIF26B";"kinesin family member 26B";2282;3,40954065322876;"Yes"
"row_42";"ENSG00000132938";"MTUS2";"microtubule associated scaffold protein 2";2334;3,17599821090698;"Yes"
"row_43";"ENSG00000185345";"PRKN";"parkin RBR E3 ubiquitin protein ligase";2338;3,1727614402771;"Yes"
"row_44";"ENSG00000010810";"FYN";"FYN proto-oncogene, Src family tyrosine kinase";2360;3,06658506393433;"Yes"
"row_45";"ENSG00000077327";"SPAG6";"sperm associated antigen 6";2462;2,86892795562744;"No"
"row_46";"ENSG00000149557";"FEZ1";"fasciculation and elongation protein zeta 1";2619;2,32211494445801;"No"
"row_47";"ENSG00000166813";"KIF7";"kinesin family member 7";2623;2,31659507751465;"No"
"row_48";"ENSG00000188659";"SAXO2";"stabilizer of axonemal microtubules 2";2624;2,31507539749146;"No"
"row_49";"ENSG00000111087";"GLI1";"GLI family zinc finger 1";2681;2,17797231674194;"No"
"row_50";"ENSG00000015592";"STMN4";"stathmin 4";2766;1,95095801353455;"No"
"row_51";"ENSG00000077274";"CAPN6";"calpain 6";2775;1,95095801353455;"No"
"row_52";"ENSG00000109846";"CRYAB";"crystallin alpha B";2803;1,95095801353455;"No"
"row_53";"ENSG00000176049";"JAKMIP2";"janus kinase and microtubule interacting protein 2";3254;1,95030570030212;"No"
"row_54";"ENSG00000170703";"TTLL6";"tubulin tyrosine ligase like 6";3335;1,76235902309418;"No"
"row_55";"ENSG00000120440";"TTLL2";"tubulin tyrosine ligase like 2";3422;1,58784234523773;"No"
"row_56";"ENSG00000140854";"KATNB1";"katanin regulatory subunit B1";3468;1,57062542438507;"No"
"row_57";"ENSG00000150764";"DIXDC1";"DIX domain containing 1";3574;1,38226997852325;"No"
"row_58";"ENSG00000141376";"BCAS3";"BCAS3 microtubule associated cell migration factor";3576;1,37806308269501;"No"
"row_59";"ENSG00000170959";"DCDC1";"doublecortin domain containing 1";3577;1,37397563457489;"No"
"row_60";"ENSG00000166963";"MAP1A";"microtubule associated protein 1A";3579;1,36772751808167;"No"
"row_61";"ENSG00000128159";"TUBGCP6";"tubulin gamma complex component 6";3605;1,30671191215515;"No"
"row_62";"ENSG00000159713";"TPPP3";"tubulin polymerization promoting protein family member 3";3685;1,20778167247772;"No"
"row_63";"ENSG00000180834";"MAP6D1";"MAP6 domain containing 1";4018;0,865158557891846;"No"
"row_64";"ENSG00000150628";"SPATA4";"spermatogenesis associated 4";4272;0,686654210090637;"No"
"row_65";"ENSG00000139112";"GABARAPL1";"GABA type A receptor associated protein like 1";4661;0,496373474597931;"No"
"row_66";"ENSG00000197959";"DNM3";"dynamin 3";4718;0,47013047337532;"No"
"row_67";"ENSG00000153094";"BCL2L11";"BCL2 like 11";4932;0,397824943065643;"No"
"row_68";"ENSG00000135049";"AGTPBP1";"ATP/GTP binding carboxypeptidase 1";4966;0,382341384887695;"No"
"row_69";"ENSG00000143363";"PRUNE1";"prune exopolyphosphatase 1";5038;0,364950329065323;"No"
"row_70";"ENSG00000164118";"CEP44";"centrosomal protein 44";5105;0,343898862600327;"No"
