"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000142208";"AKT1";"AKT serine/threonine kinase 1";105;477,367523193359;"No"
"row_1";"ENSG00000113494";"PRLR";"prolactin receptor";135;389,738800048828;"No"
"row_2";"ENSG00000105647";"PIK3R2";"phosphoinositide-3-kinase regulatory subunit 2";646;85,1841583251953;"No"
"row_3";"ENSG00000134470";"IL15RA";"interleukin 15 receptor subunit alpha";683;80,0790634155273;"No"
"row_4";"ENSG00000115705";"TPO";"thyroid peroxidase";770;67,5135040283203;"No"
"row_5";"ENSG00000114737";"CISH";"cytokine inducible SH2 containing protein";995;49,6446876525879;"No"
"row_6";"ENSG00000105639";"JAK3";"Janus kinase 3";1068;45,435791015625;"No"
"row_7";"ENSG00000131788";"PIAS3";"protein inhibitor of activated STAT 3";1170;39,5594940185547;"No"
"row_8";"ENSG00000105397";"TYK2";"tyrosine kinase 2";1318;32,7414588928223;"No"
"row_9";"ENSG00000131724";"IL13RA1";"interleukin 13 receptor subunit alpha 1";1788;20,3636283874512;"No"
"row_10";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";1868;18,9251518249512;"No"
"row_11";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";1908;18,0560569763184;"No"
"row_12";"ENSG00000112576";"CCND3";"cyclin D3";2224;13,6531391143799;"No"
"row_13";"ENSG00000145623";"OSMR";"oncostatin M receptor";2519;10,465311050415;"No"
"row_14";"ENSG00000100385";"IL2RB";"interleukin 2 receptor subunit beta";2527;10,3807392120361;"No"
"row_15";"ENSG00000141506";"PIK3R5";"phosphoinositide-3-kinase regulatory subunit 5";2684;9,02888011932373;"No"
"row_16";"ENSG00000128342";"LIF";"LIF interleukin 6 family cytokine";2749;8,50059509277344;"No"
"row_17";"ENSG00000005339";"CREBBP";"CREB binding protein";3088;6,57829427719116;"No"
"row_18";"ENSG00000121879";"PIK3CA";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha";3558;4,47507572174072;"No"
"row_19";"ENSG00000168610";"STAT3";"signal transducer and activator of transcription 3";3614;4,26286888122559;"No"
"row_20";"ENSG00000112964";"GHR";"growth hormone receptor";3840;3,60424208641052;"No"
"row_21";"ENSG00000111679";"PTPN6";"protein tyrosine phosphatase non-receptor type 6";4189;2,72607779502869;"No"
"row_22";"ENSG00000162891";"IL20";"interleukin 20";4228;2,63941431045532;"No"
"row_23";"ENSG00000187266";"EPOR";"erythropoietin receptor";4401;2,37107253074646;"No"
"row_24";"ENSG00000180008";"SOCS4";"suppressor of cytokine signaling 4";4503;2,21656012535095;"No"
"row_25";"ENSG00000104432";"IL7";"interleukin 7";4682;1,95334386825562;"No"
"row_26";"ENSG00000173757";"STAT5B";"signal transducer and activator of transcription 5B";5134;1,41165459156036;"No"
