"gene_id";"log2FoldChange";"pvalue";"padj";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000000457";-1,24116368703112;4,54609301465319e-06;1,44102895445569e-05;"SCYL3";"1";169853074;169894267;"-";41194;"protein_coding";"SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285]"
"ENSG00000000460";-1,09838562199526;9,70582845643636e-09;4,02939197568225e-08;"C1orf112";"1";169794730;169854080;"+";59351;"protein_coding";"FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565]"
"ENSG00000000971";-9,66741348142384;2,85916270351014e-67;9,45271898150631e-66;"CFH";"1";196651878;196747504;"+";95627;"protein_coding";"complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"ENSG00000001084";-2,66080569888426;5,69846790051757e-186;7,82932122528487e-184;"GCLC";"6";53497341;53545129;"-";47789;"protein_coding";"glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]"
"ENSG00000001617";1,89847913427112;4,20345006989871e-12;2,25178108250694e-11;"SEMA3F";"3";50155045;50189075;"+";34031;"protein_coding";"semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728]"
"ENSG00000001630";1,00377974893161;1,09572629455684e-18;8,7878297365367e-18;"CYP51A1";"7";92112149;92134745;"-";22597;"protein_coding";"cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]"
"ENSG00000002587";-5,67721966970256;2,61721303443482e-10;1,23472346983384e-09;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000002746";-7,66829964972965;2,61845369357867e-23;2,59860987636268e-22;"HECW1";"7";43112580;43566001;"+";453422;"protein_coding";"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"ENSG00000002822";1,24936724781705;1,26072780355862e-18;1,00726022131791e-17;"MAD1L1";"7";1815792;2232971;"-";417180;"protein_coding";"mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"ENSG00000002834";-2,70255175530447;1,09708133451283e-307;4,97007495381189e-305;"LASP1";"17";38869859;38921770;"+";51912;"protein_coding";"LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]"
"ENSG00000003096";1,70057866150576;0,00969342842071726;0,0189681586724332;"KLHL13";"X";117897813;118117340;"-";219528;"protein_coding";"kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
"ENSG00000003137";-1,28998559732127;0,00129311843717604;0,00295262923906073;"CYP26B1";"2";72129238;72147862;"-";18625;"protein_coding";"cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]"
"ENSG00000003147";4,39914728964385;2,13495343890453e-67;7,08635436493421e-66;"ICA1";"7";8113184;8262687;"-";149504;"protein_coding";"islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]"
"ENSG00000003249";2,21158745872232;2,4722839439306e-94;1,2557704081262e-92;"DBNDD1";"16";90004865;90020131;"-";15267;"protein_coding";"dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]"
"ENSG00000003400";-6,36060266709452;2,92943708940858e-14;1,81729180209721e-13;"CASP10";"2";201182881;201229406;"+";46526;"protein_coding";"caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]"
"ENSG00000003402";-1,3352472823647;7,44530337438782e-16;5,07309655128002e-15;"CFLAR";"2";201116104;201172688;"+";56585;"protein_coding";"CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"ENSG00000003989";3,90657087515761;7,53325817381974e-163;8,19951126685496e-161;"SLC7A2";"8";17494349;17570568;"+";76220;"protein_coding";"solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]"
"ENSG00000004059";1,70301551442153;3,16980248444196e-63;9,67800168382807e-62;"ARF5";"7";127588352;127591705;"+";3354;"protein_coding";"ARF GTPase 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"ENSG00000004139";-2,05075419536298;0,000259720341496086;0,000661013113294471;"SARM1";"17";28371662;28401045;"+";29384;"protein_coding";"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]"
"ENSG00000004468";-6,92352187069927;7,36498119802978e-74;2,77419808632304e-72;"CD38";"4";15778265;15853243;"+";74979;"protein_coding";"CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]"
"ENSG00000004660";-2,67151992523976;1,57482788420588e-31;2,11856059350393e-30;"CAMKK1";"17";3860315;3895633;"-";35319;"protein_coding";"calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]"
"ENSG00000004700";-1,08154547952682;8,65811406456477e-15;5,52865935048513e-14;"RECQL";"12";21468910;21501669;"-";32760;"protein_coding";"RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]"
"ENSG00000004799";-5,52487911646251;1,40402451928281e-19;1,17848067061685e-18;"PDK4";"7";95583497;95596613;"-";13117;"protein_coding";"pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"ENSG00000004948";4,93532192945796;0,000142613475481869;0,000375685537643735;"CALCR";"7";93424487;93574730;"-";150244;"protein_coding";"calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]"
"ENSG00000005001";7,97167370447341;4,96451577694326e-07;1,74199735091319e-06;"PRSS22";"16";2852727;2858630;"-";11328;"protein_coding";"serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]"
"ENSG00000005020";-1,59488357484218;6,95462705686387e-23;6,76965497834798e-22;"SKAP2";"7";26654772;26864743;"-";209972;"protein_coding";"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000005022";1,04880016479262;1,81724698933952e-50;4,30235791459166e-49;"SLC25A5";"X";119468400;119471396;"+";2997;"protein_coding";"solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]"
"ENSG00000005059";1,39779709544205;1,00914500282139e-14;6,41702903539153e-14;"MCUB";"4";109560199;109688719;"+";128521;"protein_coding";"mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
"ENSG00000005075";1,62176285372915;3,06644641783324e-41;5,59301140976286e-40;"POLR2J";"7";102473100;102478934;"-";5835;"protein_coding";"RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]"
"ENSG00000005100";-1,09696759714244;2,78357870444035e-17;2,07186262183966e-16;"DHX33";"17";5440912;5469060;"-";28149;"protein_coding";"DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]"
"ENSG00000005108";-8,47680069332955;3,27465398887226e-36;5,1346819608491e-35;"THSD7A";"7";11370435;11832198;"-";461764;"protein_coding";"thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]"
"ENSG00000005187";-3,66515476711886;2,66132160993582e-10;1,25376820758134e-09;"ACSM3";"16";20742440;20797811;"+";55372;"protein_coding";"acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]"
"ENSG00000005189";1,4204020278489;9,06430133642942e-09;3,77199153429071e-08;"REXO5";"16";20806429;20849682;"+";43254;"protein_coding";"RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"ENSG00000005238";-1,47549784787094;2,40401015483752e-05;6,99583649572682e-05;"FAM214B";"9";35104121;35116341;"-";12221;"protein_coding";"atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]"
"ENSG00000005243";1,11325521996345;3,6277765217477e-05;0,000103310890345795;"COPZ2";"17";48026167;48048086;"-";21920;"protein_coding";"COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"ENSG00000005249";2,1764647526259;2,26888120299292e-08;9,09397100061389e-08;"PRKAR2B";"7";107044728;107161811;"+";121914;"protein_coding";"protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"ENSG00000005421";-6,8105453942815;0,000202310019724415;0,000522675793868779;"PON1";"7";95297676;95324706;"-";27031;"protein_coding";"paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]"
"ENSG00000005513";-2,3571491115289;0,0180358149822031;0,0335236561024271;"SOX8";"16";981808;986979;"+";5172;"protein_coding";"SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"ENSG00000005884";-2,17661536576527;1,16085787401994e-161;1,24732690284116e-159;"ITGA3";"17";50055968;50090485;"+";34518;"protein_coding";"integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]"
"ENSG00000005981";-8,62145478249342;1,48724823809727e-09;6,62483522906896e-09;"ASB4";"7";95485439;95544738;"+";59300;"protein_coding";"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]"
"ENSG00000006016";3,89262909162142;4,46538793819471e-20;3,83840167282153e-19;"CRLF1";"19";18593225;18606850;"-";13626;"protein_coding";"cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]"
"ENSG00000006042";-5,59082618696168;2,18821462104693e-31;2,92728279952024e-30;"TMEM98";"17";32927910;32941649;"+";13740;"protein_coding";"transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"ENSG00000006047";5,62041530388078;6,53214547094436e-33;9,19326804231481e-32;"YBX2";"17";7288252;7294557;"-";6306;"protein_coding";"Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]"
"ENSG00000006062";-2,30608131351735;1,66489452644342e-46;3,51473073705852e-45;"MAP3K14";"17";45263119;45317064;"-";53946;"protein_coding";"mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]"
"ENSG00000006118";1,47285103615158;9,80045028612576e-56;2,57484557517304e-54;"TMEM132A";"11";60924441;60937159;"+";12719;"protein_coding";"transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]"
"ENSG00000006125";-2,60371241362755;3,1333441778431e-186;4,34058802553769e-184;"AP2B1";"17";35587263;35726417;"+";139155;"protein_coding";"adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]"
"ENSG00000006210";-5,59220266707719;0,00101356344937766;0,00235701311576974;"CX3CL1";"16";57372458;57385048;"+";12591;"protein_coding";"C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]"
"ENSG00000006283";-5,59509415384926;3,09315695713139e-76;1,22570914693703e-74;"CACNA1G";"17";50560933;50629625;"+";68693;"protein_coding";"calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]"
"ENSG00000006327";1,27197009084199;6,62138779625795e-33;9,31104884571105e-32;"TNFRSF12A";"16";3020312;3022383;"+";2072;"protein_coding";"TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]"
"ENSG00000006468";-10,0716574686725;1,40744886348187e-11;7,26120586324505e-11;"ETV1";"7";13891229;13991425;"-";100197;"protein_coding";"ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]"
"ENSG00000006534";-4,10465846724693;4,95309410658948e-218;8,73934351733187e-216;"ALDH3B1";"11";68008547;68029282;"+";20736;"protein_coding";"aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"ENSG00000006606";-3,16978753655064;0,000724143032503488;0,00172073795163361;"CCL26";"7";75769524;75791583;"-";22060;"protein_coding";"C-C motif chemokine ligand 26 [Source:HGNC Symbol;Acc:HGNC:10625]"
"ENSG00000006611";-3,48589628507087;0,000205988423946257;0,000531769284180988;"USH1C";"11";17493895;17544416;"-";50522;"protein_coding";"USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]"
"ENSG00000006625";1,32340481359331;1,29220565825794e-24;1,34952967250589e-23;"GGCT";"7";30496621;30504841;"-";8221;"protein_coding";"gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]"
"ENSG00000006634";1,49596787231403;4,28030986788184e-32;5,8760486490938e-31;"DBF4";"7";87876229;87909541;"+";33313;"protein_coding";"DBF4-CDC7 kinase regulatory subunit [Source:HGNC Symbol;Acc:HGNC:17364]"
"ENSG00000006740";1,72389094343382;9,82702483789094e-09;4,07522489690074e-08;"ARHGAP44";"17";12789512;12991644;"+";202133;"protein_coding";"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]"
"ENSG00000007047";1,02884504671428;6,24421755154563e-08;2,39235599083446e-07;"MARK4";"19";45251258;45305283;"+";54026;"protein_coding";"microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]"
"ENSG00000007168";-1,42768324721048;1,13971839915063e-55;2,9896650714496e-54;"PAFAH1B1";"17";2593210;2685617;"+";92408;"protein_coding";"platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"ENSG00000007237";-4,49307166566873;0,00287586153676537;0,00618332363766819;"GAS7";"17";9910609;10198551;"-";287943;"protein_coding";"growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]"
"ENSG00000007264";7,64498452055341;4,68889901346497e-24;4,78073754645377e-23;"MATK";"19";3777969;3801812;"-";23844;"protein_coding";"megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]"
"ENSG00000007314";3,51975701069214;0,00669258112234205;0,0134784386366331;"SCN4A";"17";63938554;63972918;"-";34365;"protein_coding";"sodium voltage-gated channel alpha subunit 4 [Source:HGNC Symbol;Acc:HGNC:10591]"
"ENSG00000007376";1,24192388427632;1,7689080895251e-19;1,47588040799501e-18;"RPUSD1";"16";784974;788383;"-";3410;"protein_coding";"RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]"
"ENSG00000007384";1,64321763967257;1,79991813411717e-40;3,21644219233178e-39;"RHBDF1";"16";58059;76355;"-";18297;"protein_coding";"rhomboid 5 homolog 1 [Source:HGNC Symbol;Acc:HGNC:20561]"
"ENSG00000007402";2,49735033179514;0,00289567833549464;0,00622273849481553;"CACNA2D2";"3";50362613;50504244;"-";141632;"protein_coding";"calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"ENSG00000007516";2,16174469126867;2,98020334753433e-10;1,40006077666397e-09;"BAIAP3";"16";1333605;1349441;"+";15837;"protein_coding";"BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]"
"ENSG00000007866";3,67070875418841;5,23300147260783e-110;3,14392726465421e-108;"TEAD3";"6";35473597;35497084;"-";23488;"protein_coding";"TEA domain transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11716]"
"ENSG00000007968";-1,41577451539218;0,00824455573266111;0,0163351351289439;"E2F2";"1";23505696;23531250;"-";50348;"protein_coding";"E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"ENSG00000008018";1,44638935964246;3,62718140302427e-48;8,05282313609176e-47;"PSMB1";"6";170535116;170553329;"-";18214;"protein_coding";"proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]"
"ENSG00000008086";-2,76911106311416;1,83763571264521e-56;4,91267142190733e-55;"CDKL5";"X";18425605;18653629;"+";228025;"protein_coding";"cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]"
"ENSG00000008277";2,30562270682615;1,79141985349195e-10;8,5704754792118e-10;"ADAM22";"7";87934143;88202889;"+";268747;"protein_coding";"ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]"
