"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000142156";"COL6A1";"collagen type VI alpha 1 chain";4;2342,35571289062;"Yes"
"row_1";"ENSG00000111799";"COL12A1";"collagen type XII alpha 1 chain";7;2071,9814453125;"Yes"
"row_2";"ENSG00000163297";"ANTXR2";"ANTXR cell adhesion molecule 2";23;1457,31359863281;"Yes"
"row_3";"ENSG00000130635";"COL5A1";"collagen type V alpha 1 chain";62;815,938171386719;"Yes"
"row_4";"ENSG00000204262";"COL5A2";"collagen type V alpha 2 chain";79;709,15771484375;"Yes"
"row_5";"ENSG00000092969";"TGFB2";"transforming growth factor beta 2";100;597,887145996094;"Yes"
"row_6";"ENSG00000182718";"ANXA2";"annexin A2";109;553,283569335938;"Yes"
"row_7";"ENSG00000162733";"DDR2";"discoidin domain receptor tyrosine kinase 2";155;436,722595214844;"Yes"
"row_8";"ENSG00000198756";"COLGALT2";"collagen beta(1-O)galactosyltransferase 2";175;396,893585205078;"Yes"
"row_9";"ENSG00000164692";"COL1A2";"collagen type I alpha 2 chain";204;355,654113769531;"Yes"
"row_10";"ENSG00000152952";"PLOD2";"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2";248;305,535614013672;"Yes"
"row_11";"ENSG00000151388";"ADAMTS12";"ADAM metallopeptidase with thrombospondin type 1 motif 12";425;187,721374511719;"Yes"
"row_12";"ENSG00000130508";"PXDN";"peroxidasin";456;172,696548461914;"Yes"
"row_13";"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";469;168,610366821289;"Yes"
"row_14";"ENSG00000117385";"P3H1";"prolyl 3-hydroxylase 1";610;125,692344665527;"Yes"
"row_15";"ENSG00000182197";"EXT1";"exostosin glycosyltransferase 1";688;110,803382873535;"Yes"
"row_16";"ENSG00000187955";"COL14A1";"collagen type XIV alpha 1 chain";824;88,4757766723633;"Yes"
"row_17";"ENSG00000113083";"LOX";"lysyl oxidase";860;83,0622100830078;"Yes"
"row_18";"ENSG00000129038";"LOXL1";"lysyl oxidase like 1";972;71,6093368530273;"Yes"
"row_19";"ENSG00000168487";"BMP1";"bone morphogenetic protein 1";974;71,4925155639648;"Yes"
"row_20";"ENSG00000139687";"RB1";"RB transcriptional corepressor 1";1051;64,8141403198242;"Yes"
"row_21";"ENSG00000130309";"COLGALT1";"collagen beta(1-O)galactosyltransferase 1";1060;64,2737045288086;"Yes"
"row_22";"ENSG00000134013";"LOXL2";"lysyl oxidase like 2";1156;57,2109527587891;"Yes"
"row_23";"ENSG00000156140";"ADAMTS3";"ADAM metallopeptidase with thrombospondin type 1 motif 3";1174;56,0721702575684;"Yes"
"row_24";"ENSG00000170275";"CRTAP";"cartilage associated protein";1214;53,1838417053223;"Yes"
"row_25";"ENSG00000138131";"LOXL4";"lysyl oxidase like 4";1602;33,5043411254883;"No"
