"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000006327";"TNFRSF12A";"TNF receptor superfamily member 12A";535;14,2706508636475;"No"
"row_1";"ENSG00000099250";"NRP1";"neuropilin 1";780;9,2553596496582;"No"
"row_2";"ENSG00000134259";"NGF";"nerve growth factor";1020;6,27806520462036;"No"
"row_3";"ENSG00000198910";"L1CAM";"L1 cell adhesion molecule";1033;6,04766368865967;"No"
"row_4";"ENSG00000138623";"SEMA7A";"semaphorin 7A (JohnMiltonHagen blood group)";1149;5,10460615158081;"No"
"row_5";"ENSG00000085978";"ATG16L1";"autophagy related 16 like 1";1329;4,06770086288452;"No"
"row_6";"ENSG00000001617";"SEMA3F";"semaphorin 3F";1352;3,92262363433838;"No"
"row_7";"ENSG00000035403";"VCL";"vinculin";1428;3,61822652816772;"No"
"row_8";"ENSG00000170017";"ALCAM";"activated leukocyte cell adhesion molecule";1472;3,35275220870972;"No"
"row_9";"ENSG00000078401";"EDN1";"endothelin 1";1724;2,92564582824707;"No"
"row_10";"ENSG00000247596";"TWF2";"twinfilin actin binding protein 2";1747;2,82770228385925;"No"
"row_11";"ENSG00000067715";"SYT1";"synaptotagmin 1";1891;2,28778004646301;"No"
"row_12";"ENSG00000112902";"SEMA5A";"semaphorin 5A";1948;2,12656426429749;"No"
"row_13";"ENSG00000130477";"UNC13A";"unc-13 homolog A";2212;1,64293074607849;"No"
"row_14";"ENSG00000150093";"ITGB1";"integrin subunit beta 1";2217;1,62735676765442;"No"
"row_15";"ENSG00000176406";"RIMS2";"regulating synaptic membrane exocytosis 2";2417;1,29521334171295;"No"
"row_16";"ENSG00000214078";"CPNE1";"copine 1";2471;1,20500338077545;"No"
"row_17";"ENSG00000172037";"LAMB2";"laminin subunit beta 2";2526;1,14846086502075;"No"
"row_18";"ENSG00000082701";"GSK3B";"glycogen synthase kinase 3 beta";2538;1,13630747795105;"No"
"row_19";"ENSG00000147894";"C9orf72";"C9orf72-SMCR8 complex subunit";2541;1,13212025165558;"No"
"row_20";"ENSG00000075213";"SEMA3A";"semaphorin 3A";2596;1,06827104091644;"No"
"row_21";"ENSG00000163462";"TRIM46";"tripartite motif containing 46";2672;0,982913494110107;"No"
"row_22";"ENSG00000087250";"MT3";"metallothionein 3";2703;0,960173070430756;"No"
"row_23";"ENSG00000105695";"MAG";"myelin associated glycoprotein";2715;0,960173070430756;"No"
"row_24";"ENSG00000148482";"SLC39A12";"solute carrier family 39 member 12";2774;0,960173070430756;"No"
"row_25";"ENSG00000182636";"NDN";"necdin, MAGE family member";2859;0,960173070430756;"No"
"row_26";"ENSG00000139174";"PRICKLE1";"prickle planar cell polarity protein 1";3384;0,767247259616852;"No"
"row_27";"ENSG00000066084";"DIP2B";"disco interacting protein 2 homolog B";3717;0,567009925842285;"No"
"row_28";"ENSG00000115414";"FN1";"fibronectin 1";3729;0,560238540172577;"No"
"row_29";"ENSG00000173166";"RAPH1";"Ras association (RalGDS/AF-6) and pleckstrin homology domains 1";3744;0,555948734283447;"No"
"row_30";"ENSG00000107758";"PPP3CB";"protein phosphatase 3 catalytic subunit beta";3776;0,539987981319427;"No"
"row_31";"ENSG00000141576";"RNF157";"ring finger protein 157";3836;0,511640429496765;"No"
"row_32";"ENSG00000049759";"NEDD4L";"NEDD4 like E3 ubiquitin protein ligase";3883;0,496301025152206;"No"
"row_33";"ENSG00000107404";"DVL1";"dishevelled segment polarity protein 1";3895;0,491281926631927;"No"
"row_34";"ENSG00000087586";"AURKA";"aurora kinase A";3899;0,488694995641708;"No"
"row_35";"ENSG00000144868";"TMEM108";"transmembrane protein 108";4286;0,366367697715759;"No"
"row_36";"ENSG00000203879";"GDI1";"GDP dissociation inhibitor 1";4290;0,36553543806076;"No"
"row_37";"ENSG00000108379";"WNT3";"Wnt family member 3";4306;0,362176269292831;"No"
"row_38";"ENSG00000198742";"SMURF1";"SMAD specific E3 ubiquitin protein ligase 1";4315;0,359258264303207;"No"
"row_39";"ENSG00000131711";"MAP1B";"microtubule associated protein 1B";4426;0,323909968137741;"No"
