"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000130429";"ARPC1B";"actin related protein 2/3 complex subunit 1B";505;84,3592071533203;"No"
"row_1";"ENSG00000241685";"ARPC1A";"actin related protein 2/3 complex subunit 1A";541;76,4282073974609;"No"
"row_2";"ENSG00000136950";"ARPC5L";"actin related protein 2/3 complex subunit 5 like";1837;12,9685020446777;"No"
"row_3";"ENSG00000163466";"ARPC2";"actin related protein 2/3 complex subunit 2";2461;7,18253469467163;"No"
"row_4";"ENSG00000075624";"ACTB";"actin beta";2874;5,16173553466797;"No"
"row_5";"ENSG00000071051";"NCK2";"NCK adaptor protein 2";5200;1,07211530208588;"No"
"row_6";"ENSG00000085733";"CTTN";"cortactin";5464;0,87182492017746;"No"
"row_7";"ENSG00000158092";"NCK1";"NCK adaptor protein 1";6829;0,311076641082764;"No"
"row_8";"ENSG00000111229";"ARPC3";"actin related protein 2/3 complex subunit 3";10411;-0,018767086789012;"No"
"row_9";"ENSG00000115091";"ACTR3";"actin related protein 3";11531;-0,157463952898979;"No"
"row_10";"ENSG00000106299";"WASL";"WASP like actin nucleation promoting factor";12533;-0,40460267663002;"No"
"row_11";"ENSG00000138071";"ACTR2";"actin related protein 2";12544;-0,408117115497589;"No"
"row_12";"ENSG00000162704";"ARPC5";"actin related protein 2/3 complex subunit 5";14549;-1,85437190532684;"No"
"row_13";"ENSG00000138798";"EGF";"epidermal growth factor";14602;-1,94674718379974;"No"
"row_14";"ENSG00000171475";"WIPF2";"WAS/WASL interacting protein family member 2";16732;-10,8112850189209;"No"
"row_15";"ENSG00000122574";"WIPF3";"WAS/WASL interacting protein family member 3";17475;-22,1917457580566;"Yes"
"row_16";"ENSG00000184009";"ACTG1";"actin gamma 1";17709;-28,9500026702881;"Yes"
"row_17";"ENSG00000115935";"WIPF1";"WAS/WASL interacting protein family member 1";18660;-121,371780395508;"Yes"
"row_18";"ENSG00000197122";"SRC";"SRC proto-oncogene, non-receptor tyrosine kinase";19123;-563,171020507812;"Yes"
"row_19";"ENSG00000146648";"EGFR";"epidermal growth factor receptor";19217;-1350,73754882812;"Yes"
