"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000162409";"PRKAA2";"protein kinase AMP-activated catalytic subunit alpha 2";77;57,0796966552734;"Yes"
"row_1";"ENSG00000147872";"PLIN2";"perilipin 2";112;49,6985893249512;"Yes"
"row_2";"ENSG00000127252";"PLAAT1";"phospholipase A and acyltransferase 1";262;34,0698127746582;"Yes"
"row_3";"ENSG00000143479";"DYRK3";"dual specificity tyrosine phosphorylation regulated kinase 3";3920;0,522968471050262;"No"
"row_4";"ENSG00000167862";"MRPL58";"mitochondrial ribosomal protein L58";4034;0,473798930644989;"No"
"row_5";"ENSG00000126214";"KLC1";"kinesin light chain 1";4210;0,419557601213455;"No"
"row_6";"ENSG00000204351";"SKIC2";"SKI2 subunit of superkiller complex";4341;0,377663135528564;"No"
"row_7";"ENSG00000152684";"PELO";"pelota mRNA surveillance and ribosome rescue factor";4466;0,339876919984818;"No"
"row_8";"ENSG00000013561";"RNF14";"ring finger protein 14";4700;0,280427485704422;"No"
"row_9";"ENSG00000140395";"SKIC8";"SKI8 subunit of superkiller complex";4711;0,277673214673996;"No"
"row_10";"ENSG00000088727";"KIF9";"kinesin family member 9";5109;0,204103872179985;"No"
"row_11";"ENSG00000187024";"PTRH1";"peptidyl-tRNA hydrolase 1 homolog";5182;0,188528478145599;"No"
"row_12";"ENSG00000167962";"ZNF598";"zinc finger protein 598, E3 ubiquitin ligase";5236;0,176926210522652;"No"
"row_13";"ENSG00000148187";"MRRF";"mitochondrial ribosome recycling factor";5412;0,153128460049629;"No"
"row_14";"ENSG00000107862";"GBF1";"golgi brefeldin A resistant guanine nucleotide exchange factor 1";5519;0,138634011149406;"No"
"row_15";"ENSG00000047849";"MAP4";"microtubule associated protein 4";5797;0,120112478733063;"No"
"row_16";"ENSG00000232119";"MCTS1";"MCTS1 re-initiation and release factor";5881;0,11106151342392;"No"
"row_17";"ENSG00000163481";"RNF25";"ring finger protein 25";5954;0,105338267982006;"No"
"row_18";"ENSG00000167110";"GOLGA2";"golgin A2";6285;0,0757891088724136;"No"
"row_19";"ENSG00000139726";"DENR";"density regulated re-initiation and release factor";7053;0,0316356383264065;"No"
"row_20";"ENSG00000177666";"PNPLA2";"patatin like domain 2, triacylglycerol lipase";7108;0,0292599946260452;"No"
"row_21";"ENSG00000171763";"AFG2B";"AFG2 AAA ATPase homolog B";7164;0,0265836957842112;"No"
"row_22";"ENSG00000109775";"UFSP2";"UFM1 specific peptidase 2";7200;0,0250972025096416;"No"
"row_23";"ENSG00000164163";"ABCE1";"ATP binding cassette subfamily E member 1";7288;0,0225131288170815;"No"
"row_24";"ENSG00000100749";"VRK1";"VRK serine/threonine kinase 1";7368;0,0206866059452295;"No"
"row_25";"ENSG00000089154";"GCN1";"GCN1 activator of EIF2AK4";7392;0,0198178570717573;"No"
"row_26";"ENSG00000130921";"MTRFR";"mitochondrial translation release factor in rescue";7560;0,0153784696012735;"No"
"row_27";"ENSG00000204628";"RACK1";"receptor for activated C kinase 1";7595;0,0146642755717039;"No"
"row_28";"ENSG00000141002";"TCF25";"TCF25 ribosome quality control complex subunit";7663;0,0125961694866419;"No"
"row_29";"ENSG00000189306";"RRP7A";"ribosomal RNA processing 7 homolog A";7688;0,0120403124019504;"No"
"row_30";"ENSG00000085760";"MTIF2";"mitochondrial translational initiation factor 2";7801;0,00941792968660593;"No"
"row_31";"ENSG00000104231";"ZFAND1";"zinc finger AN1-type containing 1";7857;0,00830485299229622;"No"
"row_32";"ENSG00000132356";"PRKAA1";"protein kinase AMP-activated catalytic subunit alpha 1";7872;0,00809629261493683;"No"
"row_33";"ENSG00000094631";"HDAC6";"histone deacetylase 6";7946;0,00655689975246787;"No"
"row_34";"ENSG00000143486";"EIF2D";"eukaryotic translation initiation factor 2D";8222;0,00270787300541997;"No"
"row_35";"ENSG00000162236";"STX5";"syntaxin 5";8413;0,000917116471100599;"No"
"row_36";"ENSG00000072756";"TRNT1";"tRNA nucleotidyl transferase 1";8553;0,000196586843230762;"No"
"row_37";"ENSG00000130349";"MTRES1";"mitochondrial transcription rescue factor 1";8631;3,39213511324488e-05;"No"
"row_38";"ENSG00000196169";"KIF19";"kinesin family member 19";12124;0;"No"
"row_39";"ENSG00000105355";"PLIN3";"perilipin 3";27938;-9,42051556194201e-05;"No"
"row_40";"ENSG00000172977";"KAT5";"lysine acetyltransferase 5";28054;-0,000546381575986743;"No"
"row_41";"ENSG00000113194";"FAF2";"Fas associated factor family member 2";28084;-0,000731791078578681;"No"
"row_42";"ENSG00000100325";"ASCC2";"activating signal cointegrator 1 complex subunit 2";28276;-0,00218622898682952;"No"
"row_43";"ENSG00000103671";"TRIP4";"thyroid hormone receptor interactor 4";28412;-0,00382451061159372;"No"
"row_44";"ENSG00000135930";"EIF4E2";"eukaryotic translation initiation factor 4E family member 2";28420;-0,00393943209201097;"No"
"row_45";"ENSG00000141642";"ELAC1";"elaC ribonuclease Z 1";28462;-0,00454017473384738;"No"
"row_46";"ENSG00000112249";"ASCC3";"activating signal cointegrator 1 complex subunit 3";28517;-0,0054146246984601;"No"
"row_47";"ENSG00000122033";"MTIF3";"mitochondrial translational initiation factor 3";28819;-0,0115435123443604;"No"
"row_48";"ENSG00000108465";"CDK5RAP3";"CDK5 regulatory subunit associated protein 3";28850;-0,0120287965983152;"No"
"row_49";"ENSG00000103194";"USP10";"ubiquitin specific peptidase 10";28915;-0,0136303324252367;"No"
"row_50";"ENSG00000164347";"GFM2";"GTP dependent ribosome recycling factor mitochondrial 2";29048;-0,0169045440852642;"No"
"row_51";"ENSG00000163743";"RCHY1";"ring finger and CHY zinc finger domain containing 1";29101;-0,0184307899326086;"No"
"row_52";"ENSG00000087586";"AURKA";"aurora kinase A";29156;-0,0198718551546335;"No"
"row_53";"ENSG00000170312";"CDK1";"cyclin dependent kinase 1";29207;-0,021445594727993;"No"
"row_54";"ENSG00000165525";"NEMF";"nuclear export mediator factor";29542;-0,0330084376037121;"No"
"row_55";"ENSG00000198677";"SKIC3";"SKI3 subunit of superkiller complex";29590;-0,0348002277314663;"No"
"row_56";"ENSG00000165280";"VCP";"valosin containing protein";29639;-0,0375340133905411;"No"
"row_57";"ENSG00000173846";"PLK3";"polo like kinase 3";29713;-0,0406764224171638;"No"
