"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000120693";"SMAD9";"SMAD family member 9";23;83,5330963134766;"Yes"
"row_1";"ENSG00000101144";"BMP7";"bone morphogenetic protein 7";479;27,7240524291992;"Yes"
"row_2";"ENSG00000156466";"GDF6";"growth differentiation factor 6";625;22,2012977600098;"Yes"
"row_3";"ENSG00000138696";"BMPR1B";"bone morphogenetic protein receptor type 1B";704;19,9672603607178;"Yes"
"row_4";"ENSG00000125845";"BMP2";"bone morphogenetic protein 2";1029;12,6213998794556;"Yes"
"row_5";"ENSG00000143869";"GDF7";"growth differentiation factor 7";1134;11,2022380828857;"Yes"
"row_6";"ENSG00000112175";"BMP5";"bone morphogenetic protein 5";1254;9,62037658691406;"Yes"
"row_7";"ENSG00000153162";"BMP6";"bone morphogenetic protein 6";2521;2,62853193283081;"No"
"row_8";"ENSG00000114739";"ACVR2B";"activin A receptor type 2B";3588;1,34736728668213;"No"
"row_9";"ENSG00000121989";"ACVR2A";"activin A receptor type 2A";3837;1,02794849872589;"No"
"row_10";"ENSG00000116985";"BMP8B";"bone morphogenetic protein 8b";4493;0,583797991275787;"No"
"row_11";"ENSG00000115170";"ACVR1";"activin A receptor type 1";6708;0,0916039645671844;"No"
"row_12";"ENSG00000170365";"SMAD1";"SMAD family member 1";8578;0,00439044460654259;"No"
"row_13";"ENSG00000141646";"SMAD4";"SMAD family member 4";27884;-0,00518415775150061;"No"
"row_14";"ENSG00000183682";"BMP8A";"bone morphogenetic protein 8a";28393;-0,0170319974422455;"No"
"row_15";"ENSG00000113658";"SMAD5";"SMAD family member 5";28755;-0,0317952334880829;"No"
"row_16";"ENSG00000107779";"BMPR1A";"bone morphogenetic protein receptor type 1A";29509;-0,0818191766738892;"No"
"row_17";"ENSG00000204217";"BMPR2";"bone morphogenetic protein receptor type 2";29714;-0,100229158997536;"No"
"row_18";"ENSG00000125965";"GDF5";"growth differentiation factor 5";32581;-0,873661577701569;"No"
"row_19";"ENSG00000125378";"BMP4";"bone morphogenetic protein 4";33658;-1,33621788024902;"No"
