"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000165025";"SYK";"spleen associated tyrosine kinase";262;59,0268669128418;"Yes"
"row_1";"ENSG00000132465";"JCHAIN";"joining chain of multimeric IgA and IgM";409;46,931282043457;"Yes"
"row_2";"ENSG00000162896";"PIGR";"polymeric immunoglobulin receptor";528;39,0412712097168;"Yes"
"row_3";"ENSG00000128218";"VPREB3";"V-set pre-B cell surrogate light chain 3";4101;1,3431921005249;"No"
"row_4";"ENSG00000007312";"CD79B";"CD79b molecule";10347;0;"No"
"row_5";"ENSG00000128322";"IGLL1";"immunoglobulin lambda like polypeptide 1";10976;0;"No"
"row_6";"ENSG00000169575";"VPREB1";"V-set pre-B cell surrogate light chain 1";11933;0;"No"
"row_7";"ENSG00000211592";"IGKC";"immunoglobulin kappa constant";15464;0;"No"
"row_8";"ENSG00000211597";"IGKJ1";"immunoglobulin kappa joining 1";15469;0;"No"
"row_9";"ENSG00000211598";"IGKV4-1";"immunoglobulin kappa variable 4-1";15470;0;"No"
"row_10";"ENSG00000211599";"IGKV5-2";"immunoglobulin kappa variable 5-2";15471;0;"No"
"row_11";"ENSG00000211611";"IGKV6-21";"immunoglobulin kappa variable 6-21 (non-functional)";15472;0;"No"
"row_12";"ENSG00000211623";"IGKV2D-26";"immunoglobulin kappa variable 2D-26";15473;0;"No"
"row_13";"ENSG00000211625";"IGKV3D-20";"immunoglobulin kappa variable 3D-20";15474;0;"No"
"row_14";"ENSG00000211626";"IGKV6D-41";"immunoglobulin kappa variable 6D-41 (non-functional)";15475;0;"No"
"row_15";"ENSG00000211632";"IGKV3D-11";"immunoglobulin kappa variable 3D-11";15476;0;"No"
"row_16";"ENSG00000211633";"IGKV1D-42";"immunoglobulin kappa variable 1D-42 (non-functional)";15477;0;"No"
"row_17";"ENSG00000211637";"IGLV4-69";"immunoglobulin lambda variable 4-69";15478;0;"No"
"row_18";"ENSG00000211638";"IGLV8-61";"immunoglobulin lambda variable 8-61";15479;0;"No"
"row_19";"ENSG00000211639";"IGLV4-60";"immunoglobulin lambda variable 4-60";15480;0;"No"
"row_20";"ENSG00000211640";"IGLV6-57";"immunoglobulin lambda variable 6-57";15481;0;"No"
"row_21";"ENSG00000211641";"IGLV11-55";"immunoglobulin lambda variable 11-55 (non-functional)";15482;0;"No"
"row_22";"ENSG00000211642";"IGLV10-54";"immunoglobulin lambda variable 10-54";15483;0;"No"
"row_23";"ENSG00000211644";"IGLV1-51";"immunoglobulin lambda variable 1-51";15484;0;"No"
"row_24";"ENSG00000211645";"IGLV1-50";"immunoglobulin lambda variable 1-50 (non-functional)";15485;0;"No"
"row_25";"ENSG00000211647";"IGLV5-48";"immunoglobulin lambda variable 5-48 (non-functional)";15486;0;"No"
"row_26";"ENSG00000211648";"IGLV1-47";"immunoglobulin lambda variable 1-47";15487;0;"No"
"row_27";"ENSG00000211649";"IGLV7-46";"immunoglobulin lambda variable 7-46";15488;0;"No"
"row_28";"ENSG00000211650";"IGLV5-45";"immunoglobulin lambda variable 5-45";15489;0;"No"
"row_29";"ENSG00000211651";"IGLV1-44";"immunoglobulin lambda variable 1-44";15490;0;"No"
"row_30";"ENSG00000211652";"IGLV7-43";"immunoglobulin lambda variable 7-43";15491;0;"No"
"row_31";"ENSG00000211653";"IGLV1-40";"immunoglobulin lambda variable 1-40";15492;0;"No"
"row_32";"ENSG00000211654";"IGLV5-37";"immunoglobulin lambda variable 5-37";15493;0;"No"
"row_33";"ENSG00000211655";"IGLV1-36";"immunoglobulin lambda variable 1-36";15494;0;"No"
"row_34";"ENSG00000211656";"IGLV2-33";"immunoglobulin lambda variable 2-33 (non-functional)";15495;0;"No"
"row_35";"ENSG00000211657";"IGLV3-32";"immunoglobulin lambda variable 3-32 (non-functional)";15496;0;"No"
"row_36";"ENSG00000211658";"IGLV3-27";"immunoglobulin lambda variable 3-27";15497;0;"No"
"row_37";"ENSG00000211659";"IGLV3-25";"immunoglobulin lambda variable 3-25";15498;0;"No"
"row_38";"ENSG00000211660";"IGLV2-23";"immunoglobulin lambda variable 2-23";15499;0;"No"
"row_39";"ENSG00000211661";"IGLV3-22";"immunoglobulin lambda variable 3-22";15500;0;"No"
"row_40";"ENSG00000211662";"IGLV3-21";"immunoglobulin lambda variable 3-21";15501;0;"No"
"row_41";"ENSG00000211663";"IGLV3-19";"immunoglobulin lambda variable 3-19";15502;0;"No"
"row_42";"ENSG00000211664";"IGLV2-18";"immunoglobulin lambda variable 2-18";15503;0;"No"
"row_43";"ENSG00000211665";"IGLV3-16";"immunoglobulin lambda variable 3-16";15504;0;"No"
"row_44";"ENSG00000211666";"IGLV2-14";"immunoglobulin lambda variable 2-14";15505;0;"No"
"row_45";"ENSG00000211667";"IGLV3-12";"immunoglobulin lambda variable 3-12";15506;0;"No"
"row_46";"ENSG00000211668";"IGLV2-11";"immunoglobulin lambda variable 2-11";15507;0;"No"
"row_47";"ENSG00000211669";"IGLV3-10";"immunoglobulin lambda variable 3-10";15508;0;"No"
"row_48";"ENSG00000211670";"IGLV3-9";"immunoglobulin lambda variable 3-9";15509;0;"No"
"row_49";"ENSG00000211672";"IGLV4-3";"immunoglobulin lambda variable 4-3";15510;0;"No"
"row_50";"ENSG00000211675";"IGLC1";"immunoglobulin lambda constant 1";15511;0;"No"
"row_51";"ENSG00000211677";"IGLC2";"immunoglobulin lambda constant 2";15512;0;"No"
"row_52";"ENSG00000211679";"IGLC3";"immunoglobulin lambda constant 3 (Kern-Oz+ marker)";15513;0;"No"
"row_53";"ENSG00000211685";"IGLC7";"immunoglobulin lambda constant 7";15517;0;"No"
"row_54";"ENSG00000211776";"TRAV2";"T cell receptor alpha variable 2";15566;0;"No"
"row_55";"ENSG00000211792";"TRAV14DV4";"T cell receptor alpha variable 14/delta variable 4";15582;0;"No"
"row_56";"ENSG00000211799";"TRAV19";"T cell receptor alpha variable 19";15589;0;"No"
"row_57";"ENSG00000211804";"TRDV1";"T cell receptor delta variable 1";15594;0;"No"
"row_58";"ENSG00000211816";"TRAV38-1";"T cell receptor alpha variable 38-1";15604;0;"No"
"row_59";"ENSG00000211817";"TRAV38-2DV8";"T cell receptor alpha variable 38-2/delta variable 8";15605;0;"No"
"row_60";"ENSG00000211890";"IGHA2";"immunoglobulin heavy constant alpha 2 (A2m marker)";15669;0;"No"
"row_61";"ENSG00000211891";"IGHE";"immunoglobulin heavy constant epsilon";15670;0;"No"
"row_62";"ENSG00000211892";"IGHG4";"immunoglobulin heavy constant gamma 4 (G4m marker)";15671;0;"No"
"row_63";"ENSG00000211893";"IGHG2";"immunoglobulin heavy constant gamma 2 (G2m marker)";15672;0;"No"
"row_64";"ENSG00000211895";"IGHA1";"immunoglobulin heavy constant alpha 1";15673;0;"No"
"row_65";"ENSG00000211896";"IGHG1";"immunoglobulin heavy constant gamma 1 (G1m marker)";15674;0;"No"
"row_66";"ENSG00000211897";"IGHG3";"immunoglobulin heavy constant gamma 3 (G3m marker)";15675;0;"No"
"row_67";"ENSG00000211898";"IGHD";"immunoglobulin heavy constant delta";15676;0;"No"
"row_68";"ENSG00000211899";"IGHM";"immunoglobulin heavy constant mu";15677;0;"No"
"row_69";"ENSG00000211905";"IGHJ1";"immunoglobulin heavy joining 1";15680;0;"No"
"row_70";"ENSG00000211933";"IGHV6-1";"immunoglobulin heavy variable 6-1";15697;0;"No"
"row_71";"ENSG00000211935";"IGHV1-3";"immunoglobulin heavy variable 1-3";15699;0;"No"
"row_72";"ENSG00000211937";"IGHV2-5";"immunoglobulin heavy variable 2-5";15700;0;"No"
"row_73";"ENSG00000211938";"IGHV3-7";"immunoglobulin heavy variable 3-7";15701;0;"No"
