"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000148082";"SHC3";"SHC adaptor protein 3";375;23,3355731964111;"No"
"row_1";"ENSG00000185634";"SHC4";"SHC adaptor protein 4";892;9,77831363677979;"No"
"row_2";"ENSG00000160691";"SHC1";"SHC adaptor protein 1";894;9,75021171569824;"No"
"row_3";"ENSG00000121858";"TNFSF10";"TNF superfamily member 10";958;8,68507671356201;"No"
"row_4";"ENSG00000108622";"ICAM2";"intercellular adhesion molecule 2";1125;7,20757961273193;"No"
"row_5";"ENSG00000043462";"LCP2";"lymphocyte cytosolic protein 2";1339;5,56487321853638;"No"
"row_6";"ENSG00000166869";"CHP2";"calcineurin like EF-hand protein 2";1490;4,80460691452026;"No"
"row_7";"ENSG00000090339";"ICAM1";"intercellular adhesion molecule 1";1786;3,66864275932312;"No"
"row_8";"ENSG00000011600";"TYROBP";"transmembrane immune signaling adaptor TYROBP";2275;2,03682041168213;"No"
"row_9";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";2734;1,57764029502869;"No"
"row_10";"ENSG00000129946";"SHC2";"SHC adaptor protein 2";2778;1,5167076587677;"No"
"row_11";"ENSG00000171608";"PIK3CD";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta";2804;1,47959756851196;"No"
"row_12";"ENSG00000160293";"VAV2";"vav guanine nucleotide exchange factor 2";3111;1,05649542808533;"No"
"row_13";"ENSG00000120899";"PTK2B";"protein tyrosine kinase 2 beta";3300;0,957224547863007;"No"
"row_14";"ENSG00000105851";"PIK3CG";"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma";3400;0,89727383852005;"No"
"row_15";"ENSG00000117091";"CD48";"CD48 molecule";3415;0,89727383852005;"No"
"row_16";"ENSG00000126264";"HCST";"hematopoietic cell signal transducer";3435;0,89727383852005;"No"
"row_17";"ENSG00000134539";"KLRD1";"killer cell lectin like receptor D1";3458;0,89727383852005;"No"
"row_18";"ENSG00000162747";"FCGR3B";"Fc gamma receptor IIIb";3514;0,89727383852005;"No"
"row_19";"ENSG00000204475";"NCR3";"natural cytotoxicity triggering receptor 3";3661;0,89727383852005;"No"
"row_20";"ENSG00000204632";"HLA-G";"major histocompatibility complex, class I, G";3663;0,89727383852005;"No"
"row_21";"ENSG00000124181";"PLCG1";"phospholipase C gamma 1";4101;0,837056875228882;"No"
"row_22";"ENSG00000100968";"NFATC4";"nuclear factor of activated T cells 4";4242;0,730215311050415;"No"
"row_23";"ENSG00000104689";"TNFRSF10A";"TNF receptor superfamily member 10a";4499;0,603946268558502;"No"
"row_24";"ENSG00000087266";"SH3BP2";"SH3 domain binding protein 2";4551;0,570902168750763;"No"
"row_25";"ENSG00000154229";"PRKCA";"protein kinase C alpha";4563;0,567452907562256;"No"
"row_26";"ENSG00000206503";"HLA-A";"major histocompatibility complex, class I, A";4606;0,550343811511993;"No"
"row_27";"ENSG00000180644";"PRF1";"perforin 1";4940;0,428382158279419;"No"
"row_28";"ENSG00000203722";"RAET1G";"retinoic acid early transcript 1G";4960;0,42154335975647;"No"
"row_29";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";5032;0,396901160478592;"No"
"row_30";"ENSG00000126583";"PRKCG";"protein kinase C gamma";5245;0,335710972547531;"No"
"row_31";"ENSG00000145675";"PIK3R1";"phosphoinositide-3-kinase regulatory subunit 1";5442;0,294857949018478;"No"
"row_32";"ENSG00000187446";"CHP1";"calcineurin like EF-hand protein 1";5812;0,220345497131348;"No"
"row_33";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";5815;0,219680368900299;"No"
