"gene_id";"log2FoldChange";"log2CPM";"pvalue";"FDR";"gene_name";"gene_chr";"gene_start";"gene_end";"gene_strand";"gene_length";"gene_biotype";"gene_description"
"ENSG00000002587";-6,81807997416855;2,90000223186606;0,00022338295062817;0,0108577833118413;"HS3ST1";"4";11393150;11434398;"-";41249;"protein_coding";"heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]"
"ENSG00000005020";-8,90731218602255;5,93243647832643;4,00293849563124e-06;0,000940199863690006;"SKAP2";"7";26654772;26864743;"-";209972;"protein_coding";"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]"
"ENSG00000006555";-7,24150526333022;3,31471949937686;0,000108540951191871;0,0065968979450605;"TTC22";"1";54779696;54802379;"-";22684;"protein_coding";"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]"
"ENSG00000006756";-5,68755387659912;3,73295835211121;0,00075498386084048;0,0257351047193778;"ARSD";"X";2903970;2929375;"-";25406;"protein_coding";"arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
"ENSG00000007038";-11,3850777089249;2,74079109250996;2,06262001071807e-05;0,00235356841178638;"PRSS21";"16";2817163;2821722;"+";5329;"protein_coding";"serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"ENSG00000015133";-6,97341310630743;4,01447795711843;0,00011090868845672;0,00670617440049548;"CCDC88C";"14";91271323;91417844;"-";146522;"protein_coding";"coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]"
"ENSG00000017483";-7,13928746187396;5,85270078951449;5,40852835440596e-05;0,0043085970081073;"SLC38A5";"X";48458537;48470256;"-";11720;"protein_coding";"solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]"
"ENSG00000022556";-5,98803677882189;3,61897588489995;0,000496789136309546;0,0189185201846081;"NLRP2";"19";54965279;55001142;"+";357617;"protein_coding";"NLR family pyrin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:22948]"
"ENSG00000023892";-5,17654061859523;4,22289739247798;0,0015340137419166;0,0437332061771461;"DEF6";"6";35297818;35321771;"+";23954;"protein_coding";"DEF6 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:2760]"
"ENSG00000034239";-10,663120001036;2,03475587605585;7,04604792012074e-05;0,00499063075058202;"EFCAB1";"8";48709593;48735843;"-";26251;"protein_coding";"calaxin [Source:HGNC Symbol;Acc:HGNC:25678]"
"ENSG00000039068";-7,0028607838007;8,13672862326848;5,90664284103847e-05;0,00452055481627286;"CDH1";"16";68737290;68835542;"+";98253;"protein_coding";"cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]"
"ENSG00000047597";-5,06936300666815;5,15528436194657;0,00165647407858044;0,0462654363272641;"XK";"X";37685686;37732130;"+";46445;"protein_coding";"X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]"
"ENSG00000050327";-6,71185845098756;2,79637752216273;0,000266437512260286;0,0122939468584892;"ARHGEF5";"7";144355396;144380632;"+";50457;"protein_coding";"Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]"
"ENSG00000052344";-6,04558984090554;5,07043974749351;0,000356911885510875;0,0150532278071359;"PRSS8";"16";31131433;31135762;"-";4330;"protein_coding";"serine protease 8 [Source:HGNC Symbol;Acc:HGNC:9491]"
"ENSG00000053747";-7,86491744258956;8,151163681735;1,42065320329977e-05;0,00186715886351377;"LAMA3";"18";23689443;23955066;"+";265624;"protein_coding";"laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]"
"ENSG00000054179";-10,6991030244945;2,06975448964492;6,60797836364879e-05;0,00482104329272541;"ENTPD2";"9";137048098;137054051;"-";5954;"protein_coding";"ectonucleoside triphosphate diphosphohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3364]"
"ENSG00000055732";-7,60352331676159;3,67101869898737;5,84960723948755e-05;0,00450234251925547;"MCOLN3";"1";85018082;85048902;"-";30821;"protein_coding";"mucolipin TRP cation channel 3 [Source:HGNC Symbol;Acc:HGNC:13358]"
"ENSG00000060558";-7,26477170337493;4,30191546440738;6,73706837069246e-05;0,00486911070853553;"GNA15";"19";3136032;3163769;"+";27738;"protein_coding";"G protein subunit alpha 15 [Source:HGNC Symbol;Acc:HGNC:4383]"
"ENSG00000062038";-11,6328710508171;7,68123454483367;5,60312230705076e-08;0,000140811772647744;"CDH3";"16";68644836;68727573;"+";82738;"protein_coding";"cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]"
"ENSG00000068079";-10,7924754704391;2,16067745490536;5,7009442665161e-05;0,00442964475471577;"IFI35";"17";43006725;43014459;"+";7735;"protein_coding";"interferon induced protein 35 [Source:HGNC Symbol;Acc:HGNC:5399]"
"ENSG00000068985";-8,75446316521515;4,81081504136382;8,11855551770606e-06;0,00134960790948679;"PAGE1";"X";49687450;49696019;"-";8570;"protein_coding";"PAGE family member 1 [Source:HGNC Symbol;Acc:HGNC:4107]"
"ENSG00000070190";-7,16166637865842;4,51467301914261;8,274873487568e-05;0,00547941809460491;"DAPP1";"4";99816824;99872290;"+";55467;"protein_coding";"dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]"
"ENSG00000073350";-8,26301372389166;5,60683518519654;1,25204833603608e-05;0,00172659362582309;"LLGL2";"17";75525080;75575209;"+";50130;"protein_coding";"LLGL scribble cell polarity complex component 2 [Source:HGNC Symbol;Acc:HGNC:6629]"
"ENSG00000074966";-5,94638388225991;2,05605725091538;0,000962422360504804;0,0305474703195622;"TXK";"4";48063504;48135322;"-";71819;"protein_coding";"TXK tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12434]"
"ENSG00000075275";-7,27346486468087;6,09183116397533;4,49681741192311e-05;0,00380741373701205;"CELSR1";"22";46360834;46537502;"-";176669;"protein_coding";"cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]"
"ENSG00000075340";-5,40680085573053;5,08480852917312;0,000959112683973337;0,0304689846184409;"ADD2";"2";70656784;70768243;"-";111460;"protein_coding";"adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
"ENSG00000075461";-11,7656480981519;3,11557634882155;1,07223746825023e-05;0,00156143509076472;"CACNG4";"17";66964864;67033402;"+";68539;"protein_coding";"calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]"
