"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000139515";"PDX1";"pancreatic and duodenal homeobox 1";316;35,6799507141113;"Yes"
"row_1";"ENSG00000182759";"MAFA";"MAF bZIP transcription factor A";636;21,8810882568359;"Yes"
"row_2";"ENSG00000125798";"FOXA2";"forkhead box A2";646;21,5547523498535;"Yes"
"row_3";"ENSG00000125820";"NKX2-2";"NK2 homeobox 2";712;19,7271251678467;"Yes"
"row_4";"ENSG00000170608";"FOXA3";"forkhead box A3";729;19,3568668365479;"Yes"
"row_5";"ENSG00000007372";"PAX6";"paired box 6";1040;12,381688117981;"Yes"
"row_6";"ENSG00000116833";"NR5A2";"nuclear receptor subfamily 5 group A member 2";1066;12,0825481414795;"Yes"
"row_7";"ENSG00000163623";"NKX6-1";"NK6 homeobox 1";1297;9,31980609893799;"Yes"
"row_8";"ENSG00000275410";"HNF1B";"HNF1 homeobox B";1822;5,23568868637085;"Yes"
"row_9";"ENSG00000180535";"BHLHA15";"basic helix-loop-helix family member a15";2328;3,18494248390198;"Yes"
"row_10";"ENSG00000130675";"MNX1";"motor neuron and pancreas homeobox 1";2436;3,01437926292419;"Yes"
"row_11";"ENSG00000114315";"HES1";"hes family bHLH transcription factor 1";2721;2,04941248893738;"Yes"
"row_12";"ENSG00000135100";"HNF1A";"HNF1 homeobox A";3699;1,19197165966034;"No"
"row_13";"ENSG00000152804";"HHEX";"hematopoietically expressed homeobox";8424;0,00706304050981998;"No"
"row_14";"ENSG00000164749";"HNF4G";"hepatocyte nuclear factor 4 gamma";9018;0,000226265372475609;"No"
"row_15";"ENSG00000101076";"HNF4A";"hepatocyte nuclear factor 4 alpha";9364;0;"No"
"row_16";"ENSG00000106331";"PAX4";"paired box 4";9467;0;"No"
"row_17";"ENSG00000106633";"GCK";"glucokinase";9474;0;"No"
"row_18";"ENSG00000121351";"IAPP";"islet amyloid polypeptide";9681;0;"No"
"row_19";"ENSG00000122859";"NEUROG3";"neurogenin 3";9714;0;"No"
"row_20";"ENSG00000143627";"PKLR";"pyruvate kinase L/R";10132;0;"No"
"row_21";"ENSG00000162992";"NEUROD1";"neuronal differentiation 1";10513;0;"No"
"row_22";"ENSG00000163581";"SLC2A2";"solute carrier family 2 member 2";10544;0;"No"
"row_23";"ENSG00000254647";"INS";"insulin";22303;0;"No"
"row_24";"ENSG00000169856";"ONECUT1";"one cut homeobox 1";33254;-1,00201308727264;"No"
