"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000138675";"FGF5";"fibroblast growth factor 5";231;282,141845703125;"No"
"row_1";"ENSG00000113578";"FGF1";"fibroblast growth factor 1";501;129,904174804688;"No"
"row_2";"ENSG00000138685";"FGF2";"fibroblast growth factor 2";532;122,043853759766;"No"
"row_3";"ENSG00000213281";"NRAS";"NRAS proto-oncogene, GTPase";2528;9,17251968383789;"No"
"row_4";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";3520;4,03151941299438;"No"
"row_5";"ENSG00000100485";"SOS2";"SOS Ras/Rho guanine nucleotide exchange factor 2";3640;3,71486687660217;"No"
"row_6";"ENSG00000177885";"GRB2";"growth factor receptor bound protein 2";5283;1,08364927768707;"No"
"row_7";"ENSG00000070193";"FGF10";"fibroblast growth factor 10";6492;0,417131036520004;"No"
"row_8";"ENSG00000102678";"FGF9";"fibroblast growth factor 9";6504;0,417131036520004;"No"
"row_9";"ENSG00000169032";"MAP2K1";"mitogen-activated protein kinase kinase 1";7619;0,151484102010727;"No"
"row_10";"ENSG00000070388";"FGF22";"fibroblast growth factor 22";7739;0,126259878277779;"No"
"row_11";"ENSG00000158815";"FGF17";"fibroblast growth factor 17";7898;0,0979813188314438;"No"
"row_12";"ENSG00000162344";"FGF19";"fibroblast growth factor 19";7970;0,0978367626667023;"No"
"row_13";"ENSG00000100030";"MAPK1";"mitogen-activated protein kinase 1";9408;0,00961404945701361;"No"
"row_14";"ENSG00000107831";"FGF8";"fibroblast growth factor 8";10275;-0,00495965825393796;"No"
"row_15";"ENSG00000126934";"MAP2K2";"mitogen-activated protein kinase kinase 2";10726;-0,0248856991529465;"No"
"row_16";"ENSG00000157764";"BRAF";"B-Raf proto-oncogene, serine/threonine kinase";11673;-0,148414015769958;"No"
"row_17";"ENSG00000078579";"FGF20";"fibroblast growth factor 20";12477;-0,400439292192459;"No"
"row_18";"ENSG00000115904";"SOS1";"SOS Ras/Rac guanine nucleotide exchange factor 1";12957;-0,513715326786041;"No"
"row_19";"ENSG00000174775";"HRAS";"HRas proto-oncogene, GTPase";14062;-1,08104574680328;"No"
"row_20";"ENSG00000077782";"FGFR1";"fibroblast growth factor receptor 1";14246;-1,10894584655762;"No"
"row_21";"ENSG00000105550";"FGF21";"fibroblast growth factor 21";15415;-2,57768154144287;"No"
"row_22";"ENSG00000111241";"FGF6";"fibroblast growth factor 6";15417;-2,57768154144287;"No"
"row_23";"ENSG00000078061";"ARAF";"A-Raf proto-oncogene, serine/threonine kinase";15519;-2,7398669719696;"No"
"row_24";"ENSG00000156427";"FGF18";"fibroblast growth factor 18";15723;-3,19305324554443;"No"
"row_25";"ENSG00000118972";"FGF23";"fibroblast growth factor 23";18180;-24,7498245239258;"No"
"row_26";"ENSG00000102882";"MAPK3";"mitogen-activated protein kinase 3";18184;-24,9146537780762;"No"
"row_27";"ENSG00000133703";"KRAS";"KRAS proto-oncogene, GTPase";18670;-43,6888847351074;"Yes"
"row_28";"ENSG00000066468";"FGFR2";"fibroblast growth factor receptor 2";19963;-916,89990234375;"Yes"
"row_29";"ENSG00000068078";"FGFR3";"fibroblast growth factor receptor 3";19998;-1213,47033691406;"Yes"
"row_30";"ENSG00000160867";"FGFR4";"fibroblast growth factor receptor 4";20033;-2239,67993164062;"Yes"
