"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000107984";"DKK1";"dickkopf WNT signaling pathway inhibitor 1";79;58,5594940185547;"No"
"row_1";"ENSG00000162992";"NEUROD1";"neuronal differentiation 1";147;43,1466827392578;"No"
"row_2";"ENSG00000203877";"RIPPLY2";"ripply transcriptional repressor 2";150;42,5512809753418;"No"
"row_3";"ENSG00000156574";"NODAL";"nodal growth differentiation factor";265;30,3092269897461;"No"
"row_4";"ENSG00000113722";"CDX1";"caudal type homeobox 1";767;11,5492038726807;"No"
"row_5";"ENSG00000162738";"VANGL2";"VANGL planar cell polarity protein 2";937;9,18275165557861;"No"
"row_6";"ENSG00000106003";"LFNG";"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase";1191;6,66623449325562;"No"
"row_7";"ENSG00000076356";"PLXNA2";"plexin A2";1287;5,91167259216309;"No"
"row_8";"ENSG00000162782";"TDRD5";"tudor domain containing 5";1357;5,56487321853638;"No"
"row_9";"ENSG00000104332";"SFRP1";"secreted frizzled related protein 1";1549;4,58214521408081;"No"
"row_10";"ENSG00000075223";"SEMA3C";"semaphorin 3C";2069;2,61947202682495;"No"
"row_11";"ENSG00000147869";"CER1";"cerberus 1, DAN family BMP antagonist";2321;2,03682041168213;"No"
"row_12";"ENSG00000175879";"HOXD8";"homeobox D8";2588;1,90724039077759;"No"
"row_13";"ENSG00000138083";"SIX3";"SIX homeobox 3";2713;1,65087914466858;"No"
"row_14";"ENSG00000164458";"TBXT";"T-box transcription factor T";2802;1,48107695579529;"No"
"row_15";"ENSG00000178585";"CTNNBIP1";"catenin beta interacting protein 1";2811;1,46177816390991;"No"
"row_16";"ENSG00000073711";"PPP2R3A";"protein phosphatase 2 regulatory subunit B''alpha";2835;1,41628980636597;"No"
"row_17";"ENSG00000106799";"TGFBR1";"transforming growth factor beta receptor 1";2958;1,25121080875397;"No"
"row_18";"ENSG00000157216";"SSBP3";"single stranded DNA binding protein 3";3295;0,961274147033691;"No"
"row_19";"ENSG00000105989";"WNT2";"Wnt family member 2";3401;0,89727383852005;"No"
"row_20";"ENSG00000188095";"MESP2";"mesoderm posterior bHLH transcription factor 2";3632;0,89727383852005;"No"
"row_21";"ENSG00000277258";"PCGF2";"polycomb group ring finger 2";4039;0,894652545452118;"No"
"row_22";"ENSG00000115109";"EPB41L5";"erythrocyte membrane protein band 4.1 like 5";4043;0,892117977142334;"No"
"row_23";"ENSG00000101752";"MIB1";"MIB E3 ubiquitin protein ligase 1";4106;0,833814203739166;"No"
"row_24";"ENSG00000169554";"ZEB2";"zinc finger E-box binding homeobox 2";4130;0,811409652233124;"No"
"row_25";"ENSG00000064309";"CDON";"cell adhesion associated, oncogene regulated";4364;0,665556311607361;"No"
"row_26";"ENSG00000182134";"TDRKH";"tudor and KH domain containing";4649;0,529388785362244;"No"
"row_27";"ENSG00000090932";"DLL3";"delta like canonical Notch ligand 3";4654;0,526072204113007;"No"
"row_28";"ENSG00000198728";"LDB1";"LIM domain binding 1";4672;0,518256068229675;"No"
"row_29";"ENSG00000064393";"HIPK2";"homeodomain interacting protein kinase 2";4673;0,51811295747757;"No"
"row_30";"ENSG00000175387";"SMAD2";"SMAD family member 2";4744;0,493384778499603;"No"
"row_31";"ENSG00000167081";"PBX3";"PBX homeobox 3";4798;0,475658684968948;"No"
"row_32";"ENSG00000172819";"RARG";"retinoic acid receptor gamma";4899;0,443424105644226;"No"
"row_33";"ENSG00000128652";"HOXD3";"homeobox D3";4953;0,426389127969742;"No"
"row_34";"ENSG00000197121";"PGAP1";"post-GPI attachment to proteins inositol deacylase 1";4991;0,408518970012665;"No"
"row_35";"ENSG00000149311";"ATM";"ATM serine/threonine kinase";5343;0,307940483093262;"No"
"row_36";"ENSG00000163389";"POGLUT1";"protein O-glucosyltransferase 1";5571;0,268597096204758;"No"
"row_37";"ENSG00000136574";"GATA4";"GATA binding protein 4";5583;0,264916390180588;"No"
"row_38";"ENSG00000141646";"SMAD4";"SMAD family member 4";5666;0,243540540337563;"No"
