"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000127955";"GNAI1";"G protein subunit alpha i1";385;167,777374267578;"No"
"row_1";"ENSG00000111674";"ENO2";"enolase 2";407;158,779205322266;"No"
"row_2";"ENSG00000061918";"GUCY1B1";"guanylate cyclase 1 soluble subunit beta 1";514;125,463829040527;"No"
"row_3";"ENSG00000107130";"NCS1";"neuronal calcium sensor 1";602;106,440322875977;"No"
"row_4";"ENSG00000152402";"GUCY1A2";"guanylate cyclase 1 soluble subunit alpha 2";735;82,5765228271484;"No"
"row_5";"ENSG00000107159";"CA9";"carbonic anhydrase 9";881;63,5639419555664;"No"
"row_6";"ENSG00000087258";"GNAO1";"G protein subunit alpha o1";1106;44,8751564025879;"No"
"row_7";"ENSG00000126790";"L3HYPDH";"trans-L-3-hydroxyproline dehydratase";1110;44,7556571960449;"No"
"row_8";"ENSG00000082212";"ME2";"malic enzyme 2";1215;38,100944519043;"No"
"row_9";"ENSG00000059377";"TBXAS1";"thromboxane A synthase 1";1500;27,2140235900879;"No"
"row_10";"ENSG00000109674";"NEIL3";"nei like DNA glycosylase 3";1823;18,3044700622559;"No"
"row_11";"ENSG00000006625";"GGCT";"gamma-glutamylcyclotransferase";2050;14,2803649902344;"No"
"row_12";"ENSG00000126088";"UROD";"uroporphyrinogen decarboxylase";2071;13,9908428192139;"No"
"row_13";"ENSG00000143933";"CALM2";"calmodulin 2";2306;11,24476146698;"No"
"row_14";"ENSG00000164742";"ADCY1";"adenylate cyclase 1";2485;9,5811824798584;"No"
"row_15";"ENSG00000074800";"ENO1";"enolase 1";2587;8,75134944915771;"No"
"row_16";"ENSG00000091483";"FH";"fumarate hydratase";2715;7,76200342178345;"No"
"row_17";"ENSG00000188690";"UROS";"uroporphyrinogen III synthase";2983;6,10553693771362;"No"
"row_18";"ENSG00000128050";"PAICS";"phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase";3381;4,52277374267578;"No"
"row_19";"ENSG00000132155";"RAF1";"Raf-1 proto-oncogene, serine/threonine kinase";3520;4,03151941299438;"No"
"row_20";"ENSG00000180304";"OAZ2";"ornithine decarboxylase antizyme 2";3809;3,24165987968445;"No"
"row_21";"ENSG00000149948";"HMGA2";"high mobility group AT-hook 2";3897;3,07907581329346;"No"
"row_22";"ENSG00000153046";"CDYL";"chromodomain Y like";3920;3,02829456329346;"No"
"row_23";"ENSG00000134864";"GGACT";"gamma-glutamylamine cyclotransferase";3935;2,9781506061554;"No"
"row_24";"ENSG00000104904";"OAZ1";"ornithine decarboxylase antizyme 1";3983;2,87752246856689;"No"
"row_25";"ENSG00000145730";"PAM";"peptidylglycine alpha-amidating monooxygenase";4082;2,64549541473389;"No"
"row_26";"ENSG00000146151";"HMGCLL1";"3-hydroxy-3-methylglutaryl-CoA lyase like 1";4182;2,45053482055664;"No"
"row_27";"ENSG00000164116";"GUCY1A1";"guanylate cyclase 1 soluble subunit alpha 1";4249;2,34075307846069;"No"
"row_28";"ENSG00000154328";"NEIL2";"nei like DNA glycosylase 2";4407;2,03777241706848;"No"
"row_29";"ENSG00000154743";"TSEN2";"tRNA splicing endonuclease subunit 2";4453;1,9806535243988;"No"
"row_30";"ENSG00000148090";"AUH";"AU RNA binding methylglutaconyl-CoA hydratase";4466;1,96351969242096;"No"
"row_31";"ENSG00000137309";"HMGA1";"high mobility group AT-hook 1";4601;1,75517272949219;"No"
"row_32";"ENSG00000101890";"GUCY2F";"guanylate cyclase 2F, retinal";4686;1,65941262245178;"No"
"row_33";"ENSG00000198668";"CALM1";"calmodulin 1";4894;1,43497169017792;"No"
"row_34";"ENSG00000188921";"HACD4";"3-hydroxyacyl-CoA dehydratase 4";5023;1,29804873466492;"No"
"row_35";"ENSG00000164199";"ADGRV1";"adhesion G protein-coupled receptor V1";5262;1,0916336774826;"No"
"row_36";"ENSG00000131686";"CA6";"carbonic anhydrase 6";5419;0,971666514873505;"No"
"row_37";"ENSG00000066926";"FECH";"ferrochelatase";5515;0,93598598241806;"No"
"row_38";"ENSG00000099974";"DDTL";"D-dopachrome tautomerase like";5595;0,869148254394531;"No"
"row_39";"ENSG00000093144";"ECHDC1";"ethylmalonyl-CoA decarboxylase 1";5625;0,834834158420563;"No"
"row_40";"ENSG00000128683";"GAD1";"glutamate decarboxylase 1";5686;0,794442474842072;"No"
"row_41";"ENSG00000124253";"PCK1";"phosphoenolpyruvate carboxykinase 1";5764;0,741239786148071;"No"
"row_42";"ENSG00000164089";"ETNPPL";"ethanolamine-phosphate phospho-lyase";5773;0,741239786148071;"No"
"row_43";"ENSG00000136750";"GAD2";"glutamate decarboxylase 2";5890;0,707888901233673;"No"
"row_44";"ENSG00000084110";"HAL";"histidine ammonia-lyase";6139;0,585679709911346;"No"
"row_45";"ENSG00000188316";"ENO4";"enolase 4";6142;0,582519292831421;"No"
"row_46";"ENSG00000169239";"CA5B";"carbonic anhydrase 5B";6161;0,570550978183746;"No"
"row_47";"ENSG00000109743";"BST1";"bone marrow stromal cell antigen 1";6178;0,561061799526215;"No"
"row_48";"ENSG00000138621";"PPCDC";"phosphopantothenoylcysteine decarboxylase";6306;0,49523589015007;"No"
"row_49";"ENSG00000153086";"ACMSD";"aminocarboxymuconate semialdehyde decarboxylase";6311;0,493682295084;"No"
"row_50";"ENSG00000155096";"AZIN1";"antizyme inhibitor 1";6385;0,466348797082901;"No"
"row_51";"ENSG00000143450";"OAZ3";"ornithine decarboxylase antizyme 3";6396;0,460510820150375;"No"
"row_52";"ENSG00000144644";"GADL1";"glutamate decarboxylase like 1";6882;0,349096208810806;"No"
"row_53";"ENSG00000125246";"CLYBL";"citramalyl-CoA lyase";7042;0,315297842025757;"No"
"row_54";"ENSG00000116288";"PARK7";"Parkinsonism associated deglycase";7180;0,261035531759262;"No"
"row_55";"ENSG00000135838";"NPL";"N-acetylneuraminate pyruvate lyase";7200;0,254970848560333;"No"
"row_56";"ENSG00000123505";"AMD1";"adenosylmethionine decarboxylase 1";7211;0,252217411994934;"No"
"row_57";"ENSG00000248098";"BCKDHA";"branched chain keto acid dehydrogenase E1 subunit alpha";7251;0,242033019661903;"No"
"row_58";"ENSG00000137944";"KYAT3";"kynurenine aminotransferase 3";7595;0,159141063690186;"No"
"row_59";"ENSG00000124767";"GLO1";"glyoxalase I";7609;0,153942838311195;"No"
"row_60";"ENSG00000189403";"HMGB1";"high mobility group box 1";7822;0,111573472619057;"No"
"row_61";"ENSG00000138031";"ADCY3";"adenylate cyclase 3";7837;0,108939908444881;"No"
"row_62";"ENSG00000165996";"HACD1";"3-hydroxyacyl-CoA dehydratase 1";7865;0,105324268341064;"No"
"row_63";"ENSG00000167434";"CA4";"carbonic anhydrase 4";8396;0,0932014957070351;"No"
"row_64";"ENSG00000099977";"DDT";"D-dopachrome tautomerase";8588;0,0676735267043114;"No"
"row_65";"ENSG00000136872";"ALDOB";"aldolase, fructose-bisphosphate B";8649;0,0595873892307281;"No"
"row_66";"ENSG00000142920";"AZIN2";"antizyme inhibitor 2";8724;0,0525148436427116;"No"
"row_67";"ENSG00000116761";"CTH";"cystathionine gamma-lyase";8798;0,0448281541466713;"No"
"row_68";"ENSG00000051341";"POLQ";"DNA polymerase theta";8839;0,0415520034730434;"No"
"row_69";"ENSG00000179148";"ALOXE3";"arachidonate epidermal lipoxygenase 3";8840;0,0415416397154331;"No"
"row_70";"ENSG00000132965";"ALOX5AP";"arachidonate 5-lipoxygenase activating protein";8905;0,0352798141539097;"No"
"row_71";"ENSG00000166169";"POLL";"DNA polymerase lambda";8912;0,034750297665596;"No"
"row_72";"ENSG00000140398";"NEIL1";"nei like DNA glycosylase 1";8996;0,0286382883787155;"No"
