"NAME";"PROBE";"GENE SYMBOL";"GENE TITLE";"RANK IN GENE LIST";"RANK METRIC SCORE";"CORE ENRICHMENT"
"row_0";"ENSG00000197181";"PIWIL2";"piwi like RNA-mediated gene silencing 2";2915;2,03685760498047;"No"
"row_1";"ENSG00000008988";"RPS20";"ribosomal protein S20";5184;0,625393450260162;"No"
"row_2";"ENSG00000138668";"HNRNPD";"heterogeneous nuclear ribonucleoprotein D";5202;0,615139782428741;"No"
"row_3";"ENSG00000125691";"RPL23";"ribosomal protein L23";5320;0,553265154361725;"No"
"row_4";"ENSG00000145425";"RPS3A";"ribosomal protein S3A";5688;0,427264004945755;"No"
"row_5";"ENSG00000100129";"EIF3L";"eukaryotic translation initiation factor 3 subunit L";5821;0,38596111536026;"No"
"row_6";"ENSG00000118181";"RPS25";"ribosomal protein S25";5887;0,364901155233383;"No"
"row_7";"ENSG00000163682";"RPL9";"ribosomal protein L9";6102;0,308042973279953;"No"
"row_8";"ENSG00000132478";"UNK";"unk zinc finger";6114;0,304834187030792;"No"
"row_9";"ENSG00000173933";"RBM4";"RNA binding motif protein 4";6180;0,295589745044708;"No"
"row_10";"ENSG00000135829";"DHX9";"DExH-box helicase 9";6380;0,256463259458542;"No"
"row_11";"ENSG00000071082";"RPL31";"ribosomal protein L31";6486;0,232504308223724;"No"
"row_12";"ENSG00000174444";"RPL4";"ribosomal protein L4";6754;0,186198070645332;"No"
"row_13";"ENSG00000154059";"IMPACT";"impact RWD domain protein";6776;0,183671683073044;"No"
"row_14";"ENSG00000205609";"EIF3CL";"eukaryotic translation initiation factor 3 subunit C like";6811;0,180028051137924;"No"
"row_15";"ENSG00000063046";"EIF4B";"eukaryotic translation initiation factor 4B";7079;0,143501043319702;"No"
"row_16";"ENSG00000142676";"RPL11";"ribosomal protein L11";7102;0,140207067131996;"No"
"row_17";"ENSG00000197756";"RPL37A";"ribosomal protein L37a";7317;0,112859524786472;"No"
"row_18";"ENSG00000171863";"RPS7";"ribosomal protein S7";7457;0,0979926213622093;"No"
"row_19";"ENSG00000107581";"EIF3A";"eukaryotic translation initiation factor 3 subunit A";7466;0,097420260310173;"No"
"row_20";"ENSG00000109475";"RPL34";"ribosomal protein L34";7534;0,0911609530448914;"No"
"row_21";"ENSG00000172239";"PAIP1";"poly(A) binding protein interacting protein 1";7614;0,0855717733502388;"No"
"row_22";"ENSG00000120705";"ETF1";"eukaryotic translation termination factor 1";7616;0,0853849202394485;"No"
"row_23";"ENSG00000198492";"YTHDF2";"YTH N6-methyladenosine RNA binding protein F2";7618;0,0852578282356262;"No"
"row_24";"ENSG00000174953";"DHX36";"DEAH-box helicase 36";7663;0,0814920589327812;"No"
"row_25";"ENSG00000175390";"EIF3F";"eukaryotic translation initiation factor 3 subunit F";7710;0,07692501693964;"No"
"row_26";"ENSG00000177954";"RPS27";"ribosomal protein S27";7897;0,0659969747066498;"No"
"row_27";"ENSG00000161970";"RPL26";"ribosomal protein L26";7934;0,0630309358239174;"No"
"row_28";"ENSG00000214575";"CPEB1";"cytoplasmic polyadenylation element binding protein 1";7945;0,0618652477860451;"No"
"row_29";"ENSG00000100316";"RPL3";"ribosomal protein L3";8070;0,0531214103102684;"No"
"row_30";"ENSG00000135316";"SYNCRIP";"synaptotagmin binding cytoplasmic RNA interacting protein";8080;0,0527890995144844;"No"
"row_31";"ENSG00000108298";"RPL19";"ribosomal protein L19";8174;0,0479412898421288;"No"
"row_32";"ENSG00000122406";"RPL5";"ribosomal protein L5";8218;0,0446220301091671;"No"
"row_33";"ENSG00000198034";"RPS4X";"ribosomal protein S4 X-linked";8316;0,038893923163414;"No"
"row_34";"ENSG00000105372";"RPS19";"ribosomal protein S19";8529;0,0295223090797663;"No"
"row_35";"ENSG00000163584";"RPL22L1";"ribosomal protein L22 like 1";8552;0,0287541691213846;"No"
"row_36";"ENSG00000153187";"HNRNPU";"heterogeneous nuclear ribonucleoprotein U";8563;0,0282924938946962;"No"
"row_37";"ENSG00000105221";"AKT2";"AKT serine/threonine kinase 2";8655;0,0244187358766794;"No"
"row_38";"ENSG00000131469";"RPL27";"ribosomal protein L27";8741;0,0212381705641747;"No"
"row_39";"ENSG00000156482";"RPL30";"ribosomal protein L30";8787;0,0194864850491285;"No"
"row_40";"ENSG00000137154";"RPS6";"ribosomal protein S6";8792;0,0193722620606422;"No"
"row_41";"ENSG00000204628";"RACK1";"receptor for activated C kinase 1";8847;0,0173044260591269;"No"
"row_42";"ENSG00000100353";"EIF3D";"eukaryotic translation initiation factor 3 subunit D";8947;0,0142132909968495;"No"
"row_43";"ENSG00000182774";"RPS17";"ribosomal protein S17";8997;0,0128766344860196;"No"
"row_44";"ENSG00000114503";"NCBP2";"nuclear cap binding protein subunit 2";9113;0,0101647209376097;"No"
"row_45";"ENSG00000198755";"RPL10A";"ribosomal protein L10a";9132;0,0097334822639823;"No"
"row_46";"ENSG00000167658";"EEF2";"eukaryotic translation elongation factor 2";9138;0,00965152587741613;"No"
"row_47";"ENSG00000105193";"RPS16";"ribosomal protein S16";9156;0,00933193229138851;"No"
"row_48";"ENSG00000122026";"RPL21";"ribosomal protein L21";9167;0,00904261879622936;"No"
"row_49";"ENSG00000157064";"NMNAT2";"nicotinamide nucleotide adenylyltransferase 2";9235;0,00769828772172332;"No"
"row_50";"ENSG00000102081";"FMR1";"fragile X messenger ribonucleoprotein 1";9383;0,00479886448010802;"No"
"row_51";"ENSG00000145592";"RPL37";"ribosomal protein L37";9406;0,00441153394058347;"No"
"row_52";"ENSG00000115211";"EIF2B4";"eukaryotic translation initiation factor 2B subunit delta";9455;0,00372661184519529;"No"
"row_53";"ENSG00000089009";"RPL6";"ribosomal protein L6";9528;0,00268883351236582;"No"
"row_54";"ENSG00000063177";"RPL18";"ribosomal protein L18";9547;0,0023976368829608;"No"
"row_55";"ENSG00000198242";"RPL23A";"ribosomal protein L23a";9609;0,00178313092328608;"No"
"row_56";"ENSG00000111361";"EIF2B1";"eukaryotic translation initiation factor 2B subunit alpha";9765;0,00052296556532383;"No"
"row_57";"ENSG00000172809";"RPL38";"ribosomal protein L38";9829;0,00022888153034728;"No"
"row_58";"ENSG00000142937";"RPS8";"ribosomal protein S8";9842;0,000180891482159495;"No"
"row_59";"ENSG00000147677";"EIF3H";"eukaryotic translation initiation factor 3 subunit H";9864;0,000114045382360928;"No"
"row_60";"ENSG00000130811";"EIF3G";"eukaryotic translation initiation factor 3 subunit G";9927;1,69658301274467e-06;"No"
"row_61";"ENSG00000101898";"MCTS2";"MCTS family member 2";10179;0;"No"
"row_62";"ENSG00000124614";"RPS10";"ribosomal protein S10";10543;0;"No"
"row_63";"ENSG00000131914";"LIN28A";"lin-28 homolog A";10686;0;"No"
"row_64";"ENSG00000137449";"CPEB2";"cytoplasmic polyadenylation element binding protein 2";10811;0;"No"
"row_65";"ENSG00000159217";"IGF2BP1";"insulin like growth factor 2 mRNA binding protein 1";11157;0;"No"
"row_66";"ENSG00000161642";"ZNF385A";"zinc finger protein 385A";11205;0;"No"
"row_67";"ENSG00000161960";"EIF4A1";"eukaryotic translation initiation factor 4A1";11217;0;"No"
"row_68";"ENSG00000180574";"EIF2S3B";"eukaryotic translation initiation factor 2 subunit gamma B";12120;0;"No"
"row_69";"ENSG00000182899";"RPL35A";"ribosomal protein L35a";12273;0;"No"
"row_70";"ENSG00000187969";"ZCCHC13";"zinc finger CCHC-type containing 13";12620;0;"No"
"row_71";"ENSG00000213553";"RPLP0P6";"ribosomal protein lateral stalk subunit P0 pseudogene 6";15634;0;"No"
"row_72";"ENSG00000241343";"RPL36A";"ribosomal protein L36a";20511;0;"No"
"row_73";"ENSG00000265681";"RPL17";"ribosomal protein L17";24628;0;"No"
"row_74";"ENSG00000131171";"SH3BGRL";"SH3 domain binding glutamate rich protein like";27980;-5,50130134797655e-05;"No"
"row_75";"ENSG00000142534";"RPS11";"ribosomal protein S11";28002;-9,89753898466006e-05;"No"
"row_76";"ENSG00000149273";"RPS3";"ribosomal protein S3";28031;-0,000217982567846775;"No"
"row_77";"ENSG00000065978";"YBX1";"Y-box binding protein 1";28090;-0,000422302488004789;"No"
"row_78";"ENSG00000198918";"RPL39";"ribosomal protein L39";28322;-0,00266392901539803;"No"
"row_79";"ENSG00000166441";"RPL27A";"ribosomal protein L27a";28454;-0,00444564735516906;"No"
"row_80";"ENSG00000130741";"EIF2S3";"eukaryotic translation initiation factor 2 subunit gamma";28488;-0,00497710285708308;"No"
"row_81";"ENSG00000134419";"RPS15A";"ribosomal protein S15a";28530;-0,00562718510627747;"No"
"row_82";"ENSG00000138617";"PARP16";"poly(ADP-ribose) polymerase family member 16";28622;-0,00756174558773637;"No"
"row_83";"ENSG00000229117";"RPL41";"ribosomal protein L41";28627;-0,00767005886882544;"No"
"row_84";"ENSG00000009307";"CSDE1";"cold shock domain containing E1";28636;-0,00784938223659992;"No"
"row_85";"ENSG00000165819";"METTL3";"methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit";28640;-0,00791906844824553;"No"
"row_86";"ENSG00000104408";"EIF3E";"eukaryotic translation initiation factor 3 subunit E";28643;-0,00796090066432953;"No"
"row_87";"ENSG00000116251";"RPL22";"ribosomal protein L22";28653;-0,00815707165747881;"No"
"row_88";"ENSG00000111832";"RWDD1";"RWD domain containing 1";28690;-0,00928559619933367;"No"
"row_89";"ENSG00000137818";"RPLP1";"ribosomal protein lateral stalk subunit P1";28698;-0,00945678167045116;"No"
"row_90";"ENSG00000169714";"CNBP";"CCHC-type zinc finger nucleic acid binding protein";28711;-0,00973447132855654;"No"
"row_91";"ENSG00000158092";"NCK1";"NCK adaptor protein 1";28738;-0,0104990322142839;"No"
"row_92";"ENSG00000142541";"RPL13A";"ribosomal protein L13a";28757;-0,0108820283785462;"No"
"row_93";"ENSG00000198793";"MTOR";"mechanistic target of rapamycin kinase";28777;-0,0112795662134886;"No"
"row_94";"ENSG00000186468";"RPS23";"ribosomal protein S23";28805;-0,0122727146372199;"No"
"row_95";"ENSG00000125457";"MIF4GD";"MIF4G domain containing";28820;-0,0126614915207028;"No"
"row_96";"ENSG00000113742";"CPEB4";"cytoplasmic polyadenylation element binding protein 4";28924;-0,0161130893975496;"No"
"row_97";"ENSG00000167526";"RPL13";"ribosomal protein L13";28928;-0,01629145629704;"No"
"row_98";"ENSG00000136937";"NCBP1";"nuclear cap binding protein subunit 1";28971;-0,0175681691616774;"No"
"row_99";"ENSG00000185721";"DRG1";"developmentally regulated GTP binding protein 1";29012;-0,0193532574921846;"No"
"row_100";"ENSG00000165525";"NEMF";"nuclear export mediator factor";29105;-0,0230761859565973;"No"
"row_101";"ENSG00000114867";"EIF4G1";"eukaryotic translation initiation factor 4 gamma 1";29150;-0,0252484399825335;"No"
"row_102";"ENSG00000106682";"EIF4H";"eukaryotic translation initiation factor 4H";29158;-0,0257600378245115;"No"
"row_103";"ENSG00000100226";"GTPBP1";"GTP binding protein 1";29205;-0,0278025083243847;"No"
"row_104";"ENSG00000145191";"EIF2B5";"eukaryotic translation initiation factor 2B subunit epsilon";29255;-0,0299284234642982;"No"
"row_105";"ENSG00000143947";"RPS27A";"ribosomal protein S27a";29576;-0,04415388032794;"No"
"row_106";"ENSG00000089157";"RPLP0";"ribosomal protein lateral stalk subunit P0";29651;-0,0464101657271385;"No"
"row_107";"ENSG00000174748";"RPL15";"ribosomal protein L15";29666;-0,0474998205900192;"No"
"row_108";"ENSG00000147604";"RPL7";"ribosomal protein L7";29720;-0,0508112497627735;"No"
"row_109";"ENSG00000140988";"RPS2";"ribosomal protein S2";29761;-0,0539855249226093;"No"
"row_110";"ENSG00000084623";"EIF3I";"eukaryotic translation initiation factor 3 subunit I";29900;-0,0637984424829483;"No"
"row_111";"ENSG00000114391";"RPL24";"ribosomal protein L24";29934;-0,0668645352125168;"No"
"row_112";"ENSG00000149100";"EIF3M";"eukaryotic translation initiation factor 3 subunit M";30005;-0,0727919936180115;"No"
"row_113";"ENSG00000104131";"EIF3J";"eukaryotic translation initiation factor 3 subunit J";30014;-0,0736559331417084;"No"
"row_114";"ENSG00000166199";"ALKBH3";"alkB homolog 3, alpha-ketoglutarate dependent dioxygenase";30073;-0,079583115875721;"No"
"row_115";"ENSG00000105640";"RPL18A";"ribosomal protein L18a";30100;-0,081971600651741;"No"
"row_116";"ENSG00000164587";"RPS14";"ribosomal protein S14";30117;-0,0829065963625908;"No"
